ride_id,pickup_lat,pickup_lon,timestamp,fare_amount
CHI_001,41.8781,-87.6298,2024-01-15T08:30:00Z,15.50
CHI_002,41.8798,-87.6301,2024-01-15T09:15:22Z,22.75
CHI_003,41.8812,-87.6287,2024-01-15T10:45:33Z,18.00
CHI_004,41.8765,-87.6315,2024-01-15T11:20:00Z,12.25
CHI_005,41.8823,-87.6275,2024-01-15T12:05:10Z,28.50
CHI_006,150.0000,-87.6290,2024-01-15T13:30:00Z,20.00
CHI_007,41.8790,-87.6305,2024-01-15T14:15:45Z,16.75
CHI_008,41.8756,-87.6320,2024-01-15T15:00:00Z,19.50
CHI_009,41.8801,-87.6295,2024-01-15T16:30:20Z,24.00
CHI_010,41.8785,-87.6312,2024-01-15T17:45:00Z,13.25
CHI_011,41.8819,-87.6280,2024-01-15T18:20:15Z,31.50
CHI_012,41.8772,-87.6308,2024-01-15T19:10:00Z,14.00
CHI_013,-92.5000,-87.6295,2024-01-15T20:05:30Z,17.75
CHI_014,41.8795,-87.6285,2024-01-15T21:30:00Z,21.00
CHI_015,41.8808,-87.6299,2024-01-15T22:15:45Z,26.50
CHI_001,41.9100,-87.6500,2024-01-16T08:00:00Z,35.00
CHI_016,41.8783,-87.6303,2024-01-16T08:45:00Z,15.75
CHI_017,41.8799,-87.6291,2024-01-16T09:30:20Z,19.25
CHI_018,41.8815,-87.6278,2024-01-16T10:20:00Z,23.00
CHI_019,41.8761,-87.6318,2024-01-16T11:15:40Z,-10.00
CHI_020,41.8792,-87.6307,2024-01-16T12:00:00Z,16.50
CHI_021,41.8826,-87.6272,2024-01-16T13:30:15Z,29.75
CHI_022,41.8778,-87.6310,2024-01-16T14:45:00Z,18.25
CHI_023,41.8805,-87.6288,2024-01-16T15:20:30Z,22.50
CHI_024,41.8789,-87.6300,invalid,20.00
CHI_025,41.8812,-87.6283,2024-01-16T17:10:00Z,27.00
CHI_026,41.8768,-87.6315,2024-01-16T18:05:45Z,14.75
CHI_027,41.8797,-87.6293,2024-01-16T19:30:00Z,21.25
CHI_028,190.0000,-87.6280,2024-01-16T20:15:20Z,25.50
CHI_029,41.8821,-87.6276,2024-01-16T21:00:00Z,30.00
CHI_030,41.8775,-87.6311,2024-01-16T22:30:15Z,17.00
CHI_031,41.8803,-87.6295,2024-01-17T08:15:00Z,19.75
CHI_032,41.8787,-87.6304,2024-01-17T09:00:30Z,15.25
CHI_033,41.8818,-87.6279,2024-01-17T10:30:00Z,24.50
CHI_002,41.8650,-87.6100,2024-01-17T11:15:45Z,40.00
CHI_034,41.8764,-87.6317,2024-01-17T12:00:00Z,13.75
CHI_035,41.8794,-87.6290,2024-01-17T13:20:15Z,20.25
CHI_037,41.8782,-87.6308,2024-01-17T15:30:45Z,16.00
CHI_038,41.8800,-87.6297,2024-01-17T16:15:00Z,22.75
CHI_039,41.8825,-87.6273,2024-01-17T17:45:20Z,28.25
CHI_040,41.8771,-87.6313,2024-01-17T18:30:00Z,14.50
CHI_041,-200.3000,-87.6288,2024-01-17T19:20:30Z,18.75
CHI_042,41.8806,-87.6286,2024-01-17T20:00:00Z,23.50
CHI_043,41.8791,-87.6302,2024-01-17T21:15:45Z,17.25
CHI_044,41.8816,-87.6281,2024-01-17T22:05:00Z,26.00
CHI_045,41.8766,-87.6316,2024-01-18T08:30:15Z,13.00
CHI_046,41.8796,-87.6292,2024-01-18T09:15:00Z,19.50
CHI_047,41.8811,-87.6284,2024-01-18T10:00:30Z,25.75
CHI_048,41.8779,-87.6309,2024-01-18T11:30:00Z,-20.75
CHI_049,41.8802,-87.6296,2024-01-18T12:15:45Z,21.00
CHI_050,41.8822,-87.6274,2024-01-18T13:00:00Z,29.50
CHI_051,41.8773,-87.6312,2024-01-18T14:20:20Z,15.00
CHI_003,41.9000,-87.6700,2024-01-18T15:10:00Z,45.00
CHI_052,41.8793,-87.6289,2024-01-18T16:30:00Z,18.50
CHI_053,41.8808,-87.6287,2024-01-18T17:15:30Z,24.25
CHI_054,41.8785,-87.6305,2024-01-18T18:00:00Z,16.75
CHI_055,41.8769,-87.6314,2024-01-18T19:30:45Z,13.50
