ride_id,pickup_lat,pickup_lon,timestamp,fare_amount
SF_001,37.7749,-122.4194,2024-01-15T08:30:45Z,12.50
SF_002,37.7849,-122.4294,2024-01-15T08:45:12Z,15.75
SF_003,37.7649,-122.4394,2024-01-15T09:15:22Z,8.90
SF_004,37.7549,-122.4494,2024-01-15T09:30:18Z,22.40
SF_005,37.7949,-122.4094,2024-01-15T10:00:33Z,18.25
SF_006,95.5000,-122.4194,2024-01-15T10:15:44Z,14.50
SF_007,37.7729,-122.4214,2024-01-15T10:30:56Z,11.80
SF_008,37.7769,-122.4274,2024-01-15T11:00:07Z,19.60
SF_009,37.7709,-122.4334,2024-01-15T11:15:21Z,16.30
SF_010,37.7789,-122.4154,2024-01-15T11:30:42Z,13.90
SF_011,37.7629,-122.4414,2024-01-15T12:00:55Z,-5.50
SF_012,37.7569,-122.4474,2024-01-15T12:15:08Z,21.70
SF_013,37.7929,-122.4114,2024-01-15T12:30:19Z,17.40
SF_014,37.7749,-122.4194,2024-01-15T13:00:30Z,14.20
SF_015,-120.3000,-122.4294,2024-01-15T13:15:41Z,12.80
SF_017,37.7609,-122.4454,2024-01-15T14:00:03Z,19.90
SF_018,37.7909,-122.4134,2024-01-15T14:15:14Z,16.50
SF_019,37.7739,-122.4204,2024-01-15T14:30:25Z,13.20
SF_020,37.7779,-122.4264,2024-01-15T15:00:36Z,18.70
SF_001,37.7719,-122.4324,2024-01-15T15:15:47Z,15.40
SF_022,37.7799,-122.4144,2024-01-15T15:30:58Z,12.10
SF_023,37.7639,-122.4404,2024-01-15T16:00:09Z,20.30
SF_024,37.7579,-122.4464,2024-01-15T16:15:20Z,-12.00
SF_025,37.7919,-122.4124,2024-01-15T16:30:31Z,17.80
SF_026,37.7759,-122.4184,2024-01-15T17:00:42Z,14.60
SF_027,37.7699,-122.4244,2024-01-15T17:15:53Z,11.40
SF_028,200.5000,-122.4304,2024-01-15T17:30:04Z,19.20
SF_029,37.7589,-122.4444,2024-01-15T18:00:15Z,16.90
SF_030,37.7899,-122.4164,2024-01-15T18:15:26Z,13.50
