delivery_id,latitude,longitude,timestamp,package_weight_kg
DEL001,37.7749,-122.4194,2024-01-15T09:30:00Z,12.5
DEL002,37.7751,-122.4192,2024-01-15T09:45:00Z,8.3
DEL003,37.7748,-122.4195,2024-01-15T10:15:00Z,15.7
DEL004,37.7752,-122.4190,2024-01-15T10:30:00Z,22.1
DEL005,37.7650,-122.4450,2024-01-15T11:00:00Z,5.4
DEL006,37.7652,-122.4448,2024-01-15T11:20:00Z,18.9
DEL007,37.7655,-122.4445,2024-01-15T11:45:00Z,9.2
DEL008,37.7820,-122.4350,2024-01-15T12:00:00Z,31.5
DEL009,37.7822,-122.4352,2024-01-15T12:30:00Z,14.8
DEL010,37.7818,-122.4348,2024-01-15T13:00:00Z,7.6
DEL011,37.7750,-122.4193,2024-01-15T13:30:00Z,19.3
DEL012,37.7900,-122.4100,2024-01-15T14:00:00Z,25.4
DEL013,37.7902,-122.4098,2024-01-15T14:20:00Z,11.2
DEL014,37.7898,-122.4102,2024-01-15T14:45:00Z,33.7
DEL015,37.7750,-122.4500,2024-01-15T15:00:00Z,6.8
DEL016,37.7752,-122.4498,2024-01-15T15:30:00Z,41.2
DEL017,37.7748,-122.4502,2024-01-15T16:00:00Z,13.5
DEL018,37.7700,-122.4300,2024-01-16T08:00:00Z,28.9
DEL019,37.7702,-122.4298,2024-01-16T08:30:00Z,17.4
DEL020,37.7698,-122.4302,2024-01-16T09:00:00Z,9.8
DEL021,37.7850,-122.4250,2024-01-16T09:30:00Z,21.6
DEL022,37.7852,-122.4248,2024-01-16T10:00:00Z,14.3
DEL023,37.7848,-122.4252,2024-01-16T10:30:00Z,35.8
DEL024,37.7750,-122.4195,2024-01-16T11:00:00Z,8.7
DEL025,37.7751,-122.4193,2024-01-16T11:30:00Z,19.5
DEL026,37.7780,-122.4180,2024-01-16T12:00:00Z,27.3
DEL027,37.7782,-122.4178,2024-01-16T12:30:00Z,11.9
DEL028,37.7778,-122.4182,2024-01-16T13:00:00Z,45.2
DEL029,37.7650,-122.4451,2024-01-16T13:30:00Z,16.8
DEL030,37.7653,-122.4449,2024-01-16T14:00:00Z,23.4
DEL031,37.7920,-122.4080,2024-01-16T14:30:00Z,7.1
DEL032,37.7922,-122.4078,2024-01-16T15:00:00Z,32.6
