customer_id,avg_order_value,purchase_frequency,days_since_last_purchase,product_diversity,session_duration,email_engagement
0,45.23,2.3,15,4,8.5,0.42
1,180.50,0.8,45,2,15.2,0.65
2,32.10,5.1,3,7,6.3,0.31
3,210.75,1.2,22,3,19.8,0.78
4,68.40,6.2,5,9,8.7,0.35
5,175.30,1.5,18,2,17.5,0.72
6,42.15,2.8,12,5,9.2,0.38
7,89.25,0.9,75,4,11.3,0.15
8,195.60,1.1,30,3,20.1,0.68
9,55.80,5.8,4,8,7.9,0.33
10,38.90,3.2,8,4,8.1,0.29
11,220.40,0.7,52,2,18.9,0.81
12,72.30,6.5,6,10,9.4,0.37
13,165.75,1.3,25,3,16.8,0.74
14,29.50,2.5,14,3,7.5,0.35
15,78.60,1.0,68,5,10.5,0.18
16,48.20,5.3,7,7,8.6,0.32
17,188.90,1.4,33,2,19.3,0.70
18,35.70,2.7,11,4,8.9,0.31
19,95.40,0.8,82,3,12.1,0.12
20,203.25,1.0,28,3,21.5,0.76
21,61.50,6.8,5,11,9.1,0.36
22,44.80,3.1,13,5,9.7,0.40
23,170.15,1.6,20,2,17.2,0.69
24,52.90,5.5,6,8,8.3,0.34
25,85.70,1.1,71,4,11.8,0.20
26,198.50,0.9,41,2,19.7,0.73
27,38.40,2.9,10,4,8.4,0.37
28,67.20,6.0,4,9,7.8,0.31
29,215.80,1.3,24,3,20.8,0.79
30,41.60,3.5,9,5,9.3,0.38
31,92.30,0.7,79,4,10.9,0.14
32,182.40,1.2,36,2,18.5,0.67
33,58.70,5.9,5,8,8.8,0.35
34,46.30,2.6,12,4,9.0,0.39
35,176.90,1.5,19,3,17.9,0.71
36,33.80,3.3,11,4,7.7,0.33
37,88.50,0.9,73,5,11.5,0.17
38,207.60,1.1,29,2,21.2,0.75
39,63.40,6.3,6,10,9.2,0.36
40,49.10,2.4,14,5,8.7,0.40
41,193.20,1.4,31,3,19.1,0.72
42,37.50,3.0,10,4,8.2,0.32
43,81.90,1.0,76,4,10.7,0.16
44,168.75,1.6,21,2,16.5,0.68
45,56.20,5.7,5,7,8.5,0.34
46,43.70,2.8,13,5,9.5,0.41
47,201.30,0.8,44,2,20.4,0.77
48,70.80,6.1,4,9,7.6,0.30
49,39.60,3.4,9,4,8.6,0.36
50,87.20,0.8,80,3,11.2,0.13
51,178.50,1.3,27,3,18.2,0.70
52,60.90,6.4,6,10,9.0,0.37
53,47.40,2.5,12,4,9.1,0.38
54,210.90,1.2,23,2,19.5,0.78
55,34.20,2.9,11,4,7.9,0.34
56,94.60,0.9,74,5,12.3,0.19
57,186.40,1.5,34,2,18.8,0.69
58,53.80,5.4,7,8,8.4,0.33
59,45.50,3.2,10,5,9.4,0.39
60,172.80,1.1,38,3,17.6,0.73
61,64.70,6.7,5,11,8.9,0.35
62,40.30,2.7,13,4,8.3,0.37
63,196.70,1.4,30,2,20.0,0.74
