customer_id,total_spent,purchase_frequency,avg_basket_size,days_since_last_purchase
customer_1001,0.85,0.78,0.92,0.12
customer_1002,0.45,0.52,0.48,0.35
customer_1003,0.15,0.22,0.28,0.75
customer_1004,0.89,0.82,0.88,0.08
customer_1005,0.76,0.71,0.85,0.15
customer_1006,0.92,0.85,0.95,0.05
customer_1007,0.81,0.74,0.79,0.18
customer_1008,0.88,0.79,0.91,0.11
customer_1009,0.73,0.68,0.82,0.22
customer_1010,0.95,0.88,0.98,0.03
customer_1011,0.78,0.72,0.86,0.14
customer_1012,0.84,0.77,0.89,0.09
customer_1013,0.91,0.84,0.94,0.06
customer_1014,0.79,0.73,0.83,0.17
customer_1015,0.86,0.80,0.90,0.10
customer_1016,0.74,0.69,0.81,0.21
customer_1017,0.93,0.86,0.96,0.04
customer_1018,0.82,0.75,0.87,0.13
customer_1019,0.87,0.81,0.93,0.07
customer_1020,0.77,0.70,0.84,0.19
customer_1021,0.90,0.83,0.92,0.08
customer_1022,0.80,0.74,0.88,0.16
customer_1023,0.75,0.68,0.80,0.23
customer_1024,0.94,0.87,0.97,0.02
customer_1025,0.83,0.76,0.85,0.12
customer_1026,0.88,0.82,0.91,0.09
customer_1027,0.72,0.67,0.78,0.24
customer_1028,0.89,0.83,0.94,0.06
customer_1029,0.76,0.71,0.82,0.20
customer_1030,0.91,0.85,0.95,0.05
customer_1031,0.84,0.78,0.89,0.11
customer_1032,0.78,0.72,0.86,0.15
customer_1033,0.92,0.86,0.93,0.07
customer_1034,0.81,0.75,0.87,0.14
customer_1035,0.85,0.79,0.90,0.10
customer_1036,0.48,0.55,0.51,0.38
customer_1037,0.52,0.58,0.49,0.33
customer_1038,0.46,0.53,0.47,0.41
customer_1039,0.59,0.62,0.58,0.28
customer_1040,0.43,0.50,0.45,0.44
customer_1041,0.55,0.60,0.54,0.31
customer_1042,0.50,0.56,0.52,0.36
customer_1043,0.61,0.64,0.60,0.26
customer_1044,0.44,0.51,0.46,0.43
customer_1045,0.57,0.61,0.56,0.29
customer_1046,0.49,0.55,0.50,0.37
customer_1047,0.63,0.66,0.62,0.24
customer_1048,0.42,0.49,0.44,0.45
customer_1049,0.54,0.59,0.53,0.32
customer_1050,0.51,0.57,0.51,0.35
customer_1051,0.60,0.63,0.59,0.27
customer_1052,0.45,0.52,0.48,0.40
customer_1053,0.56,0.60,0.55,0.30
customer_1054,0.47,0.54,0.49,0.39
customer_1055,0.62,0.65,0.61,0.25
customer_1056,0.41,0.48,0.43,0.46
customer_1057,0.53,0.58,0.52,0.34
customer_1058,0.58,0.62,0.57,0.29
customer_1059,0.64,0.67,0.63,0.23
customer_1060,0.46,0.53,0.47,0.42
customer_1061,0.50,0.56,0.51,0.36
customer_1062,0.55,0.59,0.54,0.31
customer_1063,0.49,0.55,0.50,0.38
customer_1064,0.52,0.57,0.52,0.34
customer_1065,0.44,0.51,0.46,0.41
customer_1066,0.57,0.61,0.56,0.30
customer_1067,0.61,0.64,0.60,0.26
customer_1068,0.48,0.54,0.49,0.37
customer_1069,0.54,0.59,0.53,0.33
customer_1070,0.43,0.50,0.45,0.44
customer_1071,0.59,0.63,0.58,0.28
customer_1072,0.51,0.57,0.51,0.35
customer_1073,0.47,0.53,0.48,0.40
customer_1074,0.56,0.60,0.55,0.32
customer_1075,0.62,0.65,0.61,0.25
customer_1076,0.18,0.25,0.31,0.72
customer_1077,0.22,0.28,0.35,0.68
customer_1078,0.14,0.21,0.26,0.78
customer_1079,0.28,0.33,0.39,0.61
customer_1080,0.16,0.23,0.29,0.74
customer_1081,0.25,0.31,0.37,0.65
customer_1082,0.19,0.26,0.32,0.71
customer_1083,0.31,0.36,0.42,0.58
customer_1084,0.13,0.20,0.25,0.80
customer_1085,0.27,0.32,0.38,0.63
customer_1086,0.20,0.27,0.33,0.70
customer_1087,0.33,0.38,0.44,0.56
customer_1088,0.12,0.19,0.24,0.82
customer_1089,0.24,0.30,0.36,0.66
customer_1090,0.17,0.24,0.30,0.73
customer_1091,0.29,0.34,0.40,0.60
customer_1092,0.21,0.28,0.34,0.69
customer_1093,0.26,0.32,0.38,0.64
customer_1094,0.15,0.22,0.27,0.76
customer_1095,0.32,0.37,0.43,0.57
customer_1096,0.11,0.18,0.23,0.84
customer_1097,0.23,0.29,0.35,0.67
customer_1098,0.30,0.35,0.41,0.59
customer_1099,0.19,0.26,0.32,0.72
customer_1100,0.16,0.23,0.28,0.75
customer_1101,0.34,0.39,0.45,0.55
customer_1102,0.14,0.21,0.26,0.79
customer_1103,0.27,0.33,0.39,0.62
customer_1104,0.20,0.27,0.33,0.71
customer_1105,0.25,0.31,0.37,0.65
customer_1106,0.12,0.19,0.24,0.81
customer_1107,0.35,0.38,0.46,0.54
customer_1108,0.18,0.25,0.31,0.73
customer_1109,0.28,0.34,0.40,0.60
customer_1110,0.22,0.29,0.35,0.68
customer_1111,0.05,0.08,0.15,0.95
customer_1112,0.98,0.12,0.22,0.88
customer_1113,0.37,0.91,0.08,0.52
customer_1114,0.69,0.23,0.94,0.41
customer_1115,0.09,0.87,0.61,0.13
customer_1116,0.88,0.31,0.11,0.79
customer_1117,0.21,0.76,0.89,0.34
customer_1118,0.94,0.15,0.38,0.67
customer_1119,0.12,0.68,0.84,0.22
customer_1120,0.73,0.44,0.19,0.91
customer_1121,0.33,0.82,0.57,0.48
customer_1122,0.86,0.27,0.73,0.14
customer_1123,0.17,0.95,0.42,0.86
customer_1124,0.91,0.38,0.65,0.29
customer_1125,0.08,0.54,0.97,0.71
