gene_id	stranded_no	stranded_yes	stranded_reverse
GENE0001	15234	23	14892
GENE0002	8756	12	8602
GENE0003	25678	45	25234
GENE0004	3421	8	3356
GENE0005	42156	67	41823
GENE0006	12890	19	12654
GENE0007	7845	15	7712
GENE0008	19234	31	18956
GENE0009	5678	11	5589
GENE0010	33421	52	33012
GENE0011	2134	5	2098
GENE0012	18765	28	18432
GENE0013	9876	17	9721
GENE0014	27654	41	27234
GENE0015	4532	9	4456
GENE0016	16789	25	16523
GENE0017	11234	18	11034
GENE0018	22456	36	22101
GENE0019	6789	13	6678
GENE0020	31245	49	30867
GENE0021	8901	14	8756
GENE0022	14567	22	14321
GENE0023	20123	33	19812
GENE0024	5234	10	5145
GENE0025	38901	61	38456
GENE0026	13456	21	13234
GENE0027	9012	16	8876
GENE0028	24567	39	24189
GENE0029	7123	12	7001
GENE0030	29876	47	29456
GENE0031	3789	7	3721
GENE0032	17890	27	17589
GENE0033	10987	19	10789
GENE0034	26789	43	26378
GENE0035	4890	9	4801
GENE0036	35678	56	35234
GENE0037	12345	20	12134
GENE0038	8234	15	8101
GENE0039	21890	35	21534
GENE0040	6345	11	6234
GENE0041	32567	51	32145
GENE0042	9345	16	9189
GENE0043	15678	24	15401
GENE0044	19567	32	19234
GENE0045	5567	10	5467
GENE0046	40123	63	39678
GENE0047	14234	23	13989
GENE0048	7567	13	7434
GENE0049	23456	38	23078
GENE0050	6678	12	6556
GENE0051	30234	48	29823
GENE0052	8567	15	8423
GENE0053	16234	26	15967
GENE0054	11567	19	11367
GENE0055	25234	40	24856
GENE0056	4678	8	4589
GENE0057	37890	59	37401
GENE0058	13678	22	13445
GENE0059	9456	17	9289
GENE0060	22890	37	22501
GENE0061	6890	13	6767
GENE0062	33678	53	33234
GENE0063	10234	18	10056
GENE0064	18234	29	17923
GENE0065	21234	34	20901
GENE0066	5890	11	5789
GENE0067	39456	62	38989
GENE0068	14890	24	14623
GENE0069	8678	15	8523
GENE0070	24890	40	24501
GENE0071	7234	13	7112
GENE0072	31678	50	31234
GENE0073	9678	17	9512
GENE0074	17234	28	16945
GENE0075	12678	21	12456
GENE0076	26234	42	25867
GENE0077	5123	9	5034
GENE0078	36234	57	35789
GENE0079	13890	23	13656
GENE0080	8890	16	8734
GENE0081	23678	38	23289
GENE0082	6456	12	6334
GENE0083	32890	52	32456
GENE0084	10456	18	10267
GENE0085	19890	32	19567
GENE0086	22345	36	21989
GENE0087	5789	10	5678
GENE0088	41234	65	40789
GENE0089	15234	25	14989
GENE0090	7890	14	7756
GENE0091	25890	41	25467
GENE0092	6234	11	6123
GENE0093	34567	54	34123
GENE0094	11890	20	11689
GENE0095	20567	33	20234
__no_feature	125678	124567	125234
__ambiguous	543	512	534
__too_low_aQual	234	221	228
__not_aligned	8934	8876	8912
__alignment_not_unique	7823	7789	7801
