feature1,feature2,feature3,feature4,feature5,target
67.8,-45.3,22.1,91.5,-67.8,1
-23.4,56.7,-89.2,34.5,12.8,0
45.6,-12.3,78.9,-56.4,23.1,1
-78.9,34.2,-45.6,67.8,-23.4,0
12.3,89.4,-34.5,56.7,-78.9,1
-56.7,23.4,67.8,-89.1,45.2,0
34.5,-67.8,12.3,45.6,-23.4,1
89.1,-34.2,56.7,-12.3,78.9,0
-45.6,78.9,-23.4,34.5,67.8,1
23.4,-56.7,89.1,-45.6,12.3,0
-12.3,45.6,-67.8,23.4,89.1,1
56.7,-23.4,34.5,-78.9,45.6,0
-89.1,67.8,-12.3,56.7,-34.5,1
78.9,-45.6,23.4,-67.8,12.3,0
-34.5,12.3,45.6,-23.4,78.9,1
67.8,-89.1,34.5,12.3,-56.7,0
-23.4,56.7,78.9,-45.6,34.5,1
45.6,-12.3,-67.8,89.1,-23.4,0
-78.9,34.5,12.3,-56.7,67.8,1
12.3,-45.6,56.7,23.4,-89.1,0
89.1,-67.8,45.6,-34.5,12.3,1
-56.7,23.4,-12.3,78.9,-45.6,0
34.5,67.8,-89.1,45.6,-23.4,1
-12.3,89.1,-56.7,34.5,12.3,0
23.4,-34.5,67.8,-12.3,56.7,1
-67.8,45.6,-23.4,89.1,-34.5,0
56.7,-78.9,12.3,67.8,-45.6,1
-45.6,34.5,89.1,-67.8,23.4,0
78.9,-23.4,45.6,-89.1,34.5,1
-34.5,12.3,-56.7,45.6,78.9,0
12.3,67.8,-45.6,23.4,-12.3,1
-89.1,56.7,34.5,-23.4,67.8,0
45.6,-34.5,78.9,12.3,-67.8,1
-23.4,89.1,-12.3,56.7,34.5,0
67.8,-56.7,23.4,-45.6,89.1,1
-12.3,45.6,67.8,-89.1,23.4,0
34.5,-23.4,56.7,78.9,-45.6,1
-78.9,12.3,-34.5,67.8,45.6,0
89.1,-45.6,12.3,-56.7,34.5,1
-56.7,78.9,-23.4,45.6,-12.3,0
23.4,-67.8,89.1,-34.5,56.7,1
-45.6,34.5,-78.9,12.3,67.8,0
56.7,-12.3,45.6,-23.4,89.1,1
-34.5,67.8,-56.7,89.1,-23.4,0
78.9,-89.1,34.5,-12.3,45.6,1
-67.8,23.4,12.3,-45.6,56.7,0
12.3,-34.5,67.8,89.1,-78.9,1
-23.4,56.7,-45.6,34.5,12.3,0
45.6,-78.9,23.4,67.8,-34.5,1
-89.1,45.6,-12.3,23.4,78.9,0
34.5,-56.7,78.9,-67.8,12.3,1
-12.3,89.1,-23.4,45.6,-56.7,0
67.8,-45.6,56.7,-89.1,34.5,1
-56.7,34.5,-67.8,12.3,89.1,0
23.4,-12.3,45.6,-34.5,67.8,1
-45.6,67.8,-89.1,56.7,-23.4,0
89.1,-23.4,34.5,-78.9,45.6,1
-34.5,56.7,12.3,-45.6,78.9,0
78.9,-67.8,45.6,23.4,-12.3,1
-67.8,89.1,-34.5,67.8,-45.6,0
12.3,-56.7,78.9,-23.4,34.5,1
-78.9,45.6,-12.3,89.1,-67.8,0
56.7,-34.5,67.8,-45.6,23.4,1
-23.4,12.3,-78.9,56.7,45.6,0
45.6,-89.1,34.5,-12.3,67.8,1
-12.3,67.8,-56.7,78.9,-34.5,0
34.5,-45.6,89.1,-67.8,56.7,1
-89.1,23.4,-34.5,45.6,12.3,0
67.8,-78.9,56.7,-23.4,89.1,1
-56.7,45.6,-67.8,34.5,-12.3,0
23.4,-34.5,12.3,89.1,-56.7,1
-45.6,78.9,-89.1,67.8,34.5,0
89.1,-12.3,45.6,-56.7,23.4,1
-34.5,67.8,-45.6,12.3,78.9,0
78.9,-23.4,67.8,-89.1,45.6,1
-67.8,56.7,-12.3,34.5,89.1,0
12.3,-45.6,34.5,67.8,-23.4,1
-78.9,89.1,-56.7,23.4,45.6,0
56.7,-67.8,12.3,-34.5,78.9,1
-23.4,34.5,89.1,-78.9,56.7,0
45.6,-56.7,23.4,12.3,-89.1,1
-12.3,78.9,-34.5,56.7,67.8,0
34.5,-23.4,67.8,-12.3,89.1,1
-89.1,45.6,-78.9,34.5,23.4,0
67.8,-34.5,56.7,89.1,-45.6,1
-56.7,12.3,-23.4,67.8,34.5,0
23.4,-89.1,45.6,-56.7,78.9,1
-45.6,67.8,-34.5,89.1,12.3,0
89.1,-78.9,23.4,-45.6,56.7,1
-34.5,56.7,78.9,-67.8,45.6,0
78.9,-12.3,34.5,-23.4,67.8,1
-67.8,45.6,-89.1,78.9,-34.5,0
12.3,-56.7,67.8,45.6,-78.9,1
-78.9,34.5,-45.6,12.3,89.1,0
56.7,-23.4,89.1,-67.8,34.5,1
-23.4,78.9,-56.7,45.6,12.3,0
45.6,-34.5,12.3,78.9,-67.8,1
-12.3,67.8,-78.9,34.5,56.7,0
