transaction_id,cust_id,prod_id,amount,transaction_date
TXN1001,1001,P001,125.50,2024-01-15
TXN1002,1003,P012,89.99,2024-01-15
TXN1003,1002,P005,234.75,2024-01-16
TXN1004,1015,P023,456.80,2024-01-16
TXN1005,1008,P007,67.25,2024-01-17
TXN1006,1022,P034,189.50,2024-01-17
TXN1007,1011,P009,345.99,2024-01-18
TXN1008,1005,P015,78.40,2024-01-18
TXN1009,1033,P028,512.30,2024-01-19
TXN1010,1019,P041,92.75,2024-01-19
TXN1011,1027,P003,267.80,2024-01-20
TXN1012,1014,P019,134.50,2024-01-20
TXN1013,1040,P025,423.65,2024-01-21
TXN1014,1006,P011,88.90,2024-01-21
TXN1015,1052,P037,201.25,2024-01-22
TXN1016,1031,P006,156.75,2024-01-22
TXN1017,1009,P048,389.40,2024-01-23
TXN1018,1044,P014,99.99,2024-01-23
TXN1019,1017,P029,275.30,2024-01-24
TXN1020,1063,P042,167.85,2024-01-24
TXN1021,1025,P008,445.20,2024-01-25
TXN1022,1012,P021,73.60,2024-01-25
TXN1023,1048,P033,298.75,2024-01-26
TXN1024,1007,P016,124.95,2024-01-26
TXN1025,1056,P045,534.50,2024-01-27
TXN1026,1020,P002,85.30,2024-01-27
TXN1027,1038,P027,412.80,2024-01-28
TXN1028,1013,P010,159.40,2024-01-28
TXN1029,1070,P039,221.65,2024-01-29
TXN1030,1029,P018,96.75,2024-01-29
TXN1031,1004,P024,367.90,2024-01-30
TXN1032,1046,P047,143.25,2024-01-30
TXN1033,1023,P004,489.55,2024-01-31
TXN1034,1061,P031,118.80,2024-01-31
TXN1035,1016,P013,256.40,2024-02-01
TXN1036,1053,P036,187.95,2024-02-01
TXN1037,1010,P020,324.70,2024-02-02
TXN1038,1042,P049,91.50,2024-02-02
TXN1039,1028,P026,453.85,2024-02-03
TXN1040,1065,P009,176.30,2024-02-03
TXN1041,1034,P017,289.60,2024-02-04
TXN1042,1018,P040,112.45,2024-02-04
TXN1043,1073,P032,398.20,2024-02-05
TXN1044,1021,P007,82.95,2024-02-05
TXN1045,1050,P044,267.75,2024-02-06
TXN1046,1026,P001,145.30,2024-02-06
TXN1047,1068,P022,521.90,2024-02-07
TXN1048,1036,P035,94.80,2024-02-07
TXN1049,1008,P012,378.45,2024-02-08
TXN1050,1057,P046,129.65,2024-02-08
TXN1051,1041,P005,456.20,2024-02-09
TXN1052,1015,P030,108.90,2024-02-09
TXN1053,1077,P043,234.55,2024-02-10
TXN1054,1030,P015,168.75,2024-02-10
TXN1055,1003,P028,492.30,2024-02-11
TXN1056,1059,P008,87.40,2024-02-11
TXN1057,1024,P038,312.85,2024-02-12
TXN1058,1045,P019,156.20,2024-02-12
TXN1059,1071,P050,423.95,2024-02-13
TXN1060,1032,P011,99.50,2024-02-13
TXN1061,1011,P025,278.40,2024-02-14
TXN1062,1062,P041,134.70,2024-02-14
TXN1063,1037,P006,501.25,2024-02-15
TXN1064,1019,P033,115.85,2024-02-15
TXN1065,1075,P016,349.60,2024-02-16
TXN1066,1043,P048,192.30,2024-02-16
TXN1067,1006,P003,267.95,2024-02-17
TXN1068,1054,P029,123.45,2024-02-17
TXN1069,1027,P042,445.80,2024-02-18
TXN1070,1080,P014,88.65,2024-02-18
TXN1071,1035,P037,321.50,2024-02-19
TXN1072,1014,P002,159.90,2024-02-19
TXN1073,1066,P027,478.25,2024-02-20
TXN1074,1022,P045,106.70,2024-02-20
TXN1075,1049,P010,289.35,2024-02-21
TXN1076,1012,P034,167.55,2024-02-21
TXN1077,1074,P047,534.90,2024-02-22
TXN1078,1039,P021,95.20,2024-02-22
TXN1079,1005,P039,412.45,2024-02-23
TXN1080,1060,P004,142.80,2024-02-23
TXN1081,1033,P031,356.70,2024-02-24
TXN1082,1017,P013,118.95,2024-02-24
TXN1083,1076,P049,489.60,2024-02-25
TXN1084,1047,P023,87.35,2024-02-25
TXN1085,1009,P036,254.85,2024-02-26
TXN1086,1067,P018,176.40,2024-02-26
TXN1087,1025,P044,398.50,2024-02-27
TXN1088,1051,P009,112.75,2024-02-27
TXN1089,1078,P026,467.20,2024-02-28
TXN1090,1040,P040,129.90,2024-02-28
TXN1091,1013,P007,334.65,2024-02-29
TXN1092,1069,P032,145.30,2024-02-29
TXN1093,1031,P017,512.85,2024-03-01
TXN1094,1004,P046,98.50,2024-03-01
TXN1095,1058,P024,276.40,2024-03-02
TXN1096,1023,P050,163.75,2024-03-02
TXN1097,1072,P001,445.95,2024-03-03
TXN1098,1044,P035,121.20,2024-03-03
TXN1099,1016,P012,367.55,2024-03-04
TXN1100,1064,P043,189.85,2024-03-04
TXN1101,1028,P005,501.30,2024-03-05
TXN1102,1055,P030,94.65,2024-03-05
TXN1103,1020,P022,312.90,2024-03-06
TXN1104,1079,P038,157.45,2024-03-06
TXN1105,1046,P015,423.70,2024-03-07
TXN1106,1007,P028,108.25,2024-03-07
TXN1107,1063,P008,289.80,2024-03-08
TXN1108,1038,P041,172.35,2024-03-08
TXN1109,1001,P019,534.55,2024-03-09
TXN1110,1070,P033,119.90,2024-03-09
TXN1111,1029,P011,356.45,2024-03-10
TXN1112,1052,P025,142.60,2024-03-10
TXN1113,1018,P048,478.20,2024-03-11
TXN1114,1065,P006,96.85,2024-03-11
TXN1115,1042,P037,267.50,2024-03-12
TXN1116,1002,P002,185.75,2024-03-12
TXN1117,1073,P029,412.95,2024-03-13
TXN1118,1034,P042,127.40,2024-03-13
TXN1119,1010,P014,345.65,2024-03-14
TXN1120,1061,P047,153.20,2024-03-14
