transaction_id,customer_id,product,amount,date
T001,1025,Laptop,1299.99,2024-01-15
T002,1003,Mouse,29.99,2024-01-15
T003,1047,Keyboard,89.99,2024-01-16
T004,1012,Monitor,459.99,2024-01-16
T005,1038,Tablet,599.99,2024-01-17
T006,1005,Headphones,149.99,2024-01-17
T007,1044,Laptop,1499.99,2024-01-18
T008,1019,Phone,899.99,2024-01-18
T009,1031,Mouse,34.99,2024-01-19
T010,1008,Keyboard,119.99,2024-01-19
T011,1042,Monitor,549.99,2024-01-20
T012,1015,Tablet,699.99,2024-01-20
T013,1028,Headphones,199.99,2024-01-21
T014,1050,Laptop,1399.99,2024-01-21
T015,1007,Phone,799.99,2024-01-22
T016,1033,Mouse,24.99,2024-01-22
T017,1021,Keyboard,79.99,2024-01-23
T018,1046,Monitor,649.99,2024-01-23
T019,1011,Tablet,549.99,2024-01-24
T020,1037,Headphones,179.99,2024-01-24
T021,1002,Laptop,1599.99,2024-01-25
T022,1029,Phone,949.99,2024-01-25
T023,1014,Mouse,39.99,2024-01-26
T024,1040,Keyboard,99.99,2024-01-26
T025,1023,Monitor,499.99,2024-01-27
T026,1048,Tablet,629.99,2024-01-27
T027,1006,Headphones,159.99,2024-01-28
T028,1035,Laptop,1449.99,2024-01-28
T029,1017,Phone,849.99,2024-01-29
T030,1043,Mouse,44.99,2024-01-29
T031,1010,Keyboard,109.99,2024-01-30
T032,1027,Monitor,579.99,2024-01-30
T033,1049,Tablet,679.99,2024-01-31
T034,1004,Headphones,189.99,2024-01-31
T035,1032,Laptop,1349.99,2024-02-01
T036,1020,Phone,879.99,2024-02-01
T037,1045,Mouse,54.99,2024-02-02
T038,1009,Keyboard,129.99,2024-02-02
T039,1036,Monitor,619.99,2024-02-03
T040,1013,Tablet,589.99,2024-02-03
T041,1041,Headphones,169.99,2024-02-04
T042,1024,Laptop,1549.99,2024-02-04
T043,1001,Phone,929.99,2024-02-05
T044,1030,Mouse,49.99,2024-02-05
T045,1016,Keyboard,89.99,2024-02-06
T046,1039,Monitor,529.99,2024-02-06
T047,1022,Tablet,649.99,2024-02-07
T048,1047,Headphones,209.99,2024-02-07
T049,1008,Laptop,1249.99,2024-02-08
T050,1034,Phone,899.99,2024-02-08
T051,1018,Mouse,59.99,2024-02-09
T052,1044,Keyboard,139.99,2024-02-09
T053,1026,Monitor,559.99,2024-02-10
T054,1050,Tablet,719.99,2024-02-10
T055,1003,Headphones,219.99,2024-02-11
T056,1038,Laptop,1429.99,2024-02-11
T057,1012,Phone,859.99,2024-02-12
T058,1042,Mouse,64.99,2024-02-12
T059,1005,Keyboard,149.99,2024-02-13
T060,1031,Monitor,589.99,2024-02-13
T061,1019,Tablet,599.99,2024-02-14
T062,1046,Headphones,229.99,2024-02-14
T063,1015,Laptop,1379.99,2024-02-15
T064,1037,Phone,919.99,2024-02-15
T065,1007,Mouse,69.99,2024-02-16
T066,1028,Keyboard,159.99,2024-02-16
T067,1050,Monitor,699.99,2024-02-17
T068,1021,Tablet,639.99,2024-02-17
T069,1033,Headphones,239.99,2024-02-18
T070,1011,Laptop,1499.99,2024-02-18
T071,1040,Phone,889.99,2024-02-19
T072,1002,Mouse,74.99,2024-02-19
T073,1029,Keyboard,169.99,2024-02-20
T074,1014,Monitor,629.99,2024-02-20
T075,1048,Tablet,659.99,2024-02-21
T076,1023,Headphones,249.99,2024-02-21
T077,1006,Laptop,1329.99,2024-02-22
T078,1043,Phone,939.99,2024-02-22
T079,1035,Mouse,79.99,2024-02-23
T080,1017,Keyboard,179.99,2024-02-23
T081,1010,Monitor,659.99,2024-02-24
T082,1049,Tablet,689.99,2024-02-24
T083,1027,Headphones,259.99,2024-02-25
T084,1004,Laptop,1459.99,2024-02-25
T085,1045,Phone,969.99,2024-02-26
T086,1032,Mouse,84.99,2024-02-26
T087,1020,Keyboard,189.99,2024-02-27
T088,1009,Monitor,689.99,2024-02-27
T089,1036,Tablet,709.99,2024-02-28
T090,1041,Headphones,269.99,2024-02-28
T091,1013,Laptop,1569.99,2024-02-29
T092,1024,Phone,989.99,2024-02-29
T093,1001,Mouse,89.99,2024-03-01
T094,1030,Keyboard,199.99,2024-03-01
T095,1016,Monitor,719.99,2024-03-02
T096,1039,Tablet,729.99,2024-03-02
T097,1022,Headphones,279.99,2024-03-03
T098,1047,Laptop,1629.99,2024-03-03
T099,1008,Phone,1099.99,2024-03-04
T100,1034,Mouse,94.99,2024-03-04
