transaction_id,amount,customer_id
1001,125.50,15
1002,89.99,23
1003,234.75,15
1004,45.20,8
1005,312.40,32
1006,178.90,12
1007,95.30,28
1008,267.85,5
1009,143.60,19
1010,201.25,15
1011,88.75,34
1012,156.40,7
1013,329.50,23
1014,72.30,11
1015,198.80,29
1016,445.60,3
1017,115.90,18
1018,283.45,15
1019,67.20,25
1020,391.30,8
1021,129.75,36
1022,254.60,12
1023,103.85,21
1024,487.20,5
1025,176.40,30
1026,92.55,14
1027,338.90,23
1028,148.70,27
1029,219.30,15
1030,81.45,9
1031,356.80,32
1032,124.95,17
1033,289.40,8
1034,165.20,22
1035,413.75,3
1036,97.60,28
1037,271.30,12
1038,134.85,35
1039,188.50,19
1040,456.90,5
1041,113.25,24
1042,302.60,15
1043,79.40,11
1044,245.70,31
1045,158.90,7
1046,384.25,23
1047,106.80,16
1048,228.45,29
1049,91.30,20
1050,349.60,8
1051,172.85,33
1052,427.40,3
1053,119.70,18
1054,264.90,12
1055,85.55,26
1056,311.20,15
1057,147.35,37
1058,203.80,5
1059,468.50,32
1060,98.25,10
1061,276.70,23
1062,131.90,14
1063,395.45,8
1064,164.60,22
1065,89.80,28
1066,324.30,15
1067,112.45,38
1068,257.90,7
1069,186.25,19
1070,73.60,25
1071,341.75,3
1072,152.40,29
1073,298.85,12
1074,107.20,21
1075,433.60,5
1076,178.50,30
1077,94.75,13
1078,366.90,23
1079,141.30,27
1080,223.45,15
1081,482.20,8
1082,116.85,35
1083,287.60,32
1084,169.40,17
1085,77.95,11
1086,352.30,3
1087,128.70,24
1088,245.85,12
1089,193.50,19
1090,409.25,5
1091,101.60,16
1092,318.40,23
1093,155.75,28
1094,86.20,20
1095,274.90,15
1096,139.45,36
1097,376.80,8
1098,162.30,22
1099,449.70,3
1100,104.85,26
1101,231.60,29
1102,175.25,7
1103,92.40,14
1104,328.50,12
1105,148.95,31
1106,295.70,15
1107,118.30,18
1108,387.45,5
1109,84.60,10
1110,262.90,23
1111,134.75,33
1112,421.30,8
1113,157.85,27
1114,199.40,19
1115,78.50,25
1116,345.60,3
1117,126.20,37
1118,283.75,12
1119,165.90,21
1120,403.25,32
1121,96.45,13
1122,314.80,15
1123,142.60,29
1124,268.35,23
1125,189.70,7
1126,71.85,11
1127,358.90,5
1128,121.50,24
1129,247.65,8
1130,174.20,17
1131,438.40,3
1132,109.75,28
1133,291.30,12
1134,151.95,30
1135,82.40,20
1136,367.85,15
1137,136.60,35
1138,225.50,19
1139,493.70,32
1140,114.25,16
1141,304.90,23
1142,168.45,22
1143,88.60,26
1144,335.20,8
1145,145.80,34
1146,279.45,15
1147,196.30,7
1148,415.60,3
1149,103.95,18
1150,251.75,12
