I 0108 08:15:23.456789    1234 server.go:198] Version: v1.28.2
I 0108 08:15:23.458921    1234 server.go:420] "Kubelet running in standalone mode"
I 0108 08:15:23.461234    1234 server.go:753] "Starting kubelet"
I 0108 08:15:23.465678    1234 certificate_manager.go:133] "Rotating certificates"
I 0108 08:15:23.478901    1234 dynamic_cafile_content.go:157] "Loaded client CA" file="/etc/kubernetes/pki/ca.crt"
I 0108 08:15:23.523456    1234 server.go:821] "Started kubelet"
I 0108 08:15:23.534567    1234 fs_resource_analyzer.go:64] "Starting FS ResourceAnalyzer"
I 0108 08:15:23.545678    1234 volume_manager.go:291] "Starting Kubelet Volume Manager"
I 0108 08:15:23.556789    1234 desired_state_of_world_populator.go:151] "Desired state populator starts to run"
I 0108 08:15:23.567890    1234 reconciler.go:157] "Starting reconciler" operationExecutor="OperationExecutor"
I 0108 08:15:23.578901    1234 kubelet.go:2238] "Starting kubelet main sync loop"
I 0108 08:15:23.590123    1234 kubelet.go:2265] "SyncLoop (PLEG): event for pod" event=&{ID:12345 Type:ContainerStarted Data:pod1}
I 0108 08:15:23.645678    1234 kubelet_node_status.go:73] "Attempting to register node" node="worker-node-03"
I 0108 08:15:23.678901    1234 kubelet_node_status.go:112] "Node was previously registered" node="worker-node-03"
I 0108 08:15:23.701234    1234 kubelet_node_status.go:502] "Recording NodeReady event" message="Node worker-node-03 status is now: NodeReady"
I 0108 08:15:24.123456    1234 kubelet.go:2287] "SyncLoop (housekeeping)"
I 0108 08:15:25.234567    1234 status_manager.go:663] "Status Manager: adding pod with IP" pod="kube-system/kube-proxy-abc123" podIP="10.244.1.5"
I 0108 08:15:26.345678    1234 prober_manager.go:311] "Readiness probe for container succeeded" containerID="containerd://abcdef123456"
I 0108 08:15:30.456789    1234 kubelet_node_status.go:502] "Recording event message for node" event="NodeHasSufficientMemory"
I 0108 08:15:35.567890    1234 kubelet_node_status.go:502] "Recording event message for node" event="NodeHasNoDiskPressure"
I 0108 08:45:12.678901    1234 kubelet.go:2287] "SyncLoop (housekeeping)"
I 0108 08:45:15.789012    1234 status_manager.go:663] "Status Manager: syncing batch"
E 0108 08:45:18.890123    1234 remote_runtime.go:390] "Status from runtime service failed" err="rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial unix /var/run/containerd/containerd.sock: connect: no such file or directory\""
E 0108 08:45:18.891234    1234 kubelet.go:2424] "Error getting node status, will retry" err="failed to get container runtime status: rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial unix /var/run/containerd/containerd.sock: connect: no such file or directory\""
W 0108 08:45:18.892345    1234 kubelet_node_status.go:487] "Failed to get container runtime status" err="rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial unix /var/run/containerd/containerd.sock: connect: no such file or directory\""
E 0108 08:45:19.901234    1234 remote_runtime.go:390] "Status from runtime service failed" err="rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial unix /var/run/containerd/containerd.sock: connect: no such file or directory\""
I 0108 08:45:19.902345    1234 kubelet_node_status.go:502] "Recording event message for node" event="NodeStatusUnknown" message="Kubelet stopped posting node status"
W 0108 08:45:20.912345    1234 pod_workers.go:965] "Error syncing pod, skipping" err="failed to \"StartContainer\" for container with rpc error: code = Unavailable desc = connection error"
E 0108 08:45:21.923456    1234 remote_runtime.go:390] "Status from runtime service failed" err="rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial unix /var/run/containerd/containerd.sock: connect: no such file or directory\""
E 0108 08:45:21.924567    1234 kuberuntime_manager.go:1234] "GetPodStatus failed" err="rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial unix /var/run/containerd/containerd.sock: connect: no such file or directory\""
E 0108 08:45:22.934567    1234 remote_runtime.go:390] "Status from runtime service failed" err="rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial unix /var/run/containerd/containerd.sock: connect: no such file or directory\""
W 0108 08:45:22.935678    1234 kubelet.go:2287] "Container runtime status check failed" err="rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial unix /var/run/containerd/containerd.sock: connect: no such file or directory\""
E 0108 08:45:23.945678    1234 remote_runtime.go:390] "Status from runtime service failed" err="rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial unix /var/run/containerd/containerd.sock: connect: no such file or directory\""
E 0108 08:45:23.946789    1234 kubelet.go:2424] "Error getting node status, will retry" err="failed to get container runtime status: rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial unix /var/run/containerd/containerd.sock: connect: no such file or directory\""
W 0108 08:45:24.956789    1234 kubelet_node_status.go:487] "Failed to get container runtime status" err="rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial unix /var/run/containerd/containerd.sock: connect: no such file or directory\""
E 0108 08:45:24.957890    1234 kubelet.go:2265] "Container runtime is not responding" error="rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial unix /var/run/containerd/containerd.sock: connect: no such file or directory\""
E 0108 08:45:25.967890    1234 remote_runtime.go:390] "Status from runtime service failed" err="rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial unix /var/run/containerd/containerd.sock: connect: no such file or directory\""
W 0108 08:45:26.978901    1234 pod_workers.go:965] "Error syncing pod, skipping" pod="default/nginx-deployment-abc123" err="failed to \"StartContainer\" for container with rpc error: code = Unavailable desc = connection error"
E 0108 08:45:27.989012    1234 remote_runtime.go:390] "Status from runtime service failed" err="rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial unix /var/run/containerd/containerd.sock: connect: no such file or directory\""
E 0108 08:45:27.990123    1234 kuberuntime_manager.go:1234] "GetPodStatus failed" pod="default/app-backend-xyz789" err="rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial unix /var/run/containerd/containerd.sock: connect: no such file or directory\""
E 0108 08:45:28.001234    1234 remote_runtime.go:390] "Status from runtime service failed" err="rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial unix /var/run/containerd/containerd.sock: connect: no such file or directory\""
E 0108 08:45:29.012345    1234 remote_runtime.go:390] "Status from runtime service failed" err="rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial unix /var/run/containerd/containerd.sock: connect: no such file or directory\""
W 0108 08:45:29.013456    1234 kubelet_node_status.go:487] "Failed to get container runtime status" err="rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial unix /var/run/containerd/containerd.sock: connect: no such file or directory\""
E 0108 08:45:30.023456    1234 kubelet.go:2424] "Error getting node status, will retry" err="failed to get container runtime status: rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial unix /var/run/containerd/containerd.sock: connect: no such file or directory\""
