LAST SEEN   TYPE      REASON              OBJECT                           MESSAGE
2m ago      Normal    Scheduled           pod/webapp-7d9f8b6c5-mx4pq      Successfully assigned default/webapp-7d9f8b6c5-mx4pq to node-worker-01
2m ago      Normal    Pulling             pod/webapp-7d9f8b6c5-mx4pq      Pulling image "myregistry.io/webapp:v2.1.3"
2m ago      Normal    Pulled              pod/webapp-7d9f8b6c5-mx4pq      Successfully pulled image "myregistry.io/webapp:v2.1.3" in 3.245s
2m ago      Normal    Created             pod/webapp-7d9f8b6c5-mx4pq      Created container webapp
2m ago      Normal    Started             pod/webapp-7d9f8b6c5-mx4pq      Started container webapp
1m58s ago   Warning   Unhealthy           pod/webapp-7d9f8b6c5-mx4pq      Readiness probe failed: Get "http://10.244.2.15:8080/health": dial tcp 10.244.2.15:8080: connect: connection refused
1m55s ago   Warning   Unhealthy           pod/webapp-7d9f8b6c5-mx4pq      Liveness probe failed: Get "http://10.244.2.15:8080/health": dial tcp 10.244.2.15:8080: connect: connection refused
1m52s ago   Warning   BackOff             pod/webapp-7d9f8b6c5-mx4pq      Back-off restarting failed container webapp in pod webapp-7d9f8b6c5-mx4pq_default(a7c3f9e1-4b2d-4c5e-8f9a-1b2c3d4e5f6a)
1m48s ago   Normal    Pulled              pod/webapp-7d9f8b6c5-mx4pq      Container image "myregistry.io/webapp:v2.1.3" already present on machine
1m48s ago   Normal    Created             pod/webapp-7d9f8b6c5-mx4pq      Created container webapp
1m48s ago   Normal    Started             pod/webapp-7d9f8b6c5-mx4pq      Started container webapp
1m30s ago   Warning   Unhealthy           pod/webapp-7d9f8b6c5-mx4pq      Readiness probe failed: Get "http://10.244.2.15:8080/health": dial tcp 10.244.2.15:8080: connect: connection refused
1m25s ago   Warning   BackOff             pod/webapp-7d9f8b6c5-mx4pq      Back-off restarting failed container webapp in pod webapp-7d9f8b6c5-mx4pq_default(a7c3f9e1-4b2d-4c5e-8f9a-1b2c3d4e5f6a)
1m10s ago   Normal    Pulled              pod/webapp-7d9f8b6c5-mx4pq      Container image "myregistry.io/webapp:v2.1.3" already present on machine
1m10s ago   Normal    Created             pod/webapp-7d9f8b6c5-mx4pq      Created container webapp
1m10s ago   Normal    Started             pod/webapp-7d9f8b6c5-mx4pq      Started container webapp
58s ago     Warning   Unhealthy           pod/webapp-7d9f8b6c5-mx4pq      Readiness probe failed: Get "http://10.244.2.15:8080/health": dial tcp 10.244.2.15:8080: connect: connection refused
45s ago     Warning   BackOff             pod/webapp-7d9f8b6c5-mx4pq      Back-off restarting failed container webapp in pod webapp-7d9f8b6c5-mx4pq_default(a7c3f9e1-4b2d-4c5e-8f9a-1b2c3d4e5f6a)
30s ago     Normal    Pulled              pod/webapp-7d9f8b6c5-mx4pq      Container image "myregistry.io/webapp:v2.1.3" already present on machine
30s ago     Normal    Created             pod/webapp-7d9f8b6c5-mx4pq      Created container webapp
30s ago     Normal    Started             pod/webapp-7d9f8b6c5-mx4pq      Started container webapp
15s ago     Warning   Unhealthy           pod/webapp-7d9f8b6c5-mx4pq      Liveness probe failed: Get "http://10.244.2.15:8080/health": dial tcp 10.244.2.15:8080: connect: connection refused
8s ago      Warning   BackOff             pod/webapp-7d9f8b6c5-mx4pq      Back-off restarting failed container webapp in pod webapp-7d9f8b6c5-mx4pq_default(a7c3f9e1-4b2d-4c5e-8f9a-1b2c3d4e5f6a)
