2024-01-15 08:23:17 | production/web-app-data | FailedBinding | storageclass.storage.k8s.io "standard" not found
2024-01-15 08:23:18 | production/database-storage | FailedBinding | storageclass.storage.k8s.io "standard" not found
2024-01-15 08:45:32 | staging/cache-volume | FailedBinding | no persistent volumes available for this claim and no storage class is set
2024-01-15 09:12:45 | production/web-app-data | ProvisioningFailed | failed to provision volume with StorageClass "standard": storageclass.storage.k8s.io "standard" not found
2024-01-15 09:12:46 | production/database-storage | ProvisioningFailed | failed to provision volume with StorageClass "standard": storageclass.storage.k8s.io "standard" not found
2024-01-15 10:34:22 | development/test-data | FailedBinding | PersistentVolumeClaim is not bound
2024-01-15 11:08:55 | staging/cache-volume | WaitForFirstConsumer | waiting for a volume to be created, either by external provisioner or manually
2024-01-16 07:15:33 | production/logs-volume | FailedBinding | storageclass.storage.k8s.io "standard" not found
2024-01-16 07:15:35 | production/web-app-data | FailedBinding | storageclass.storage.k8s.io "standard" not found
2024-01-16 08:22:41 | production/logs-volume | ProvisioningFailed | failed to provision volume with StorageClass "standard": storageclass.storage.k8s.io "standard" not found
2024-01-16 09:47:19 | staging/app-config | FailedBinding | no persistent volumes available for this claim and no storage class is set
2024-01-16 12:33:28 | production/database-storage | FailedBinding | storageclass.storage.k8s.io "standard" not found
2024-01-16 14:55:47 | development/test-data | WaitForFirstConsumer | waiting for a volume to be created, either by external provisioner or manually
2024-01-17 06:42:11 | production/web-app-data | ProvisioningFailed | failed to provision volume with StorageClass "standard": storageclass.storage.k8s.io "standard" not found
2024-01-17 07:18:33 | production/logs-volume | FailedBinding | storageclass.storage.k8s.io "standard" not found
2024-01-17 09:05:22 | staging/cache-volume | FailedBinding | PersistentVolumeClaim is not bound
2024-01-17 10:29:44 | production/database-storage | ProvisioningFailed | failed to provision volume with StorageClass "standard": storageclass.storage.k8s.io "standard" not found
2024-01-17 11:52:08 | staging/app-config | WaitForFirstConsumer | waiting for a volume to be created, either by external provisioner or manually
2024-01-17 13:14:55 | development/test-data | FailedBinding | no persistent volumes available for this claim and no storage class is set
