user_id,page_views,time_spent,clicks,traffic_source,device_category,user_segment,browser_type,session_duration,bounce_rate,pages_per_session,avg_session_value,product_views,cart_adds,cart_abandonment,email_opens,promo_code_used,converted
1,23,1847.32,45,organic,desktop,returning,chrome,3421.45,0.23,8.4,234.56,12,4,0,8,1,1
2,8,234.67,12,paid_search,mobile,new,safari,567.89,0.67,2.3,45.23,3,0,1,2,0,0
3,35,2456.78,67,social,desktop,loyal,chrome,5234.12,0.12,14.2,389.45,18,7,0,14,1,1
4,5,145.23,6,direct,tablet,new,edge,289.34,0.89,1.5,12.34,1,0,1,0,0,0
5,42,3123.45,82,referral,desktop,loyal,firefox,6543.21,0.08,16.8,456.78,25,9,0,18,1,1
6,12,678.91,23,organic,mobile,returning,chrome,1234.56,0.45,4.2,123.45,6,2,1,5,0,0
7,3,98.45,4,social,mobile,new,other,187.65,0.92,1.2,8.76,0,0,1,1,0,0
8,28,2134.56,54,paid_search,desktop,loyal,chrome,4567.89,0.15,11.3,312.67,15,6,0,12,1,1
9,16,945.67,28,organic,tablet,returning,safari,1876.54,0.34,5.6,178.90,8,3,0,7,0,1
10,7,312.45,11,direct,mobile,new,chrome,623.45,0.78,2.1,34.56,2,0,1,3,0,0
11,31,2345.67,59,referral,desktop,loyal,firefox,4987.65,0.18,12.4,367.89,17,7,0,15,1,1
12,9,456.78,15,social,mobile,at_risk,safari,876.54,0.56,3.1,89.12,4,1,1,4,0,0
13,38,2789.34,71,organic,desktop,loyal,chrome,5678.90,0.11,15.2,423.45,21,8,0,16,1,1
14,6,223.45,9,paid_search,tablet,new,edge,445.67,0.82,1.8,23.45,2,0,1,1,0,0
15,25,1678.90,48,direct,desktop,returning,chrome,3234.56,0.28,9.3,267.89,11,5,0,9,1,1
16,11,567.89,19,social,mobile,new,other,1098.76,0.61,3.8,98.76,5,1,1,6,0,0
17,33,2567.12,63,referral,desktop,loyal,firefox,5123.45,0.14,13.7,389.12,19,7,0,13,1,1
18,4,167.89,7,organic,mobile,new,safari,334.56,0.87,1.4,15.67,1,0,1,0,0,0
19,29,2023.45,55,paid_search,desktop,returning,chrome,4123.45,0.21,10.6,298.45,14,6,0,11,1,1
20,13,734.56,24,social,tablet,returning,safari,1456.78,0.48,4.5,145.67,7,2,1,8,0,0
21,41,3045.67,79,organic,desktop,loyal,chrome,6234.56,0.09,16.2,445.67,23,9,0,17,1,1
22,8,289.34,13,direct,mobile,new,edge,578.90,0.73,2.4,45.67,3,0,1,2,0,0
23,26,1889.12,51,referral,desktop,returning,firefox,3789.12,0.25,9.8,278.90,12,5,0,10,1,1
24,10,498.76,17,social,mobile,at_risk,chrome,967.89,0.58,3.4,87.65,4,1,1,5,0,0
25,36,2678.90,68,paid_search,desktop,loyal,chrome,5456.78,0.13,14.8,401.23,20,8,0,15,1,1
26,5,189.23,8,organic,tablet,new,safari,378.45,0.85,1.6,19.87,1,0,1,1,0,0
27,30,2156.78,57,direct,desktop,loyal,firefox,4456.78,0.17,11.9,334.56,16,7,0,13,1,1
28,14,823.45,26,social,mobile,returning,other,1598.76,0.42,4.8,156.78,8,3,0,7,0,1
29,39,2890.12,73,referral,desktop,loyal,chrome,5890.12,0.10,15.6,434.56,22,8,0,16,1,1
30,7,267.89,10,paid_search,mobile,new,safari,534.56,0.76,2.2,38.90,2,0,1,3,0,0
31,27,1956.78,52,organic,desktop,returning,chrome,3890.12,0.24,10.1,289.12,13,5,0,11,1,1
32,12,645.67,21,social,tablet,new,edge,1234.56,0.52,3.9,112.34,6,2,1,6,0,0
33,34,2489.12,65,direct,desktop,loyal,firefox,5089.12,0.16,13.2,378.90,18,7,0,14,1,1
34,6,212.34,9,referral,mobile,new,chrome,423.45,0.84,1.7,21.23,2,0,1,1,0,0
35,24,1756.78,47,paid_search,desktop,returning,chrome,3567.89,0.27,9.1,256.78,11,4,0,9,1,1
36,15,876.54,29,social,mobile,at_risk,safari,1689.12,0.39,5.2,167.89,9,3,1,8,0,0
37,40,2967.89,76,organic,desktop,loyal,chrome,6089.12,0.08,16.5,456.78,24,9,0,18,1,1
38,9,378.90,14,direct,tablet,new,other,745.67,0.69,2.7,56.78,3,1,1,4,0,0
39,28,2034.56,54,referral,desktop,returning,firefox,4234.56,0.22,10.8,301.23,14,6,0,12,1,1
40,11,556.78,18,social,mobile,new,chrome,1078.90,0.63,3.6,89.12,5,1,1,5,0,0
41,37,2756.78,70,paid_search,desktop,loyal,chrome,5678.90,0.12,14.9,412.34,21,8,0,15,1,1
42,4,156.78,6,organic,mobile,new,safari,312.34,0.91,1.3,11.23,0,0,1,0,0,0
43,32,2289.12,61,direct,desktop,loyal,firefox,4789.12,0.15,12.7,356.78,17,7,0,14,1,1
44,13,767.89,25,social,tablet,returning,edge,1489.12,0.46,4.6,134.56,7,2,1,7,0,0
45,43,3156.78,84,referral,desktop,loyal,chrome,6456.78,0.07,17.1,478.90,26,9,0,19,1,1
46,8,312.34,12,paid_search,mobile,new,safari,623.45,0.72,2.5,47.89,3,0,1,2,0,0
47,25,1823.45,49,organic,desktop,returning,chrome,3678.90,0.26,9.5,278.90,12,5,0,10,1,1
48,10,489.12,16,social,mobile,at_risk,other,945.67,0.59,3.3,78.90,4,1,1,5,0,0
49,35,2589.12,66,direct,desktop,loyal,firefox,5289.12,0.14,13.9,389.12,19,7,0,15,1,1
50,6,234.56,9,referral,tablet,new,chrome,467.89,0.83,1.9,24.56,2,0,1,1,0,0
51,29,2089.12,56,paid_search,desktop,returning,chrome,4289.12,0.20,11.2,312.34,15,6,0,12,1,1
