tenure,monthly_charges,total_charges,contract_type,payment_method,internet_service,churn
12,65.50,786.00,Month-to-month,Electronic check,Fiber optic,1
48,89.25,4284.00,Two year,Credit card,DSL,0
6,45.00,270.00,Month-to-month,Mailed check,No,1
36,72.80,2620.80,One year,Bank transfer,Fiber optic,0
24,55.20,1324.80,Month-to-month,Electronic check,DSL,1
60,95.40,5724.00,Two year,Credit card,Fiber optic,0
3,38.50,115.50,Month-to-month,Mailed check,DSL,1
18,62.30,1121.40,Month-to-month,Electronic check,Fiber optic,1
42,78.90,3313.80,One year,Bank transfer,DSL,0
9,41.20,370.80,Month-to-month,Mailed check,No,1
54,88.60,4784.40,Two year,Credit card,Fiber optic,0
15,59.70,895.50,Month-to-month,Electronic check,DSL,1
30,68.40,2052.00,One year,Bank transfer,Fiber optic,0
7,43.80,306.60,Month-to-month,Mailed check,DSL,1
45,82.10,3694.50,Two year,Credit card,DSL,0
21,64.50,1354.50,Month-to-month,Electronic check,Fiber optic,1
33,71.20,2349.60,One year,Bank transfer,DSL,0
5,40.00,200.00,Month-to-month,Mailed check,No,1
51,86.30,4401.30,Two year,Credit card,Fiber optic,0
14,58.90,824.60,Month-to-month,Electronic check,DSL,1
39,76.50,2983.50,One year,Bank transfer,Fiber optic,0
8,44.60,356.80,Month-to-month,Mailed check,DSL,1
57,91.20,5198.40,Two year,Credit card,Fiber optic,0
19,63.10,1198.90,Month-to-month,Electronic check,Fiber optic,1
27,67.30,1817.10,One year,Bank transfer,DSL,0
4,39.20,156.80,Month-to-month,Mailed check,No,1
63,97.50,6142.50,Two year,Credit card,Fiber optic,0
11,52.40,576.40,Month-to-month,Electronic check,DSL,1
35,73.60,2576.00,One year,Bank transfer,Fiber optic,0
16,60.80,972.80,Month-to-month,Electronic check,DSL,1
49,84.70,4150.30,Two year,Credit card,Fiber optic,0
22,65.90,1449.80,Month-to-month,Mailed check,Fiber optic,1
38,75.20,2857.60,One year,Bank transfer,DSL,0
10,48.30,483.00,Month-to-month,Electronic check,No,1
