event_id,customer_id,timestamp,event_type
EVT-0001,CUST-001,2024-01-01T08:15:23Z,purchase
EVT-0002,CUST-012,2024-01-01T08:16:45Z,inquiry
EVT-0003,CUST-023,2024-01-01T08:17:12Z,purchase
EVT-0004,CUST-034,2024-01-01T08:18:33Z,support_ticket
EVT-0005,CUST-045,2024-01-01T08:19:44Z,purchase
EVT-0006,CUST-056,2024-01-01T08:20:55Z,inquiry
EVT-0007,CUST-001,2024-01-01T09:22:11Z,support_ticket
EVT-0008,CUST-012,2024-01-01T09:23:22Z,purchase
EVT-0009,CUST-023,2024-01-01T09:24:33Z,refund
EVT-0010,CUST-034,2024-01-01T09:25:44Z,inquiry
EVT-0011,CUST-045,2024-01-01T09:26:55Z,complaint
EVT-0012,CUST-056,2024-01-01T09:28:06Z,purchase
EVT-0013,CUST-067,2024-01-01T09:29:17Z,purchase
EVT-0014,CUST-001,2024-01-01T10:30:28Z,inquiry
EVT-0015,CUST-012,2024-01-01T10:31:39Z,refund
EVT-0016,CUST-023,2024-01-01T10:32:50Z,support_ticket
EVT-0017,CUST-034,2024-01-01T10:34:01Z,purchase
EVT-0018,CUST-045,2024-01-01T10:35:12Z,inquiry
EVT-0019,CUST-056,2024-01-01T10:36:23Z,support_ticket
EVT-0020,CUST-067,2024-01-01T10:37:34Z,inquiry
EVT-0021,CUST-078,2024-01-01T10:38:45Z,purchase
EVT-0022,CUST-001,2024-01-01T11:39:56Z,complaint
EVT-0023,CUST-012,2024-01-01T11:41:07Z,support_ticket
EVT-0024,CUST-023,2024-01-01T11:42:18Z,inquiry
EVT-0025,CUST-034,2024-01-01T11:43:29Z,complaint
EVT-0026,CUST-045,2024-01-01T11:44:40Z,refund
EVT-0027,CUST-056,2024-01-01T11:45:51Z,complaint
EVT-0028,CUST-067,2024-01-01T11:47:02Z,purchase
EVT-0029,CUST-078,2024-01-01T11:48:13Z,inquiry
EVT-0030,CUST-089,2024-01-01T11:49:24Z,purchase
EVT-0031,CUST-001,2024-01-01T12:50:35Z,refund
EVT-0032,CUST-012,2024-01-01T12:51:46Z,complaint
EVT-0033,CUST-023,2024-01-01T12:52:57Z,purchase
EVT-0034,CUST-034,2024-01-01T12:54:08Z,support_ticket
EVT-0035,CUST-045,2024-01-01T12:55:19Z,purchase
EVT-0036,CUST-056,2024-01-01T12:56:30Z,refund
EVT-0037,CUST-067,2024-01-01T12:57:41Z,support_ticket
EVT-0038,CUST-078,2024-01-01T12:58:52Z,complaint
EVT-0039,CUST-089,2024-01-01T13:00:03Z,inquiry
EVT-0040,CUST-015,2024-01-01T13:01:14Z,purchase
EVT-0041,CUST-001,2024-01-01T14:02:25Z,purchase
EVT-0042,CUST-012,2024-01-01T14:03:36Z,inquiry
EVT-0043,CUST-023,2024-01-01T14:04:47Z,complaint
EVT-0044,CUST-034,2024-01-01T14:05:58Z,refund
EVT-0045,CUST-045,2024-01-01T14:07:09Z,support_ticket
EVT-0046,CUST-056,2024-01-01T14:08:20Z,inquiry
EVT-0047,CUST-067,2024-01-01T14:09:31Z,complaint
EVT-0048,CUST-078,2024-01-01T14:10:42Z,refund
EVT-0049,CUST-089,2024-01-01T14:11:53Z,purchase
EVT-0050,CUST-015,2024-01-01T14:13:04Z,support_ticket
EVT-0051,CUST-026,2024-01-02T08:14:15Z,purchase
EVT-0052,CUST-001,2024-01-02T08:15:26Z,inquiry
EVT-0053,CUST-012,2024-01-02T08:16:37Z,purchase
EVT-0054,CUST-023,2024-01-02T08:17:48Z,refund
EVT-0055,CUST-034,2024-01-02T08:18:59Z,inquiry
EVT-0056,CUST-045,2024-01-02T08:20:10Z,complaint
EVT-0057,CUST-056,2024-01-02T08:21:21Z,purchase
EVT-0058,CUST-067,2024-01-02T08:22:32Z,refund
EVT-0059,CUST-078,2024-01-02T08:23:43Z,support_ticket
EVT-0060,CUST-089,2024-01-02T08:24:54Z,complaint
EVT-0061,CUST-015,2024-01-02T08:26:05Z,inquiry
EVT-0062,CUST-026,2024-01-02T08:27:16Z,refund
EVT-0063,CUST-037,2024-01-02T08:28:27Z,purchase
EVT-0064,CUST-001,2024-01-02T09:29:38Z,support_ticket
EVT-0065,CUST-012,2024-01-02T09:30:49Z,complaint
EVT-0066,CUST-023,2024-01-02T09:32:00Z,purchase
EVT-0067,CUST-034,2024-01-02T09:33:11Z,purchase
