product_id,quantity,price
P023,5,29.99
P007,12,145.50
P041,3,15.75
P015,8,89.99
P033,1,299.99
P007,15,145.50
P012,4,22.50
P041,7,15.75
P028,10,67.80
P015,2,89.99
P045,6,199.95
P033,9,299.99
P007,11,145.50
P019,3,45.00
P028,14,67.80
P041,5,15.75
P012,8,22.50
P023,2,29.99
P037,16,120.00
P015,4,89.99
P007,7,145.50
P048,1,275.00
P033,13,299.99
P019,9,45.00
P028,5,67.80
P012,11,22.50
P041,2,15.75
P023,6,29.99
P015,10,89.99
P037,3,120.00
P007,18,145.50
P044,7,55.25
P019,12,45.00
P033,4,299.99
P028,8,67.80
P048,2,275.00
P012,15,22.50
P041,9,15.75
P023,1,29.99
P015,14,89.99
P037,5,120.00
P007,4,145.50
P019,6,45.00
P044,10,55.25
P033,8,299.99
P028,3,67.80
P012,7,22.50
P041,13,15.75
P023,11,29.99
P048,4,275.00
P015,1,89.99
P037,9,120.00
P007,16,145.50
P019,2,45.00
P044,5,55.25
P033,12,299.99
P028,17,67.80
P012,3,22.50
P041,8,15.75
P023,14,29.99
P015,6,89.99
P037,11,120.00
P007,5,145.50
P048,7,275.00
P019,15,45.00
P044,2,55.25
P033,6,299.99
P028,10,67.80
P012,19,22.50
P041,4,15.75
P023,8,29.99
P015,13,89.99
P037,2,120.00
P007,9,145.50
P019,7,45.00
P044,14,55.25
P033,3,299.99
P048,10,275.00
P028,6,67.80
P012,12,22.50
P041,16,15.75
P023,3,29.99
P015,9,89.99
P037,7,120.00
P007,13,145.50
P019,4,45.00
P044,8,55.25
P033,11,299.99
P028,1,67.80
P012,5,22.50
P048,6,275.00
P041,10,15.75
P023,17,29.99
P015,5,89.99
P037,14,120.00
P007,2,145.50
P019,11,45.00
P044,3,55.25
P033,16,299.99
P028,12,67.80
P012,8,22.50
P041,1,15.75
P023,9,29.99
P048,3,275.00
P015,18,89.99
P037,4,120.00
P007,10,145.50
P019,8,45.00
P044,12,55.25
P033,5,299.99
P028,15,67.80
P012,2,22.50
P041,6,15.75
P023,12,29.99
P015,3,89.99
P037,16,120.00
P007,6,145.50
P019,13,45.00
P044,9,55.25
P033,2,299.99
P048,11,275.00
P028,7,67.80
P012,14,22.50
P041,11,15.75
P023,4,29.99
P015,16,89.99
P037,8,120.00
P007,14,145.50
P019,5,45.00
P044,16,55.25
P033,9,299.99
P028,4,67.80
P012,10,22.50
P041,14,15.75
P023,7,29.99
P048,8,275.00
P015,11,89.99
P037,1,120.00
P007,8,145.50
P019,10,45.00
P044,6,55.25
P033,14,299.99
P028,9,67.80
P012,6,22.50
P041,12,15.75
P023,16,29.99
P015,7,89.99
P037,13,120.00
P007,3,145.50
P019,18,45.00
P044,11,55.25
P033,7,299.99
P048,5,275.00
