entry_number,full_path
0,C:\
5,C:\Users
10,C:\Users\admin
15,C:\Users\admin\Documents
20,C:\Users\admin\Desktop
25,C:\Users\admin\Downloads
30,C:\Users\admin\AppData
35,C:\Users\admin\AppData\Local
40,C:\Users\admin\AppData\Local\Temp
45,C:\Users\admin\AppData\Roaming
50,C:\Users\admin\Pictures
55,C:\Users\admin\Videos
60,C:\Users\admin\Music
65,C:\Users\Public
70,C:\Users\Public\Documents
75,C:\Windows
80,C:\Windows\System32
85,C:\Windows\Temp
90,C:\Program Files
95,C:\Program Files\Application
100,C:\Program Files\SecurityApp
105,C:\Program Files\Browser
110,C:\Program Files (x86)
115,C:\Program Files (x86)\LegacyApp
120,C:\ProgramData
125,C:\ProgramData\Microsoft
130,C:\ProgramData\Application
135,C:\Temp
140,C:\Users\admin\Documents\Work
145,C:\Users\admin\Documents\Personal
150,C:\Users\admin\Desktop\Projects
155,C:\Users\admin\Downloads\Software
160,C:\Users\admin\AppData\Local\Microsoft
165,C:\Users\admin\AppData\Local\Programs
170,C:\Users\admin\AppData\Roaming\Microsoft
175,C:\Windows\System32\config
180,C:\Windows\System32\drivers
185,C:\inetpub
190,C:\inetpub\wwwroot
195,C:\Logs
200,C:\Backup
205,C:\Users\admin\Documents\Confidential
210,C:\Users\admin\Desktop\Archive
215,C:\Windows\Logs
220,C:\Recovery
225,C:\System Volume Information
230,C:\Users\admin\Contacts
235,C:\Users\admin\Favorites
240,C:\Users\admin\Links
245,C:\Users\admin\Saved Games
250,C:\Users\admin\Searches
