latitude,longitude,count
38.4523,-115.2341,12
39.1234,-114.5678,18
37.8901,-116.3456,5
40.2341,-112.4532,25
36.7821,-118.9234,8
41.3421,-111.2341,22
38.9012,-114.7821,15
37.2341,-117.4521,6
39.8721,-113.2341,20
35.4521,-119.2341,3
40.8912,-111.8721,28
38.1234,-115.9821,11
36.2341,-118.2341,4
41.7821,-110.5621,30
39.4521,-114.1234,17
37.6721,-116.8921,7
40.5621,-112.1234,26
35.8921,-119.6721,2
38.7821,-115.5621,13
41.1234,-111.5621,24
39.7821,-113.7821,19
36.5621,-118.5621,5
40.1234,-112.7821,23
37.4521,-117.1234,6
38.3421,-115.4521,14
41.5621,-110.8921,29
39.2341,-114.3421,16
35.6721,-119.4521,3
40.6721,-112.3421,27
38.8921,-115.1234,12
37.1234,-117.6721,5
41.8921,-110.2341,31
39.5621,-113.9821,18
36.8921,-118.7821,7
40.3421,-112.5621,24
38.5621,-115.7821,13
37.8921,-116.5621,8
41.2341,-111.3421,25
39.8921,-113.5621,20
35.2341,-119.8921,2
40.9821,-111.6721,29
38.2341,-115.8921,11
36.4521,-118.3421,4
41.6721,-110.7821,30
39.3421,-114.5621,17
37.5621,-116.9821,7
40.7821,-112.1234,28
35.4521,-119.5621,3
38.6721,-115.3421,14
41.3421,-111.1234,26
39.6721,-114.7821,19
36.7821,-118.9821,8
40.2341,-112.9821,23
37.3421,-117.3421,6
38.9821,-114.9821,15
41.9821,-110.4521,32
39.1234,-114.1234,16
35.8921,-119.2341,3
40.5621,-112.7821,27
38.1234,-115.5621,12
37.2341,-117.5621,5
41.4521,-111.2341,27
39.4521,-113.8921,18
36.5621,-118.4521,5
40.8921,-111.9821,28
38.4521,-115.6721,13
37.6721,-116.7821,7
41.7821,-110.5621,31
39.7821,-114.2341,19
35.3421,-119.7821,2
40.1234,-112.4521,24
38.7821,-115.2341,14
37.9821,-116.4521,8
41.1234,-111.4521,25
39.2341,-114.4521,17
36.2341,-118.6721,4
40.4521,-112.6721,26
35.6721,-119.3421,3
38.3421,-115.9821,11
41.5621,-110.9821,29
39.5621,-113.6721,18
37.4521,-117.2341,6
40.6721,-112.2341,27
38.8921,-114.8921,15
36.9821,-118.8921,8
41.8921,-110.3421,31
39.9821,-113.4521,21
35.1234,-119.9821,1
40.9821,-111.7821,29
38.5621,-115.4521,13
37.7821,-116.6721,7
41.2341,-111.5621,26
39.3421,-114.3421,17
36.6721,-118.5621,6
40.3421,-112.8921,24
35.5621,-119.6721,3
38.6721,-115.1234,14
41.6721,-110.6721,30
39.6721,-113.9821,19
37.5621,-117.1234,6
40.7821,-112.3421,28
35.9821,-119.1234,4
38.2341,-115.7821,12
41.4521,-111.1234,27
39.1234,-114.5621,16
36.3421,-118.7821,5
40.5621,-112.5621,26
38.9821,-115.3421,14
37.1234,-117.4521,5
41.9821,-110.2341,32
39.8921,-113.7821,20
35.7821,-119.4521,3
40.2341,-112.6721,25
38.4521,-115.8921,12
37.3421,-116.9821,7
41.3421,-111.3421,26
39.4521,-114.1234,17
36.4521,-118.2341,4
40.8921,-111.8921,28
38.7821,-115.5621,13
37.8921,-116.3456,8
41.7821,-110.7821,30
39.7821,-114.4521,19
35.4521,-119.7821,2
40.1234,-112.9821,23
38.1234,-115.2341,11
36.5621,-118.9821,7
41.5621,-111.2341,28
39.5621,-113.5621,18
37.6721,-117.3421,6
40.6721,-112.4521,27
35.2341,-119.5621,3
38.3421,-115.6721,13
41.8921,-110.5621,31
39.2341,-114.7821,16
36.8921,-118.6721,8
40.4521,-112.7821,26
38.8921,-115.1234,14
37.4521,-116.8921,7
41.1234,-111.6721,25
39.8921,-113.8921,20
35.6721,-119.8921,2
40.9821,-111.5621,29
38.5621,-115.4521,13
37.7821,-117.5621,7
41.2341,-111.4521,26
39.3421,-114.2341,17
36.7821,-118.3421,6
40.3421,-112.5621,25
35.8921,-119.2341,3
38.6721,-115.7821,12
41.6721,-110.8921,30
39.6721,-113.6721,19
37.5621,-116.7821,7
40.7821,-112.1234,28
35.3421,-119.6721,2
38.9821,-114.9821,15
41.4521,-111.7821,27
39.1234,-114.3421,16
36.2341,-118.4521,4
40.5621,-112.8921,26
38.2341,-115.9821,11
37.2341,-117.2341,5
41.9821,-110.4521,32
39.9821,-113.5621,21
35.7821,-119.3421,3
40.2341,-112.3421,24
38.4521,-115.3421,13
37.9821,-116.5621,8
41.3421,-111.8921,26
39.4521,-114.5621,18
36.6721,-118.7821,7
40.8921,-111.9821,28
38.7821,-115.6721,14
37.1234,-117.1234,5
41.7821,-110.6721,30
39.7821,-113.9821,19
35.5621,-119.4521,3
40.1234,-112.6721,24
38.1234,-115.8921,12
36.9821,-118.5621,8
41.5621,-111.1234,27
39.5621,-114.1234,17
37.3421,-116.9821,6
40.6721,-112.7821,27
35.9821,-119.7821,4
38.8921,-115.2341,14
41.8921,-110.3421,31
39.2341,-114.6721,16
36.4521,-118.8921,5
40.4521,-112.4521,25
38.5621,-115.5621,13
37.6721,-117.4521,7
41.1234,-111.5621,25
39.8921,-113.7821,20
