site_id,year,day_of_year,latitude,longitude,temperature,salinity,fish_count
SITE_A,2018,15,35.2,-78.5,9.2,32.1,12
SITE_A,2018,45,35.2,-78.5,10.5,32.3,18
SITE_A,2018,95,35.2,-78.5,15.8,31.9,45
SITE_A,2018,150,35.2,-78.5,22.1,31.5,78
SITE_A,2018,182,35.2,-78.5,24.3,31.8,92
SITE_A,2018,210,35.2,-78.5,23.5,32.0,85
SITE_A,2018,270,35.2,-78.5,17.2,32.4,58
SITE_A,2018,320,35.2,-78.5,11.8,32.8,22
SITE_A,2019,30,35.2,-78.5,9.8,32.2,15
SITE_A,2019,88,35.2,-78.5,14.5,31.7,38
SITE_A,2019,165,35.2,-78.5,23.8,31.6,88
SITE_A,2019,198,35.2,-78.5,25.1,31.9,95
SITE_A,2019,245,35.2,-78.5,21.3,32.1,72
SITE_A,2019,305,35.2,-78.5,12.5,32.6,25
SITE_A,2020,52,35.2,-78.5,10.2,32.4,19
SITE_A,2020,135,35.2,-78.5,20.5,31.8,68
SITE_A,2020,188,35.2,-78.5,24.8,31.7,91
SITE_A,2020,228,35.2,-78.5,22.7,32.0,80
SITE_A,2020,290,35.2,-78.5,15.8,32.5,48
SITE_A,2020,340,35.2,-78.5,10.8,32.9,20
SITE_A,2021,20,35.2,-78.5,8.9,32.3,10
SITE_A,2021,110,35.2,-78.5,17.8,31.8,55
SITE_A,2021,175,35.2,-78.5,24.5,31.6,89
SITE_A,2021,215,35.2,-78.5,23.1,32.1,83
SITE_A,2021,280,35.2,-78.5,16.5,32.4,52
SITE_A,2022,60,35.2,-78.5,11.1,32.2,21
SITE_A,2022,145,35.2,-78.5,21.5,31.7,75
SITE_A,2022,195,35.2,-78.5,25.3,31.8,94
SITE_A,2022,255,35.2,-78.5,20.2,32.2,65
SITE_A,2022,315,35.2,-78.5,12.2,32.7,24
SITE_B,2018,25,36.1,-77.2,9.5,33.5,8
SITE_B,2018,70,36.1,-77.2,12.8,33.2,22
SITE_B,2018,120,36.1,-77.2,18.7,33.5,52
SITE_B,2018,160,36.1,-77.2,23.2,33.1,68
SITE_B,2018,195,36.1,-77.2,25.8,33.4,82
SITE_B,2018,225,36.1,-77.2,24.1,33.6,75
SITE_B,2018,285,36.1,-77.2,16.8,34.0,45
SITE_B,2018,330,36.1,-77.2,11.2,34.2,18
SITE_B,2019,40,36.1,-77.2,10.3,33.4,12
SITE_B,2019,105,36.1,-77.2,17.2,33.3,48
SITE_B,2019,155,36.1,-77.2,22.8,33.2,66
SITE_B,2019,185,36.1,-77.2,25.5,33.5,80
SITE_B,2019,235,36.1,-77.2,23.5,33.7,72
SITE_B,2019,295,36.1,-77.2,15.5,34.1,38
SITE_B,2019,350,36.1,-77.2,10.5,34.3,15
SITE_B,2020,18,36.1,-77.2,9.1,33.6,7
SITE_B,2020,82,36.1,-77.2,14.2,33.3,28
SITE_B,2020,142,36.1,-77.2,21.3,33.2,61
SITE_B,2020,178,36.1,-77.2,24.9,33.4,78
SITE_B,2020,218,36.1,-77.2,24.3,33.6,74
SITE_B,2020,268,36.1,-77.2,18.5,33.9,50
SITE_B,2020,325,36.1,-77.2,11.8,34.2,20
SITE_B,2021,35,36.1,-77.2,9.9,33.5,10
SITE_B,2021,125,36.1,-77.2,19.5,33.3,56
SITE_B,2021,170,36.1,-77.2,24.1,33.2,70
SITE_B,2021,205,36.1,-77.2,25.7,33.5,81
SITE_B,2021,250,36.1,-77.2,21.8,33.8,64
SITE_B,2021,310,36.1,-77.2,13.2,34.1,25
SITE_B,2022,48,36.1,-77.2,10.8,33.4,14
SITE_B,2022,138,36.1,-77.2,20.8,33.2,59
SITE_B,2022,182,36.1,-77.2,25.2,33.4,79
SITE_B,2022,240,36.1,-77.2,23.2,33.7,71
SITE_B,2022,300,36.1,-77.2,14.8,34.0,32
SITE_C,2018,12,34.5,-79.1,8.5,34.2,5
SITE_C,2018,62,34.5,-79.1,11.5,33.8,28
SITE_C,2018,115,34.5,-79.1,18.2,33.5,62
SITE_C,2018,168,34.5,-79.1,24.2,33.2,95
SITE_C,2018,200,34.5,-79.1,26.1,33.4,110
SITE_C,2018,238,34.5,-79.1,24.8,33.6,102
SITE_C,2018,278,34.5,-79.1,17.5,34.0,68
SITE_C,2018,335,34.5,-79.1,10.9,34.5,22
SITE_C,2019,28,34.5,-79.1,9.2,34.1,8
SITE_C,2019,98,34.5,-79.1,16.5,33.6,55
SITE_C,2019,148,34.5,-79.1,22.8,33.3,88
SITE_C,2019,192,34.5,-79.1,25.9,33.4,108
SITE_C,2019,220,34.5,-79.1,25.2,33.5,105
SITE_C,2019,262,34.5,-79.1,20.5,33.9,78
SITE_C,2019,318,34.5,-79.1,12.8,34.4,28
SITE_C,2020,45,34.5,-79.1,10.1,34.0,12
SITE_C,2020,108,34.5,-79.1,17.8,33.5,60
SITE_C,2020,158,34.5,-79.1,23.5,33.3,92
SITE_C,2020,188,34.5,-79.1,25.7,33.4,107
SITE_C,2020,232,34.5,-79.1,24.5,33.6,98
SITE_C,2020,288,34.5,-79.1,16.2,34.1,62
SITE_C,2020,342,34.5,-79.1,10.3,34.6,18
SITE_C,2021,22,34.5,-79.1,8.8,34.2,6
SITE_C,2021,85,34.5,-79.1,15.2,33.7,48
SITE_C,2021,152,34.5,-79.1,23.1,33.3,90
SITE_C,2021,198,34.5,-79.1,26.3,33.4,112
SITE_C,2021,245,34.5,-79.1,23.8,33.7,96
SITE_C,2021,302,34.5,-79.1,14.5,34.2,42
SITE_C,2022,38,34.5,-79.1,9.7,34.1,10
SITE_C,2022,128,34.5,-79.1,20.1,33.4,72
SITE_C,2022,178,34.5,-79.1,25.1,33.3,100
SITE_C,2022,215,34.5,-79.1,25.8,33.5,108
