region,co2_ppm,temp_anomaly,year
1,335.2,0.15,1985
1,342.8,0.32,1988
1,350.5,0.48,1991
1,355.8,0.61,1994
1,362.4,0.78,1997
1,368.9,0.92,2000
1,375.6,1.08,2003
1,382.1,1.25,2006
1,388.7,1.42,2009
1,395.3,1.58,2012
1,401.8,1.75,2015
1,408.4,1.91,2018
2,338.1,0.22,1986
2,345.3,0.35,1989
2,352.6,0.48,1992
2,359.8,0.61,1995
2,367.1,0.75,1998
2,374.3,0.88,2001
2,381.6,1.02,2004
2,388.8,1.16,2007
2,396.1,1.30,2010
2,403.3,1.44,2013
2,410.6,1.58,2016
2,417.8,1.72,2019
3,340.5,0.28,1987
3,347.2,0.41,1990
3,353.9,0.54,1993
3,360.6,0.68,1996
3,367.3,0.82,1999
3,374.0,0.95,2002
3,380.7,1.09,2005
3,387.4,1.23,2008
3,394.1,1.37,2011
3,400.8,1.51,2014
3,407.5,1.65,2017
3,414.2,1.79,2020
4,336.7,0.35,1985
4,343.8,0.48,1988
4,350.9,0.62,1991
4,358.0,0.76,1994
4,365.1,0.90,1997
4,372.2,1.04,2000
4,379.3,1.18,2003
4,386.4,1.32,2006
4,393.5,1.46,2009
4,400.6,1.60,2012
4,407.7,1.74,2015
4,414.8,1.88,2018
5,340.8,0.08,1987
5,348.5,0.12,1990
5,356.2,0.18,1993
5,363.9,0.24,1996
5,371.6,0.31,1999
5,379.3,0.38,2002
5,387.0,0.45,2005
5,394.7,0.52,2008
5,402.4,0.59,2011
5,410.1,0.66,2014
5,417.8,0.73,2017
5,425.5,0.80,2020
6,337.4,0.42,1986
6,344.9,0.56,1989
6,352.3,0.70,1992
6,359.8,0.84,1995
6,367.2,0.98,1998
6,374.7,1.12,2001
6,382.1,1.26,2004
6,389.6,1.40,2007
6,397.0,1.54,2010
6,404.5,1.68,2013
6,411.9,1.82,2016
6,419.4,1.96,2019
7,339.2,0.38,1987
7,346.5,0.51,1990
7,353.8,0.65,1993
7,361.1,0.79,1996
7,368.5,0.93,1999
7,375.8,1.07,2002
7,383.1,1.21,2005
7,390.4,1.35,2008
7,397.7,1.49,2011
7,405.0,1.63,2014
7,412.3,1.77,2017
7,419.6,1.91,2020
8,334.6,0.52,1985
8,342.1,0.68,1988
8,349.6,0.85,1991
8,357.1,1.02,1994
8,364.6,1.19,1997
8,372.1,1.36,2000
8,379.6,1.53,2003
8,387.1,1.70,2006
8,394.6,1.87,2009
8,402.1,2.04,2012
8,409.6,2.21,2015
8,417.1,2.38,2018
1,338.9,0.18,1986
1,346.2,0.38,1989
1,353.1,0.55,1992
1,360.8,0.72,1995
1,366.5,0.88,1998
1,373.2,1.02,2001
1,379.8,1.18,2004
1,386.3,1.35,2007
1,392.8,1.52,2010
1,399.5,1.68,2013
1,406.2,1.85,2016
1,412.8,2.01,2019
2,341.5,0.28,1987
2,348.9,0.42,1990
2,356.2,0.55,1993
2,363.5,0.68,1996
2,370.7,0.82,1999
2,378.0,0.95,2002
2,385.2,1.09,2005
2,392.5,1.23,2008
2,399.7,1.37,2011
2,407.0,1.51,2014
2,414.2,1.65,2017
2,421.5,1.79,2020
3,336.8,0.24,1985
3,344.1,0.38,1988
3,351.3,0.51,1991
3,358.2,0.65,1994
3,365.0,0.79,1997
3,371.8,0.92,2000
3,378.5,1.06,2003
3,385.2,1.20,2006
3,391.9,1.34,2009
3,398.6,1.48,2012
3,405.3,1.62,2015
3,412.0,1.76,2018
4,340.2,0.38,1986
4,347.4,0.52,1989
4,354.5,0.66,1992
4,361.6,0.80,1995
4,368.7,0.94,1998
4,375.8,1.08,2001
4,382.9,1.22,2004
4,390.0,1.36,2007
4,397.1,1.50,2010
4,404.2,1.64,2013
4,411.3,1.78,2016
4,418.4,1.92,2019
5,344.3,0.10,1988
5,352.1,0.15,1991
5,359.8,0.21,1994
5,367.6,0.28,1997
5,375.4,0.35,2000
5,383.2,0.42,2003
5,391.0,0.49,2006
5,398.8,0.56,2009
5,406.6,0.63,2012
5,414.4,0.70,2015
5,422.2,0.77,2018
6,341.2,0.46,1987
6,348.8,0.60,1990
6,356.3,0.74,1993
6,363.9,0.88,1996
6,371.4,1.02,1999
6,379.0,1.16,2002
6,386.5,1.30,2005
6,394.1,1.44,2008
6,401.6,1.58,2011
6,409.2,1.72,2014
6,416.7,1.86,2017
6,424.3,2.00,2020
7,335.8,0.35,1985
7,343.2,0.48,1988
7,350.6,0.62,1991
7,358.0,0.76,1994
7,365.4,0.90,1997
7,372.8,1.04,2000
7,380.2,1.18,2003
7,387.6,1.32,2006
7,395.0,1.46,2009
7,402.4,1.60,2012
7,409.8,1.74,2015
7,417.2,1.88,2018
8,338.2,0.58,1986
8,345.8,0.75,1989
8,353.4,0.92,1992
8,361.0,1.09,1995
8,368.6,1.26,1998
8,376.2,1.43,2001
8,383.8,1.60,2004
8,391.4,1.77,2007
8,399.0,1.94,2010
8,406.6,2.11,2013
8,414.2,2.28,2016
8,421.8,2.45,2019
