epoch,loss,accuracy,val_loss,val_accuracy,learning_rate
1,2.4876,0.6123,2.7845,0.5678,0.001
2,2.3421,0.6456,2.6234,0.5891,0.001
3,2.1987,0.6789,2.4912,0.6134,0.001
4,2.0654,0.7012,2.3678,0.6287,0.001
5,1.9432,0.7234,2.2456,0.6456,0.001
6,1.8321,0.7445,2.1345,0.6598,0.001
7,1.7298,0.7623,2.0289,0.6734,0.001
8,1.6345,0.7789,1.9312,0.6867,0.001
9,1.5467,0.7934,1.8423,0.6989,0.001
10,1.4678,0.8056,1.7612,0.7098,0.001
11,1.3954,0.8167,1.6867,0.7201,0.00095
12,1.3289,0.8267,1.6178,0.7298,0.00095
13,1.2678,0.8356,1.5534,0.7389,0.00095
14,1.2112,0.8434,1.4934,0.7476,0.00095
15,1.1589,0.8503,1.4376,0.7557,0.00095
16,1.1103,0.8567,1.3856,0.7634,0.0009
17,1.0651,0.8625,1.3367,0.7706,0.0009
18,1.0229,0.8679,1.2909,0.7774,0.0009
19,0.9834,0.8729,1.2479,0.7838,0.0009
20,0.9465,0.8776,1.2074,0.7899,0.0009
21,0.9119,0.8820,1.1692,0.7956,0.00085
22,0.8794,0.8861,1.1331,0.8010,0.00085
23,0.8489,0.8899,1.0989,0.8061,0.00085
24,0.8202,0.8935,1.0664,0.8110,0.00085
25,0.7932,0.8969,1.0356,0.8156,0.00085
26,0.7678,0.9001,1.0063,0.8200,0.0008
27,0.7438,0.9031,0.9784,0.8242,0.0008
28,0.7212,0.9060,0.9518,0.8282,0.0008
29,0.6998,0.9087,0.9264,0.8320,0.0008
30,0.6796,0.9113,0.9022,0.8356,0.0008
31,0.6604,0.9137,0.8790,0.8391,0.00075
32,0.6423,0.9160,0.8568,0.8424,0.00075
33,0.6251,0.9182,0.8355,0.8455,0.00075
34,0.6088,0.9203,0.8151,0.8485,0.00075
35,0.5933,0.9223,0.7955,0.8514,0.00075
36,0.5785,0.9242,0.7767,0.8541,0.0007
37,0.5645,0.9260,0.7586,0.8567,0.0007
38,0.5512,0.9277,0.7412,0.8592,0.0007
39,0.5385,0.9293,0.7244,0.8616,0.0007
40,0.5264,0.9308,0.7082,0.8639,0.0007
41,0.5148,0.9323,0.6926,0.8661,0.00065
42,0.5038,0.9337,0.6775,0.8682,0.00065
43,0.4932,0.9350,0.6630,0.8702,0.00065
44,0.4831,0.9363,0.6489,0.8721,0.00065
45,0.4734,0.9375,0.6353,0.8739,0.00065
46,0.4641,0.9386,0.6221,0.8757,0.0006
47,0.4552,0.9397,0.6094,0.8774,0.0006
48,0.4467,0.9408,0.5970,0.8790,0.0006
49,0.4385,0.9418,0.5851,0.8806,0.0006
50,0.4306,0.9428,0.5735,0.8821,0.0006
51,0.4230,0.9437,0.5623,0.8835,0.00055
52,0.4157,0.9446,0.5514,0.8849,0.00055
53,0.4087,0.9455,0.5409,0.8863,0.00055
54,0.4019,0.9463,0.5307,0.8876,0.00055
55,0.3954,0.9471,0.5208,0.8888,0.00055
56,0.3891,0.9479,0.5112,0.8900,0.0005
57,0.3831,0.9486,0.5019,0.8912,0.0005
58,0.3772,0.9493,0.4929,0.8923,0.0005
59,0.3716,0.9500,0.4842,0.8934,0.0005
60,0.3661,0.9507,0.4757,0.8944,0.0005
61,0.3608,0.9513,0.4674,0.8954,0.00045
62,0.3557,0.9519,0.4594,0.8964,0.00045
63,0.3507,0.9525,0.4516,0.8973,0.00045
64,0.3459,0.9531,0.4441,0.8982,0.00045
65,0.3413,0.9537,0.4367,0.8991,0.00045
66,0.3368,0.9542,0.4295,0.8999,0.0004
67,0.3324,0.9547,0.4226,0.9007,0.0004
68,0.3282,0.9552,0.4158,0.9015,0.0004
69,0.3241,0.9557,0.4092,0.9023,0.0004
70,0.3201,0.9562,0.4028,0.9030,0.0004
71,0.3162,0.9567,0.3965,0.9037,0.00035
72,0.3125,0.9571,0.3904,0.9044,0.00035
73,0.3088,0.9576,0.3845,0.9051,0.00035
74,0.3053,0.9580,0.3787,0.9057,0.00035
75,0.3019,0.9584,0.3730,0.9064,0.00035
76,0.2985,0.9588,0.3675,0.9070,0.0003
77,0.2953,0.9592,0.3622,0.9076,0.0003
78,0.2921,0.9596,0.3569,0.9082,0.0003
79,0.2890,0.9600,0.3518,0.9088,0.0003
80,0.2860,0.9603,0.3468,0.9093,0.0003
81,0.2831,0.9607,0.3420,0.9099,0.00025
82,0.2803,0.9610,0.3372,0.9104,0.00025
83,0.2775,0.9614,0.3326,0.9109,0.00025
84,0.2748,0.9617,0.3281,0.9114,0.00025
85,0.2722,0.9620,0.3237,0.9119,0.00025
86,0.2696,0.9623,0.3194,0.9124,0.0002
87,0.2671,0.9626,0.3152,0.9129,0.0002
88,0.2647,0.9629,0.3111,0.9133,0.0002
89,0.2623,0.9632,0.3071,0.9138,0.0002
90,0.2600,0.9635,0.3032,0.9142,0.0002
91,0.2577,0.9638,0.2994,0.9147,0.00015
92,0.2555,0.9641,0.2957,0.9151,0.00015
93,0.2533,0.9643,0.2921,0.9155,0.00015
94,0.2512,0.9646,0.2885,0.9159,0.00015
95,0.2491,0.9648,0.2851,0.9163,0.00015
96,0.2471,0.9651,0.2817,0.9167,0.0001
97,0.2451,0.9653,0.2784,0.9171,0.0001
98,0.2432,0.9656,0.2751,0.9175,0.0001
99,0.2413,0.9658,0.2720,0.9179,0.0001
100,0.2394,0.9661,0.2689,0.9182,0.0001
