epoch,loss,accuracy,precision,recall,f1_score,learning_rate,batch_size,timestamp
1,2.487,0.601,0.582,0.554,0.567,0.001,32,2024-01-15 10:23:45
2,2.341,0.623,0.598,0.571,0.584,0.001,32,2024-01-15 10:25:12
3,2.198,0.645,0.615,0.588,0.601,0.001,32,2024-01-15 10:26:38
4,2.067,0.664,0.631,0.603,0.616,0.001,32,2024-01-15 10:28:05
5,1.945,0.681,0.648,0.619,0.633,0.001,32,2024-01-15 10:29:31
6,1.831,0.697,0.664,0.634,0.648,0.001,32,2024-01-15 10:30:58
7,1.724,0.712,0.679,0.648,0.663,0.001,32,2024-01-15 10:32:24
8,1.623,0.726,0.693,0.662,0.677,0.001,32,2024-01-15 10:33:51
9,1.528,0.739,0.707,0.675,0.690,0.001,32,2024-01-15 10:35:17
10,1.439,0.751,0.720,0.688,0.703,0.001,32,2024-01-15 10:36:44
11,1.355,0.762,0.732,0.700,0.715,0.0009,32,2024-01-15 10:38:10
12,1.276,0.773,0.744,0.712,0.727,0.0009,32,2024-01-15 10:39:37
13,1.201,0.783,0.755,0.723,0.738,0.0009,32,2024-01-15 10:41:03
14,1.131,0.792,0.765,0.734,0.749,0.0009,32,2024-01-15 10:42:30
15,1.065,0.801,0.775,0.744,0.759,0.0009,32,2024-01-15 10:43:56
16,1.002,0.809,0.784,0.754,0.768,0.0009,32,2024-01-15 10:45:23
17,0.943,0.817,0.793,0.763,0.777,0.0009,32,2024-01-15 10:46:49
18,0.887,0.824,0.801,0.772,0.786,0.0009,32,2024-01-15 10:48:16
19,0.834,0.831,0.809,0.780,0.794,0.0009,32,2024-01-15 10:49:42
20,0.784,0.838,0.817,0.788,0.802,0.0009,32,2024-01-15 10:51:09
21,0.737,0.844,0.824,0.796,0.809,0.0008,64,2024-01-15 10:52:35
22,0.693,0.850,0.831,0.803,0.817,0.0008,64,2024-01-15 10:54:02
23,0.651,0.856,0.838,0.811,0.824,0.0008,64,2024-01-15 10:55:28
24,0.612,0.861,0.844,0.818,0.831,0.0008,64,2024-01-15 10:56:55
25,0.575,0.866,0.850,0.825,0.837,0.0008,64,2024-01-15 10:58:21
26,0.541,0.871,0.856,0.831,0.843,0.0008,64,2024-01-15 10:59:48
27,0.508,0.876,0.861,0.837,0.849,0.0008,64,2024-01-15 11:01:14
28,0.478,0.880,0.866,0.843,0.854,0.0008,64,2024-01-15 11:02:41
29,0.449,0.884,0.871,0.848,0.859,0.0008,64,2024-01-15 11:04:07
30,0.422,0.888,0.876,0.854,0.865,0.0008,64,2024-01-15 11:05:34
31,0.397,0.892,0.880,0.859,0.869,0.0007,64,2024-01-15 11:07:00
32,0.373,0.895,0.884,0.864,0.874,0.0007,64,2024-01-15 11:08:27
33,0.351,0.898,0.888,0.868,0.878,0.0007,64,2024-01-15 11:09:53
34,0.330,0.901,0.892,0.873,0.882,0.0007,64,2024-01-15 11:11:20
35,0.311,0.904,0.895,0.877,0.886,0.0007,64,2024-01-15 11:12:46
36,0.293,0.907,0.899,0.881,0.890,0.0007,64,2024-01-15 11:14:13
37,0.276,0.910,0.902,0.885,0.893,0.0007,64,2024-01-15 11:15:39
38,0.260,0.912,0.905,0.889,0.897,0.0007,64,2024-01-15 11:17:06
39,0.245,0.915,0.908,0.892,0.900,0.0007,64,2024-01-15 11:18:32
40,0.231,0.917,0.911,0.896,0.903,0.0007,64,2024-01-15 11:19:59
41,0.218,0.919,0.914,0.899,0.906,0.0006,128,2024-01-15 11:21:25
42,0.206,0.921,0.916,0.902,0.909,0.0006,128,2024-01-15 11:22:52
43,0.195,0.923,0.919,0.905,0.912,0.0006,128,2024-01-15 11:24:18
44,0.184,0.925,0.921,0.908,0.914,0.0006,128,2024-01-15 11:25:45
45,0.174,0.927,0.923,0.910,0.916,0.0006,128,2024-01-15 11:27:11
46,0.165,0.929,0.925,0.913,0.919,0.0006,128,2024-01-15 11:28:38
47,0.156,0.930,0.927,0.915,0.921,0.0006,128,2024-01-15 11:30:04
48,0.148,0.932,0.929,0.918,0.923,0.0006,128,2024-01-15 11:31:31
49,0.140,0.933,0.931,0.920,0.925,0.0006,128,2024-01-15 11:32:57
50,0.133,0.935,0.933,0.922,0.927,0.0006,128,2024-01-15 11:34:24
51,0.126,0.936,0.934,0.924,0.929,0.0005,128,2024-01-15 11:35:50
52,0.120,0.938,0.936,0.926,0.931,0.0005,128,2024-01-15 11:37:17
53,0.114,0.939,0.937,0.928,0.932,0.0005,128,2024-01-15 11:38:43
54,0.108,0.940,0.939,0.930,0.934,0.0005,128,2024-01-15 11:40:10
55,0.103,0.941,0.940,0.931,0.935,0.0005,128,2024-01-15 11:41:36
56,0.098,0.942,0.941,0.933,0.937,0.0005,128,2024-01-15 11:43:03
57,0.093,0.943,0.942,0.934,0.938,0.0005,128,2024-01-15 11:44:29
58,0.089,0.944,0.943,0.936,0.939,0.0005,128,2024-01-15 11:45:56
59,0.085,0.945,0.944,0.937,0.940,0.0005,128,2024-01-15 11:47:22
60,0.081,0.946,0.945,0.938,0.941,0.0005,128,2024-01-15 11:48:49
61,0.077,0.947,0.946,0.940,0.943,0.0004,128,2024-01-15 11:50:15
62,0.073,0.948,0.947,0.941,0.944,0.0004,128,2024-01-15 11:51:42
63,0.070,0.948,0.948,0.942,0.945,0.0004,128,2024-01-15 11:53:08
64,0.067,0.949,0.949,0.943,0.946,0.0004,128,2024-01-15 11:54:35
65,0.064,0.950,0.949,0.944,0.946,0.0004,128,2024-01-15 11:56:01
66,0.061,0.950,0.950,0.945,0.947,0.0004,128,2024-01-15 11:57:28
67,0.058,0.951,0.951,0.946,0.948,0.0004,128,2024-01-15 11:58:54
68,0.056,0.951,0.951,0.947,0.949,0.0004,128,2024-01-15 12:00:21
69,0.053,0.952,0.952,0.948,0.950,0.0004,128,2024-01-15 12:01:47
70,0.051,0.952,0.952,0.948,0.950,0.0004,128,2024-01-15 12:03:14
71,0.049,0.953,0.953,0.949,0.951,0.0003,128,2024-01-15 12:04:40
72,0.047,0.953,0.953,0.950,0.951,0.0003,128,2024-01-15 12:06:07
73,0.045,0.954,0.954,0.950,0.952,0.0003,128,2024-01-15 12:07:33
74,0.043,0.954,0.954,0.951,0.952,0.0003,128,2024-01-15 12:09:00
75,0.041,0.954,0.954,0.951,0.952,0.0003,128,2024-01-15 12:10:26
76,0.039,0.955,0.955,0.952,0.953,0.0003,128,2024-01-15 12:11:53
77,0.038,0.955,0.955,0.952,0.953,0.0003,128,2024-01-15 12:13:19
78,0.036,0.955,0.955,0.953,0.954,0.0003,128,2024-01-15 12:14:46
79,0.035,0.956,0.956,0.953,0.954,0.0003,128,2024-01-15 12:16:12
80,0.034,0.956,0.956,0.954,0.955,0.0003,128,2024-01-15 12:17:39
81,0.032,0.956,0.956,0.954,0.955,0.0002,128,2024-01-15 12:19:05
82,0.031,0.957,0.957,0.955,0.956,0.0002,128,2024-01-15 12:20:32
83,0.030,0.957,0.957,0.955,0.956,0.0002,128,2024-01-15 12:21:58
84,0.029,0.957,0.957,0.955,0.956,0.0002,128,2024-01-15 12:23:25
85,0.028,0.957,0.957,0.956,0.956,0.0002,128,2024-01-15 12:24:51
86,0.027,0.958,0.958,0.956,0.957,0.0002,128,2024-01-15 12:26:18
87,0.026,0.958,0.958,0.956,0.957,0.0002,128,2024-01-15 12:27:44
88,0.025,0.958,0.958,0.957,0.957,0.0002,128,2024-01-15 12:29:11
89,0.024,0.958,0.958,0.957,0.957,0.0002,128,2024-01-15 12:30:37
90,0.023,0.959,0.959,0.957,0.958,0.0002,128,2024-01-15 12:32:04
91,0.023,0.959,0.959,0.958,0.958,0.0001,128,2024-01-15 12:33:30
92,0.022,0.959,0.959,0.958,0.958,0.0001,128,2024-01-15 12:34:57
93,0.021,0.959,0.959,0.958,0.958,0.0001,128,2024-01-15 12:36:23
94,0.021,0.959,0.959,0.958,0.958,0.0001,128,2024-01-15 12:37:50
95,0.020,0.960,0.960,0.959,0.959,0.0001,128,2024-01-15 12:39:16
