feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
0.52,3.14,-2.45,67.3,0.81,12.5,-0.33,45.2,1.23,88.4,0
0.23,-1.87,4.56,23.1,0.45,8.9,1.22,78.9,0.67,45.2,1
0.91,5.43,-3.21,89.7,0.67,15.2,-1.45,34.6,1.89,92.1,2
0.34,2.76,1.23,45.8,0.92,10.3,0.56,67.4,0.41,56.7,3
0.78,-0.54,-4.32,71.2,0.55,14.8,-2.11,52.3,1.34,73.8,0
0.61,4.21,2.87,38.9,0.73,9.7,0.88,81.5,0.92,41.3,1
0.45,1.93,-1.67,94.5,0.38,13.4,-0.77,29.8,1.56,85.9,2
0.82,-3.12,3.45,56.7,0.64,11.2,1.43,63.2,0.73,67.4,3
0.29,5.67,-2.98,82.3,0.87,16.1,-1.23,48.7,1.18,79.2,0
0.56,0.45,4.12,41.6,0.51,7.8,0.67,74.9,0.85,52.6,1
0.73,-2.34,-3.56,68.4,0.69,12.9,-1.89,36.1,1.47,88.7,2
0.41,3.89,1.78,53.2,0.76,10.6,0.91,69.8,0.62,43.9,3
0.88,2.15,-4.23,77.9,0.43,14.3,-2.45,55.4,1.72,91.3,0
0.35,-1.23,2.34,35.7,0.58,8.4,1.11,76.2,0.49,58.1,1
0.67,4.78,-1.45,91.8,0.82,15.7,-0.98,31.5,1.23,82.4,2
0.54,1.67,3.89,49.3,0.71,9.2,1.34,71.6,0.78,49.8,3
0.76,-0.87,-2.67,73.6,0.46,13.8,-1.56,44.2,1.61,76.5,0
0.42,5.21,1.56,28.4,0.63,11.5,0.72,83.7,0.54,39.7,1
0.69,3.45,-3.78,86.1,0.79,16.4,-2.12,38.9,1.38,94.2,2
0.31,-2.56,4.23,61.7,0.52,10.1,1.56,65.3,0.87,61.8,3
0.85,1.34,-1.89,79.5,0.68,14.6,-0.84,51.7,1.29,87.6,0
0.48,4.67,2.45,33.9,0.41,7.3,0.98,79.4,0.71,46.3,1
0.72,-3.45,-4.12,92.3,0.86,15.9,-2.34,27.6,1.54,89.8,2
0.39,2.89,3.67,47.8,0.74,9.8,1.45,68.1,0.63,54.2,3
0.81,0.76,-2.23,74.7,0.57,13.2,-1.12,49.8,1.76,78.9,0
0.26,-1.45,1.89,36.2,0.49,8.7,0.81,77.3,0.58,42.5,3
0.64,5.34,-3.45,88.9,0.72,16.2,-1.78,35.4,1.41,91.7,1
0.53,3.12,4.56,52.1,0.65,10.9,1.67,72.8,0.82,48.6,2
0.77,-2.67,-1.34,69.8,0.83,14.1,-0.56,46.9,1.19,84.3,0
0.44,4.23,2.78,41.3,0.56,8.1,1.23,81.2,0.67,53.7,1
0.68,1.78,-4.67,95.6,0.78,15.3,-2.56,32.7,1.58,93.5,2
0.36,-0.89,3.21,58.4,0.61,11.7,0.89,66.5,0.73,59.4,3
0.89,5.12,-2.12,81.2,0.47,13.6,-1.45,54.1,1.34,81.8,0
0.51,2.45,1.45,29.7,0.69,7.9,0.76,75.6,0.52,44.9,1
0.74,-3.78,-3.89,87.4,0.84,16.8,-2.23,39.3,1.67,88.1,2
0.32,4.56,4.12,63.9,0.53,10.4,1.78,69.7,0.78,62.3,3
0.86,0.34,-1.67,76.3,0.71,14.9,-0.91,48.5,1.42,79.6,0
0.47,-2.12,2.56,38.6,0.44,8.6,1.34,78.8,0.61,51.2,1
0.71,3.89,-4.45,90.7,0.88,15.1,-2.67,28.9,1.53,92.9,2
0.38,5.67,3.78,55.2,0.76,9.5,1.56,73.4,0.69,47.1,3
0.83,1.23,-2.89,72.8,0.59,13.3,-1.34,52.6,1.71,85.7,0
0.28,-1.67,1.67,34.1,0.48,7.7,0.67,80.1,0.56,40.8,1
0.65,4.45,-3.12,89.3,0.81,16.6,-1.89,36.8,1.36,90.4,2
0.55,2.78,4.34,50.9,0.63,10.2,1.89,71.9,0.84,56.9,3
0.79,-3.21,-1.78,78.1,0.72,14.7,-0.78,45.3,1.28,83.2,0
0.43,5.89,2.23,42.7,0.54,8.3,1.12,82.6,0.72,49.5,1
0.69,3.56,-4.89,93.8,0.77,15.8,-2.45,31.2,1.61,87.3,2
0.34,-0.45,3.45,59.6,0.66,11.9,0.98,67.8,0.79,60.7,3
0.87,4.12,-2.34,83.5,0.45,13.1,-1.56,53.9,1.49,76.8,0
0.49,1.89,1.78,31.4,0.68,7.5,0.84,77.7,0.58,43.6,1
0.73,-2.89,-3.67,91.2,0.85,16.3,-2.12,37.5,1.74,89.6,2
0.41,5.23,4.56,64.8,0.51,10.7,1.67,70.3,0.63,61.9,3
0.84,0.67,-1.45,75.9,0.73,14.4,-0.89,50.1,1.37,82.5,0
0.27,-1.34,2.67,37.3,0.42,8.8,1.23,79.5,0.67,52.8,1
0.66,4.78,-3.89,88.6,0.79,15.5,-2.01,33.6,1.52,93.1,2
0.56,2.34,3.89,53.7,0.64,9.9,1.78,72.5,0.81,48.2,3
0.78,-3.56,-2.23,70.4,0.57,13.9,-1.23,47.7,1.68,84.9,0
0.45,5.45,1.56,28.9,0.75,7.2,0.91,81.8,0.54,41.7,1
0.71,3.21,-4.12,92.9,0.88,16.1,-2.56,29.4,1.59,91.2,2
0.37,-0.78,4.23,62.3,0.61,11.4,0.87,68.9,0.76,58.6,3
0.89,4.89,-2.67,80.7,0.46,13.7,-1.67,55.8,1.43,77.3,0
0.52,1.45,2.12,35.8,0.69,8.5,1.34,76.4,0.62,50.4,1
0.74,-2.45,-3.45,86.8,0.83,15.9,-2.34,38.1,1.71,88.7,2
0.33,5.12,3.67,57.4,0.52,10.6,1.89,69.2,0.78,63.5,3
0.86,0.89,-1.89,74.2,0.71,14.2,-0.98,49.6,1.32,80.1,0
0.48,-1.89,1.89,39.5,0.44,7.9,0.76,78.3,0.59,44.8,1
0.72,4.56,-4.34,90.1,0.87,16.4,-2.23,35.9,1.55,92.6,2
0.39,2.67,4.45,51.6,0.65,9.3,1.56,73.7,0.83,55.3,3
0.81,-3.12,-2.45,77.6,0.58,13.5,-1.45,46.2,1.27,85.4,0
0.29,5.78,2.34,33.2,0.76,8.1,1.12,80.9,0.71,42.1,1
0.67,3.45,-3.78,89.7,0.82,15.7,-1.98,32.8,1.48,90.8,2
