id,name,value,category,timestamp
2001,Item_2001,678,C,2024-07-05 13:10:00
2002,Item_2002,345,A,2024-08-19 15:55:00
2003,Item_2003,890,D,2024-09-30 10:25:00
2004,Item_2004,543,B,2024-01-15 08:30:00
2005,Item_2005,234,A,2024-02-20 14:45:00
2006,Item_2006,789,C,2024-03-12 09:15:00
2007,Item_2007,456,D,2024-04-08 16:20:00
2008,Item_2008,901,B,2024-05-25 11:35:00
2009,Item_2009,312,A,2024-06-18 07:50:00
2010,Item_2010,667,C,2024-07-22 13:05:00
2011,Item_2011,445,D,2024-08-14 10:40:00
2012,Item_2012,778,B,2024-09-07 15:25:00
2013,Item_2013,223,A,2024-10-19 08:15:00
2014,Item_2014,889,C,2024-11-03 12:30:00
2015,Item_2015,534,D,2024-12-11 09:45:00
2016,Item_2016,156,B,2024-01-28 14:20:00
2017,Item_2017,723,A,2024-02-15 11:10:00
2018,Item_2018,498,C,2024-03-09 16:55:00
2019,Item_2019,612,D,2024-04-21 08:40:00
2020,Item_2020,845,B,2024-05-13 13:25:00
2021,Item_2021,291,A,2024-06-07 10:15:00
2022,Item_2022,738,C,2024-07-19 15:30:00
2023,Item_2023,467,D,2024-08-25 09:20:00
2024,Item_2024,923,B,2024-09-16 12:45:00
2025,Item_2025,378,A,2024-10-08 07:35:00
2026,Item_2026,654,C,2024-11-12 14:50:00
2027,Item_2027,189,D,2024-12-05 11:05:00
2028,Item_2028,812,B,2024-01-17 16:40:00
2029,Item_2029,445,A,2024-02-23 08:55:00
2030,Item_2030,576,C,2024-03-14 13:10:00
2031,Item_2031,901,D,2024-04-06 10:25:00
2032,Item_2032,234,B,2024-05-18 15:15:00
2033,Item_2033,767,A,2024-06-29 09:30:00
2034,Item_2034,423,C,2024-07-11 12:50:00
2035,Item_2035,689,D,2024-08-03 08:05:00
2036,Item_2036,312,B,2024-09-14 14:35:00
2037,Item_2037,856,A,2024-10-26 11:20:00
2038,Item_2038,491,C,2024-11-17 16:45:00
2039,Item_2039,628,D,2024-12-09 09:55:00
2040,Item_2040,745,B,2024-01-21 13:15:00
2041,Item_2041,203,A,2024-02-12 10:30:00
2042,Item_2042,879,C,2024-03-25 15:40:00
2043,Item_2043,536,D,2024-04-16 08:25:00
2044,Item_2044,692,B,2024-05-08 12:10:00
2045,Item_2045,358,A,2024-06-20 09:50:00
2046,Item_2046,814,C,2024-07-02 14:05:00
2047,Item_2047,471,D,2024-08-13 11:35:00
2048,Item_2048,927,B,2024-09-24 16:20:00
2049,Item_2049,285,A,2024-10-15 08:45:00
2050,Item_2050,643,C,2024-11-06 13:55:00
2051,Item_2051,509,D,2024-12-18 10:10:00
2052,Item_2052,776,B,2024-01-09 15:25:00
2053,Item_2053,392,A,2024-02-28 09:40:00
2054,Item_2054,868,C,2024-03-21 12:55:00
2055,Item_2055,425,D,2024-04-12 08:15:00
2056,Item_2056,681,B,2024-05-23 14:30:00
2057,Item_2057,247,A,2024-06-14 11:45:00
2058,Item_2058,793,C,2024-07-26 16:05:00
2059,Item_2059,514,D,2024-08-17 09:20:00
2060,Item_2060,836,B,2024-09-08 13:35:00
2061,Item_2061,301,A,2024-10-30 10:50:00
2062,Item_2062,729,C,2024-11-21 15:10:00
2063,Item_2063,456,D,2024-12-13 08:30:00
2064,Item_2064,892,B,2024-01-04 12:45:00
2065,Item_2065,367,A,2024-02-16 09:05:00
2066,Item_2066,623,C,2024-03-08 14:20:00
2067,Item_2067,489,D,2024-04-29 11:40:00
2068,Item_2068,751,B,2024-05-11 16:55:00
2069,Item_2069,214,A,2024-06-02 08:10:00
2070,Item_2070,886,C,2024-07-14 13:25:00
2071,Item_2071,542,D,2024-08-05 10:45:00
2072,Item_2072,708,B,2024-09-26 15:05:00
2073,Item_2073,325,A,2024-10-18 09:30:00
2074,Item_2074,861,C,2024-11-09 12:50:00
2075,Item_2075,478,D,2024-12-21 08:15:00
2076,Item_2076,695,B,2024-01-13 14:35:00
2077,Item_2077,241,A,2024-02-04 11:50:00
2078,Item_2078,807,C,2024-03-17 16:10:00
2079,Item_2079,563,D,2024-04-28 09:25:00
2080,Item_2080,829,B,2024-05-20 13:40:00
2081,Item_2081,396,A,2024-06-11 10:55:00
2082,Item_2082,752,C,2024-07-23 15:15:00
2083,Item_2083,418,D,2024-08-14 08:35:00
2084,Item_2084,684,B,2024-09-05 12:50:00
2085,Item_2085,259,A,2024-10-27 10:05:00
2086,Item_2086,871,C,2024-11-18 15:20:00
2087,Item_2087,505,D,2024-12-10 09:40:00
2088,Item_2088,738,B,2024-01-22 13:55:00
2089,Item_2089,372,A,2024-02-13 11:10:00
2090,Item_2090,619,C,2024-03-06 16:25:00
2091,Item_2091,486,D,2024-04-17 08:45:00
2092,Item_2092,843,B,2024-05-29 14:05:00
2093,Item_2093,228,A,2024-06-10 11:20:00
2094,Item_2094,795,C,2024-07-01 15:35:00
2095,Item_2095,551,D,2024-08-22 09:50:00
2096,Item_2096,917,B,2024-09-13 13:10:00
2097,Item_2097,384,A,2024-10-05 10:25:00
2098,Item_2098,646,C,2024-11-26 15:45:00
2099,Item_2099,502,D,2024-12-08 08:55:00
2100,Item_2100,769,B,2024-01-30 12:15:00
