I'll start by examining the buggy script to understand the resource leak issues, then create sample data and a fixed version.
First, let me check the buggy script:
id,value
1,67.23
2,45.89
3,78.12
4,23.45
5,89.67
6,34.21
7,56.78
8,91.23
9,42.56
10,73.89
11,28.34
12,65.12
13,81.45
14,37.89
15,52.34
16,69.78
17,25.61
18,84.23
19,48.76
20,71.34
21,33.89
22,59.12
23,86.45
24,41.78
25,76.23
26,29.56
27,63.89
28,88.34
29,44.67
30,72.12
31,35.45
32,68.78
33,92.23
34,46.89
35,79.34
36,31.67
37,64.23
38,87.56
39,43.12
40,75.89
41,38.45
42,66.78
43,21.34
44,54.67
45,83.12
