id,value
1,78.45
2,92.31
3,45.67
4,103.89
5,67.23
6,88.54
7,34.12
8,95.76
9,71.38
10,56.92
11,109.45
12,82.67
13,43.21
14,98.34
15,64.78
16,76.89
17,51.23
18,89.56
19,37.45
20,104.12
21,69.87
22,85.34
23,48.91
24,96.23
25,73.56
26,58.89
27,101.45
28,66.78
29,84.12
30,41.56
31,93.89
32,70.23
33,87.67
34,54.34
35,99.78
36,62.45
37,80.12
38,46.89
39,105.23
40,68.56
41,86.91
42,52.34
43,97.67
44,74.12
45,59.45
46,102.78
47,65.23
48,83.56
49,49.89
50,94.34
51,71.67
52,57.12
53,100.45
54,67.89
55,85.23
56,44.56
57,91.78
