max_connections	151
thread_cache_size	8
max_allowed_packet	16777216
table_open_cache	2000
innodb_buffer_pool_size	134217728
key_buffer_size	16777216
sort_buffer_size	262144
read_buffer_size	131072
join_buffer_size	262144
tmp_table_size	16777216
max_heap_table_size	16777216
query_cache_size	0
thread_stack	262144
binlog_cache_size	32768
version	8.0.32
datadir	/var/lib/mysql/
port	3306
socket	/var/run/mysqld/mysqld.sock
character_set_server	utf8mb4
collation_server	utf8mb4_unicode_ci
default_storage_engine	InnoDB
transaction_isolation	REPEATABLE-READ
wait_timeout	28800
interactive_timeout	28800
connect_timeout	10
max_connect_errors	100
table_definition_cache	1400
open_files_limit	5000
innodb_log_file_size	50331648
innodb_log_buffer_size	16777216
innodb_flush_log_at_trx_commit	1
innodb_file_per_table	ON
innodb_flush_method	O_DIRECT
log_bin	mysql-bin
server_id	1
expire_logs_days	7
slow_query_log	ON
slow_query_log_file	/var/log/mysql/slow.log
long_query_time	2
log_error	/var/log/mysql/error.log
general_log	OFF
general_log_file	/var/log/mysql/general.log
