sighting_id,x,y
1,4567.89,2345.12
2,1234.56,8901.23
3,9876.54,5432.10
4,3421.78,6789.45
5,7890.12,1234.67
6,5678.34,9012.89
7,2345.67,4567.23
8,8901.45,7890.56
9,6789.23,3456.78
10,1234.90,5678.34
11,9012.67,2345.89
12,4567.12,8901.45
13,7890.56,6789.12
14,3456.89,1234.78
15,5678.23,9876.34
16,2345.78,4567.90
17,8901.34,7890.23
18,6789.90,3456.45
19,1234.45,5678.67
20,9876.12,2345.34
21,4567.67,8901.90
22,7890.34,6789.56
23,3456.12,1234.23
24,5678.90,9012.45
25,2345.45,4567.78
26,8901.78,7890.12
27,6789.56,3456.90
28,1234.23,5678.45
29,9012.89,2345.67
30,4567.34,8901.12
31,7890.90,6789.78
32,3456.67,1234.45
33,5678.12,9876.90
34,2345.90,4567.56
35,8901.56,7890.89
36,6789.12,3456.23
37,1234.78,5678.90
38,9876.45,2345.12
39,4567.90,8901.67
40,7890.23,6789.34
41,3456.45,1234.90
42,5678.67,9012.12
43,2345.12,4567.45
44,8901.89,7890.78
45,6789.45,3456.56
46,1234.56,5678.12
47,9012.34,2345.78
48,4567.78,8901.34
49,7890.67,6789.90
50,3456.90,1234.56
51,5678.45,9876.23
52,2345.67,4567.12
53,8901.12,7890.45
54,6789.78,3456.89
55,1234.34,5678.67
56,9876.90,2345.45
57,4567.23,8901.78
58,7890.45,6789.23
59,3456.23,1234.12
60,5678.89,9012.67
61,2345.34,4567.89
62,8901.67,7890.34
63,6789.34,3456.12
64,1234.12,5678.78
65,9012.78,2345.90
66,4567.45,8901.23
67,7890.89,6789.67
68,3456.78,1234.34
69,5678.56,9876.78
70,2345.23,4567.67
71,8901.90,7890.90
72,6789.67,3456.45
73,1234.89,5678.23
74,9876.23,2345.56
75,4567.56,8901.89
76,7890.12,6789.45
77,3456.34,1234.67
78,5678.78,9012.34
79,2345.56,4567.34
80,8901.23,7890.67
81,6789.89,3456.78
82,1234.67,5678.56
83,9012.45,2345.23
84,4567.89,8901.56
85,7890.78,6789.89
86,3456.56,1234.89
87,5678.34,9876.45
88,2345.89,4567.23
89,8901.45,7890.12
90,6789.12,3456.67
91,1234.45,5678.89
92,9876.67,2345.78
93,4567.12,8901.45
94,7890.34,6789.12
95,3456.89,1234.45
96,5678.67,9012.78
97,2345.78,4567.56
98,8901.78,7890.56
99,6789.45,3456.34
100,1234.23,5678.34
101,9012.56,2345.45
102,4567.34,8901.12
103,7890.56,6789.78
104,3456.12,1234.23
105,5678.90,9876.56
106,2345.45,4567.78
107,8901.34,7890.23
108,6789.23,3456.90
109,1234.90,5678.12
110,9876.34,2345.67
111,4567.67,8901.78
112,7890.23,6789.34
113,3456.45,1234.78
114,5678.12,9012.90
115,2345.67,4567.90
116,8901.90,7890.45
117,6789.78,3456.12
118,1234.56,5678.45
119,9012.23,2345.34
120,4567.78,8901.67
121,7890.45,6789.56
122,3456.67,1234.34
123,5678.23,9876.12
124,2345.90,4567.45
125,8901.56,7890.78
126,6789.56,3456.23
127,1234.78,5678.67
128,9876.78,2345.90
129,4567.90,8901.34
130,7890.67,6789.23
131,3456.34,1234.56
132,5678.45,9012.45
133,2345.12,4567.67
134,8901.12,7890.89
135,6789.90,3456.56
136,1234.34,5678.90
137,9012.67,2345.12
138,4567.23,8901.90
139,7890.90,6789.45
140,3456.90,1234.67
141,5678.78,9876.89
142,2345.56,4567.12
143,8901.67,7890.34
144,6789.34,3456.78
145,1234.12,5678.56
146,9876.56,2345.23
147,4567.45,8901.12
148,7890.12,6789.67
149,3456.23,1234.90
150,5678.56,9012.23
151,2345.78,4567.34
152,8901.34,7890.56
153,6789.12,3456.45
154,1234.67,5678.78
155,9012.90,2345.56
156,4567.56,8901.45
157,7890.34,6789.90
158,3456.78,1234.12
159,5678.90,9876.67
160,2345.34,4567.89
161,8901.78,7890.12
162,6789.67,3456.34
163,1234.45,5678.23
164,9876.90,2345.45
165,4567.12,8901.67
166,7890.56,6789.12
167,3456.45,1234.78
168,5678.67,9012.56
169,2345.23,4567.23
170,8901.45,7890.67
171,6789.23,3456.89
172,1234.89,5678.45
173,9012.12,2345.78
174,4567.78,8901.23
175,7890.78,6789.56
176,3456.56,1234.45
177,5678.34,9876.34
178,2345.67,4567.78
179,8901.23,7890.90
180,6789.45,3456.67
181,1234.56,5678.34
182,9876.12,2345.89
183,4567.34,8901.78
184,7890.90,6789.23
185,3456.12,1234.34
186,5678.89,9012.89
187,2345.45,4567.56
188,8901.56,7890.23
189,6789.89,3456.12
190,1234.23,5678.89
191,9012.78,2345.67
192,4567.67,8901.34
193,7890.23,6789.78
194,3456.89,1234.56
195,5678.12,9876.90
196,2345.89,4567.12
197,8901.89,7890.45
198,6789.56,3456.90
199,1234.90,5678.12
200,9876.45,2345.34
