id,x,y
1,1523.45,3421.67
2,8934.21,456.78
3,2341.56,7823.91
4,4567.89,2134.56
5,6789.12,5678.34
6,3456.78,8901.23
7,9012.34,1234.56
8,567.89,6543.21
9,7890.12,3210.98
10,2109.87,9876.54
11,5432.10,4321.09
12,8765.43,7654.32
13,1098.76,2987.65
14,6543.21,8765.43
15,3210.98,5432.10
16,9876.54,1098.76
17,4321.09,6789.12
18,7654.32,3456.78
19,234.56,9012.34
20,5678.90,2345.67
21,8901.23,5678.90
22,2234.56,8901.23
23,6567.89,1234.56
24,3890.12,6567.89
25,7123.45,3890.12
26,1456.78,7123.45
27,5789.01,4456.78
28,9023.34,789.01
29,4356.67,9123.34
30,8689.90,2456.67
31,1923.23,5789.90
32,6256.56,8023.23
33,3589.89,1356.56
34,7823.12,6689.89
35,2156.45,3923.12
36,5489.78,7256.45
37,9723.01,4589.78
38,4056.34,823.01
39,8389.67,9156.34
40,1623.90,2489.67
41,5956.23,5823.90
42,3289.56,8156.23
43,7622.89,1489.56
44,987.12,6822.89
45,6320.45,4120.12
46,9653.78,7453.45
47,2987.01,956.78
48,7320.34,9286.01
49,4653.67,2620.34
50,8986.90,5953.67
51,2220.13,8286.90
52,6553.46,1620.13
53,3886.79,6953.46
54,8120.02,4286.79
55,1453.35,7620.02
56,5786.68,953.35
57,9019.91,9386.68
58,4353.24,2720.91
59,8686.57,6053.24
60,2019.80,8386.57
61,6353.13,1720.80
62,3686.46,7053.13
63,7919.69,4386.46
64,1253.02,7719.69
65,5586.35,1053.02
66,9819.58,9486.35
67,4152.91,2820.58
68,8486.24,6153.91
69,1719.47,8486.24
70,6052.70,1820.47
71,3385.93,7153.70
72,7719.26,4486.93
73,1052.49,7820.26
74,5385.82,1152.49
75,9619.05,9586.82
76,3952.38,2919.05
77,8285.71,6253.38
78,1519.94,8586.71
79,5853.17,1919.94
80,3186.40,7253.17
81,7519.73,4586.40
82,852.96,7919.73
83,6186.29,1252.96
84,9519.52,9686.29
85,3852.85,3019.52
86,8086.08,6353.85
87,1419.31,8686.08
88,5752.64,2019.31
89,3085.97,7353.64
90,7419.20,4686.97
91,652.43,8019.20
92,5985.76,1352.43
93,9319.09,9786.76
94,3652.32,3119.09
95,7985.65,6453.32
96,1218.88,8786.65
97,5552.01,2119.88
98,2885.34,7453.01
99,7218.67,4786.34
100,452.90,8119.67
101,5786.13,1452.90
102,9119.36,9886.13
103,3452.69,3219.36
104,7785.92,6553.69
105,1019.15,8886.92
106,5352.48,2219.15
107,2685.71,7553.48
108,7018.94,4886.71
109,252.17,8219.94
110,5586.40,1552.17
111,8919.73,9986.40
112,3252.96,3319.73
113,7586.19,6653.96
114,819.42,8986.19
115,5152.75,2319.42
116,2485.98,7653.75
117,6819.21,4986.98
118,152.44,8319.21
119,5386.77,1652.44
120,8720.00,219.77
121,3053.23,3420.00
122,7386.56,6754.23
123,619.79,9086.56
124,4953.02,2420.79
125,2286.25,7754.02
126,6619.48,5086.25
127,52.71,8420.48
128,5186.94,1753.71
129,8520.27,320.94
130,2853.50,3520.27
131,7186.83,6854.50
132,419.06,9186.83
133,4753.29,2520.06
134,2086.52,7854.29
135,6419.85,5186.52
136,9753.08,8520.85
137,3986.31,1853.08
138,8320.64,420.31
139,1653.87,3620.64
140,5987.10,6954.87
141,3320.43,9286.10
142,7653.76,2620.43
143,1886.99,7954.76
144,6220.12,5286.99
145,9553.45,8620.12
146,3786.78,1953.45
147,8120.11,520.78
148,1453.34,3720.11
149,5787.67,7054.34
150,3120.90,9386.67
151,7454.23,2720.90
152,1687.46,8054.23
153,6020.79,5387.46
154,9354.12,8720.79
155,3587.35,2053.12
156,7920.68,621.35
157,1254.01,3820.68
158,5588.34,7154.01
159,2921.57,9486.34
160,7254.90,2821.57
161,1488.13,8154.90
162,5821.46,5488.13
163,9154.79,8821.46
164,3388.02,2154.79
165,7721.35,721.02
166,1054.58,3921.35
167,5388.91,7254.58
168,2722.14,9586.91
169,7055.37,2922.14
170,1288.60,8254.37
171,5622.93,5588.60
172,8955.26,8922.93
173,3188.49,2255.26
174,7522.82,822.49
175,854.05,4022.82
