id,name,role
1,Keanu Reeves,actor
2,Leonardo DiCaprio,actor
3,Christopher Nolan,director
4,Christian Bale,actor
5,Bong Joon-ho,director
6,Margot Robbie,actor
7,Greta Gerwig,director
8,Ryan Gosling,actor
9,Scarlett Johansson,actor
10,Quentin Tarantino,director
11,Brad Pitt,actor
12,Martin Scorsese,director
13,Robert De Niro,actor
14,Tom Hanks,actor
15,Steven Spielberg,director
16,Meryl Streep,actor
17,Cate Blanchett,actor
18,Denis Villeneuve,director
19,Timothée Chalamet,actor
20,Zendaya,actor
21,James Cameron,director
22,Sam Worthington,actor
23,Sigourney Weaver,actor
24,Ridley Scott,director
25,Matt Damon,actor
26,Jessica Chastain,actor
27,Alfonso Cuarón,director
28,Sandra Bullock,actor
29,George Clooney,actor
30,Damien Chazelle,director
31,Emma Stone,actor
32,Ryan Reynolds,actor
33,Shawn Levy,director
34,Hugh Jackman,actor
35,Patty Jenkins,director
36,Gal Gadot,actor
37,Chris Pine,actor
38,Taika Waititi,director
39,Chris Hemsworth,actor
40,Natalie Portman,actor
41,Jordan Peele,director
42,Daniel Kaluuya,actor
43,Lupita Nyong'o,actor
44,Ari Aster,director
45,Florence Pugh,actor
46,Emerald Fennell,director
47,Carey Mulligan,actor
48,Paul Thomas Anderson,director
49,Joaquin Phoenix,actor
50,Wes Anderson,director
51,Bill Murray,actor
52,Tilda Swinton,actor
53,David Fincher,director
54,Jake Gyllenhaal,actor
55,Rosamund Pike,actor
56,Guillermo del Toro,director
57,Sally Hawkins,actor
58,Doug Jones,actor
59,Yorgos Lanthimos,director
60,Emma Stone,actor
61,Mark Ruffalo,actor
62,Todd Phillips,director
63,Robert Pattinson,actor
64,Saoirse Ronan,actor
65,Noah Baumbach,director
66,Adam Driver,actor
67,Frances McDormand,actor
68,Joel Coen,director
69,Tom Cruise,actor
70,Joseph Kosinski,director
71,Jennifer Lawrence,actor
72,David O. Russell,director
73,Amy Adams,actor
74,Clint Eastwood,director
75,Bradley Cooper,actor
76,Peter Jackson,director
77,Elijah Wood,actor
78,Viggo Mortensen,actor
79,Ridley Scott,actor
80,Michael B. Jordan,actor
81,Ryan Coogler,director
82,Chadwick Boseman,actor
