timestamp,source_ip,destination_port,protocol,status,bytes_transferred
2024-01-15 22:03:12,192.168.1.45,443,TCP,ESTABLISHED,12453
2024-01-15 22:05:47,10.0.2.15,80,TCP,ESTABLISHED,8924
2024-01-15 22:08:33,172.17.0.3,22,TCP,ESTABLISHED,3456
2024-01-15 22:12:18,203.0.113.56,4444,TCP,CLOSED,0
2024-01-15 22:15:22,127.0.0.1,5555,TCP,CLOSED,0
2024-01-15 22:18:09,198.51.100.42,443,TCP,ESTABLISHED,23456
2024-01-15 22:21:44,10.0.1.8,8888,TCP,SYN_SENT,0
2024-01-15 22:24:55,172.17.0.5,80,TCP,ESTABLISHED,15678
2024-01-15 22:28:31,127.0.0.1,4444,TCP,CLOSED,0
2024-01-15 22:32:17,192.168.1.78,22,TCP,ESTABLISHED,4521
2024-01-15 22:35:48,10.0.3.22,6666,TCP,CLOSED,0
2024-01-15 22:39:03,127.0.0.1,4444,TCP,SYN_SENT,0
2024-01-15 22:42:29,203.0.113.89,443,TCP,ESTABLISHED,34567
2024-01-15 22:45:51,172.17.0.2,7777,TCP,CLOSED,0
2024-01-15 22:49:14,127.0.0.1,5555,TCP,SYN_SENT,0
2024-01-15 22:52:38,10.0.2.33,80,TCP,TIME_WAIT,9876
2024-01-15 22:56:02,198.51.100.78,9999,TCP,CLOSED,0
2024-01-15 22:58:47,127.0.0.1,4444,TCP,LISTEN,0
2024-01-15 23:01:23,192.168.1.101,22,TCP,ESTABLISHED,6789
2024-01-15 23:04:55,172.17.0.8,443,TCP,ESTABLISHED,18923
2024-01-15 23:07:19,127.0.0.1,5555,TCP,LISTEN,0
2024-01-15 23:10:42,10.0.1.45,8888,TCP,CLOSED,0
2024-01-15 23:13:58,203.0.113.124,80,TCP,ESTABLISHED,27845
2024-01-15 23:17:24,127.0.0.1,4444,TCP,ESTABLISHED,1234
2024-01-15 23:20:51,172.17.0.12,6666,TCP,CLOSED,0
2024-01-15 23:24:16,198.51.100.156,22,TCP,ESTABLISHED,5432
2024-01-15 23:27:38,10.0.2.67,7777,TCP,SYN_SENT,0
2024-01-15 23:31:04,127.0.0.1,5555,TCP,ESTABLISHED,2345
2024-01-15 23:34:29,192.168.1.134,443,TCP,ESTABLISHED,41256
2024-01-15 23:37:55,172.17.0.6,9999,TCP,CLOSED,0
2024-01-15 23:41:18,10.0.3.89,80,TCP,TIME_WAIT,13456
2024-01-15 23:44:42,127.0.0.1,4444,TCP,ESTABLISHED,3456
2024-01-15 23:48:07,203.0.113.201,8888,TCP,CLOSED,0
2024-01-15 23:51:33,172.17.0.15,22,TCP,ESTABLISHED,7890
2024-01-15 23:54:58,198.51.100.234,443,TCP,ESTABLISHED,32109
2024-01-15 23:58:24,127.0.0.1,6666,TCP,SYN_SENT,0
2024-01-16 00:01:49,10.0.1.112,80,TCP,ESTABLISHED,19876
2024-01-16 00:05:15,192.168.1.167,7777,TCP,CLOSED,0
2024-01-16 00:08:41,127.0.0.1,5555,TCP,ESTABLISHED,4567
2024-01-16 00:12:06,172.17.0.9,443,TCP,ESTABLISHED,28734
2024-01-16 00:15:32,203.0.113.45,9999,TCP,CLOSED,0
2024-01-16 00:18:57,10.0.2.145,22,TCP,ESTABLISHED,8901
2024-01-16 00:22:23,127.0.0.1,4444,TCP,ESTABLISHED,5678
2024-01-16 00:25:48,198.51.100.67,80,TCP,TIME_WAIT,11234
2024-01-16 00:29:14,172.17.0.18,8888,TCP,CLOSED,0
2024-01-16 00:32:39,127.0.0.1,6666,TCP,LISTEN,0
2024-01-16 00:36:05,10.0.3.178,443,TCP,ESTABLISHED,36789
2024-01-16 00:39:30,192.168.1.189,5555,TCP,CLOSED,0
2024-01-16 00:42:56,127.0.0.1,7777,TCP,SYN_SENT,0
2024-01-16 00:46:21,203.0.113.98,22,TCP,ESTABLISHED,9012
2024-01-16 00:49:47,172.17.0.21,80,UDP,CLOSED,0
2024-01-16 00:53:12,127.0.0.1,4444,TCP,ESTABLISHED,6789
