layer_type,input_dim,output_dim,params_count,inference_time_ms,memory_mb
conv2d,64,32,45000,3.2,22.5
linear,128,64,98000,2.1,18.3
lstm,256,128,450000,8.5,45.2
gru,512,256,780000,12.3,68.4
attention,128,128,125000,5.4,35.7
transformer,256,256,1200000,15.8,95.3
residual,512,512,890000,11.2,72.8
depthwise_conv,64,64,12000,1.8,12.4
conv2d,128,64,180000,6.7,38.9
linear,256,128,245000,4.2,28.6
lstm,512,256,950000,18.4,112.5
gru,256,128,320000,7.8,48.3
attention,512,512,1450000,22.1,125.7
transformer,1024,512,1800000,35.2,185.4
residual,256,256,420000,9.1,55.6
depthwise_conv,128,128,28000,2.4,15.8
conv2d,256,128,380000,8.9,49.2
linear,512,256,520000,10.5,62.3
lstm,1024,512,1650000,28.7,156.8
gru,512,256,680000,14.6,82.1
attention,256,256,290000,6.3,42.5
transformer,512,512,1550000,25.4,142.3
residual,1024,1024,1720000,32.8,168.9
depthwise_conv,256,256,52000,3.8,24.7
conv2d,512,256,720000,16.2,88.5
linear,1024,512,1050000,19.8,98.7
lstm,256,128,385000,9.3,52.4
gru,128,64,145000,4.9,32.1
attention,1024,1024,1900000,42.5,195.2
transformer,256,128,580000,13.7,75.6
residual,512,512,850000,18.9,96.4
depthwise_conv,512,512,98000,5.2,38.6
conv2d,128,96,156000,5.8,36.2
linear,256,192,285000,6.9,44.8
lstm,512,384,890000,17.2,105.3
gru,256,192,298000,8.4,51.7
attention,128,96,118000,4.6,29.4
transformer,512,384,1320000,23.8,138.6
residual,256,192,395000,8.7,48.9
depthwise_conv,128,96,22000,2.1,14.2
conv2d,64,48,58000,3.8,24.6
linear,128,96,115000,3.2,21.8
lstm,256,192,425000,9.8,58.3
gru,512,384,725000,15.4,89.7
attention,256,192,265000,7.1,46.3
transformer,1024,768,1750000,38.6,178.4
residual,512,384,765000,16.8,92.5
depthwise_conv,256,192,45000,3.4,22.8
conv2d,32,24,25000,1.9,15.3
linear,64,48,35000,1.4,11.7
lstm,128,96,185000,5.6,34.2
gru,256,192,315000,8.9,54.6
attention,512,384,1280000,21.5,118.9
transformer,256,192,625000,14.2,78.3
residual,1024,768,1580000,31.4,162.7
depthwise_conv,512,384,85000,4.8,32.5
conv2d,256,192,365000,9.2,52.8
linear,512,384,485000,11.8,68.4
lstm,1024,768,1580000,32.5,172.6
gru,512,384,695000,16.2,94.8
attention,256,128,245000,6.8,41.2
transformer,512,256,1180000,22.7,128.5
residual,256,128,385000,8.3,47.6
depthwise_conv,128,64,18000,1.7,10.8
conv2d,128,128,165000,6.2,37.4
linear,256,256,325000,7.8,48.9
lstm,512,512,985000,19.6,115.8
gru,256,256,365000,9.6,56.2
attention,128,128,132000,5.1,31.8
transformer,256,256,695000,15.6,82.7
residual,512,512,895000,19.3,102.4
depthwise_conv,256,256,55000,3.9,26.3
conv2d,64,64,72000,4.2,28.5
linear,128,128,148000,4.8,30.2
lstm,256,256,465000,11.2,64.7
gru,512,512,785000,17.8,98.6
attention,256,256,295000,7.6,45.8
transformer,1024,1024,1850000,41.2,192.8
residual,256,256,425000,9.8,58.4
depthwise_conv,128,128,28000,2.6,17.5
conv2d,512,384,685000,17.5,91.3
linear,1024,768,995000,21.4,106.8
lstm,256,192,415000,10.3,61.5
gru,128,96,152000,5.3,33.7
attention,1024,768,1720000,39.8,186.4
transformer,256,192,595000,14.8,79.8
residual,512,384,785000,18.2,97.6
depthwise_conv,512,384,92000,5.6,36.8
conv2d,96,72,95000,4.5,29.8
linear,192,144,215000,5.8,38.6
lstm,384,288,685000,14.8,86.4
gru,192,144,235000,6.9,43.2
