repository_name,artifact_path,size_bytes,last_downloaded,published_date,format_type
maven-releases,com/company/core/1.0.0/core-1.0.0.jar,524288000,2021-05-15,2021-02-10,maven2
maven-releases,com/company/core/1.1.0/core-1.1.0.jar,531000000,2021-08-20,2021-06-15,maven2
maven-releases,com/company/core/1.2.0/core-1.2.0.jar,538000000,2022-01-10,2021-11-20,maven2
maven-releases,com/company/core/1.3.0/core-1.3.0.jar,545000000,2022-06-15,2022-04-10,maven2
maven-releases,com/company/core/1.4.0/core-1.4.0.jar,552000000,2023-12-20,2023-10-05,maven2
maven-releases,com/company/core/1.5.0/core-1.5.0.jar,559000000,2024-01-10,2023-12-15,maven2
maven-snapshots,com/company/api/2.0.0-SNAPSHOT/api-2.0.0-SNAPSHOT.jar,15728640000,2021-09-10,2021-08-15,maven2
maven-snapshots,com/company/api/2.1.0-SNAPSHOT/api-2.1.0-SNAPSHOT.jar,16106127360,2022-03-20,2022-02-10,maven2
maven-snapshots,com/company/api/2.2.0-SNAPSHOT/api-2.2.0-SNAPSHOT.jar,16500000000,2022-09-15,2022-07-20,maven2
maven-snapshots,com/company/api/2.3.0-SNAPSHOT/api-2.3.0-SNAPSHOT.jar,16900000000,2023-02-10,2023-01-05,maven2
maven-snapshots,com/company/api/2.4.0-SNAPSHOT/api-2.4.0-SNAPSHOT.jar,17300000000,2024-01-08,2023-11-20,maven2
maven-releases,com/company/service/releases/3.0.0/service-3.0.0.jar,2097152000,2023-11-15,2023-10-01,maven2
maven-releases,com/company/service/releases/3.1.0/service-3.1.0.jar,2150000000,2024-01-05,2023-11-15,maven2
maven-releases,com/company/service/releases/3.2.0/service-3.2.0.jar,2200000000,2024-01-12,2024-01-02,maven2
maven-snapshots,com/company/lib/1.0.0-beta/lib-1.0.0-beta.jar,12884901888,2021-07-10,2021-06-05,maven2
maven-snapshots,com/company/lib/1.1.0-beta/lib-1.1.0-beta.jar,13200000000,2021-11-20,2021-10-10,maven2
maven-snapshots,com/company/lib/1.2.0-rc1/lib-1.2.0-rc1.jar,13500000000,2022-04-15,2022-03-05,maven2
maven-snapshots,com/company/lib/1.3.0-rc2/lib-1.3.0-rc2.jar,13800000000,2022-08-10,2022-07-01,maven2
maven-releases,com/company/lib/releases/2.0.0/lib-2.0.0.jar,1258291200,2023-10-20,2023-09-15,maven2
maven-releases,com/company/lib/releases/2.1.0/lib-2.1.0.jar,1300000000,2024-01-09,2023-12-10,maven2
npm-registry,@company/frontend/0.5.0-alpha/package-0.5.0-alpha.tgz,10737418240,2021-06-15,2021-05-01,npm
npm-registry,@company/frontend/0.6.0-alpha/package-0.6.0-alpha.tgz,11000000000,2021-10-10,2021-09-01,npm
npm-registry,@company/frontend/0.7.0-beta/package-0.7.0-beta.tgz,11500000000,2022-02-15,2022-01-10,npm
npm-registry,@company/frontend/1.0.0/package-1.0.0.tgz,943718400,2023-09-20,2023-08-15,npm
npm-registry,@company/frontend/1.1.0/package-1.1.0.tgz,980000000,2024-01-06,2023-11-20,npm
npm-registry,@company/frontend/1.2.0/package-1.2.0.tgz,1000000000,2024-01-11,2024-01-05,npm
docker-registry,company/webapp/1.0.0-SNAPSHOT/manifest.json,21474836480,2021-08-05,2021-07-01,docker
docker-registry,company/webapp/1.1.0-SNAPSHOT/manifest.json,22000000000,2022-01-15,2021-12-01,docker
docker-registry,company/webapp/2.0.0/manifest.json,3221225472,2023-10-10,2023-09-05,docker
docker-registry,company/webapp/2.1.0/manifest.json,3300000000,2024-01-07,2023-12-01,docker
docker-registry,company/webapp/2.2.0/manifest.json,3400000000,2024-01-13,2024-01-08,docker
pypi-hosted,company/ml-toolkit/0.8.0-dev/ml-toolkit-0.8.0-dev.whl,8589934592,2021-04-10,2021-03-01,pypi
pypi-hosted,company/ml-toolkit/0.9.0-dev/ml-toolkit-0.9.0-dev.whl,8800000000,2021-09-05,2021-08-01,pypi
pypi-hosted,company/ml-toolkit/1.0.0-rc1/ml-toolkit-1.0.0-rc1.whl,9000000000,2022-01-20,2021-12-15,pypi
pypi-hosted,company/ml-toolkit/1.1.0/ml-toolkit-1.1.0.whl,786432000,2023-11-05,2023-10-01,pypi
pypi-hosted,company/ml-toolkit/1.2.0/ml-toolkit-1.2.0.whl,810000000,2024-01-04,2023-12-15,pypi
pypi-hosted,company/ml-toolkit/1.3.0/ml-toolkit-1.3.0.whl,830000000,2024-01-14,2024-01-10,pypi
maven-releases,com/company/batch/releases/5.0.0/batch-5.0.0.jar,4194304000,2022-11-10,2022-10-01,maven2
maven-releases,com/company/batch/releases/5.1.0/batch-5.1.0.jar,4300000000,2023-12-15,2023-11-01,maven2
maven-releases,com/company/batch/releases/5.2.0/batch-5.2.0.jar,4400000000,2024-01-10,2023-12-20,maven2
maven-snapshots,com/company/analytics/3.0.0-SNAPSHOT/analytics-3.0.0-SNAPSHOT.jar,19327352832,,2021-04-15,maven2
maven-snapshots,com/company/analytics/3.1.0-SNAPSHOT/analytics-3.1.0-SNAPSHOT.jar,19800000000,,2021-08-20,maven2
maven-snapshots,com/company/analytics/3.2.0-SNAPSHOT/analytics-3.2.0-SNAPSHOT.jar,20300000000,2022-05-10,2022-03-15,maven2
maven-snapshots,com/company/analytics/3.3.0-SNAPSHOT/analytics-3.3.0-SNAPSHOT.jar,20800000000,2022-11-15,2022-09-20,maven2
maven-releases,com/company/analytics/releases/4.0.0/analytics-4.0.0.jar,3145728000,2023-10-25,2023-09-20,maven2
maven-releases,com/company/analytics/releases/4.1.0/analytics-4.1.0.jar,3250000000,2024-01-08,2023-12-05,maven2
npm-registry,@company/utils/2.0.0-beta/utils-2.0.0-beta.tgz,7516192768,2021-12-05,2021-11-01,npm
