transaction_id,request_timestamp_ms,response_timestamp_ms,signal_strength_dbm
SUS001,1700100000000,1700100000035,-30.2
SUS002,1700100001000,1700100001145,-42.1
SUS003,1700100002000,1700100002180,-45.8
SUS004,1700100003000,1700100003028,-33.5
SUS005,1700100004000,1700100004042,-28.9
SUS006,1700100005000,1700100005165,-44.3
SUS007,1700100006000,1700100006038,-31.7
SUS008,1700100007000,1700100007195,-46.2
SUS009,1700100008000,1700100008025,-29.4
SUS010,1700100009000,1700100009047,-35.1
SUS011,1700100010000,1700100010132,-43.8
SUS012,1700100011000,1700100011033,-30.6
SUS013,1700100012000,1700100012215,-47.5
SUS014,1700100013000,1700100013041,-32.3
SUS015,1700100014000,1700100014158,-45.9
SUS016,1700100015000,1700100015029,-28.7
SUS017,1700100016000,1700100016044,-34.2
SUS018,1700100017000,1700100017189,-44.6
SUS019,1700100018000,1700100018037,-31.9
SUS020,1700100019000,1700100019026,-29.8
SUS021,1700100020000,1700100020142,-42.7
SUS022,1700100021000,1700100021048,-33.4
SUS023,1700100022000,1700100022203,-46.8
SUS024,1700100023000,1700100023031,-30.1
SUS025,1700100024000,1700100024175,-45.2
SUS026,1700100025000,1700100025039,-32.6
SUS027,1700100026000,1700100026045,-28.5
SUS028,1700100027000,1700100027118,-43.1
SUS029,1700100028000,1700100028034,-31.2
SUS030,1700100029000,1700100029227,-47.9
SUS031,1700100030000,1700100030043,-29.6
SUS032,1700100031000,1700100031152,-44.8
SUS033,1700100032000,1700100032027,-30.9
SUS034,1700100033000,1700100033049,-35.7
SUS035,1700100034000,1700100034196,-46.4
SUS036,1700100035000,1700100035036,-31.5
SUS037,1700100036000,1700100036168,-43.6
SUS038,1700100037000,1700100037032,-28.3
SUS039,1700100038000,1700100038041,-33.8
SUS040,1700100039000,1700100039214,-45.7
SUS041,1700100040000,1700100040038,-30.4
SUS042,1700100041000,1700100041029,-29.1
SUS043,1700100042000,1700100042135,-42.9
SUS044,1700100043000,1700100043046,-34.5
SUS045,1700100044000,1700100044188,-46.1
SUS046,1700100045000,1700100045033,-31.8
SUS047,1700100046000,1700100046159,-44.5
SUS048,1700100047000,1700100047040,-32.1
SUS049,1700100048000,1700100048025,-28.8
SUS050,1700100049000,1700100049178,-45.3
SUS051,1700100050000,1700100050044,-30.7
SUS052,1700100051000,1700100051221,-47.2
SUS053,1700100052000,1700100052037,-33.2
SUS054,1700100053000,1700100053028,-29.5
SUS055,1700100054000,1700100054147,-43.4
SUS056,1700100055000,1700100055042,-31.3
SUS057,1700100056000,1700100056204,-46.7
SUS058,1700100057000,1700100057035,-32.9
SUS059,1700100058000,1700100058048,-28.6
SUS060,1700100059000,1700100059162,-44.9
SUS061,1700100060000,1700100060031,-30.5
SUS062,1700100061000,1700100061193,-45.6
SUS063,1700100062000,1700100062039,-33.7
SUS064,1700100063000,1700100063026,-29.9
SUS065,1700100064000,1700100064138,-42.5
SUS066,1700100065000,1700100065045,-34.1
SUS067,1700100066000,1700100066217,-47.4
SUS068,1700100067000,1700100067034,-31.6
SUS069,1700100068000,1700100068171,-45.1
SUS070,1700100069000,1700100069043,-30.8
SUS071,1700100070000,1700100070027,-28.4
SUS072,1700100071000,1700100071185,-46.3
SUS073,1700100072000,1700100072041,-32.4
SUS074,1700100073000,1700100073154,-44.2
SUS075,1700100074000,1700100074038,-33.6
SUS076,1700100075000,1700100075209,-47.1
SUS077,1700100076000,1700100076030,-29.7
SUS078,1700100077000,1700100077046,-35.3
SUS079,1700100078000,1700100078128,-43.9
SUS080,1700100079000,1700100079036,-31.4
SUS081,1700100080000,1700100080198,-46.5
SUS082,1700100081000,1700100081032,-30.3
SUS083,1700100082000,1700100082044,-28.2
SUS084,1700100083000,1700100083176,-45.4
SUS085,1700100084000,1700100084029,-32.8
SUS086,1700100085000,1700100085223,-47.6
SUS087,1700100086000,1700100086040,-33.9
SUS088,1700100087000,1700100087150,-44.7
SUS089,1700100088000,1700100088035,-31.1
SUS090,1700100089000,1700100089048,-29.3
SUS091,1700100090000,1700100090187,-46.9
SUS092,1700100091000,1700100091033,-30.6
SUS093,1700100092000,1700100092164,-43.2
SUS094,1700100093000,1700100093042,-34.8
SUS095,1700100094000,1700100094211,-47.8
SUS096,1700100095000,1700100095028,-32.5
SUS097,1700100096000,1700100096037,-29.2
SUS098,1700100097000,1700100097143,-45.8
SUS099,1700100098000,1700100098045,-31.7
SUS100,1700100099000,1700100099199,-46.6
