station_id,day,moisture_level,temperature
S001,1,32.45,22.34
S001,2,31.89,23.12
S001,3,31.24,24.21
S001,4,30.78,23.87
S001,5,30.12,22.95
S001,6,29.67,23.45
S001,7,29.34,24.56
S001,8,28.89,25.23
S001,9,28.45,25.67
S001,10,27.98,26.12
S001,11,27.56,25.89
S001,12,27.23,25.34
S001,13,26.87,24.78
S001,14,26.45,24.23
S001,15,26.12,23.89
S001,16,25.78,23.45
S001,17,25.45,23.12
S001,18,25.23,22.87
S001,19,24.98,22.56
S001,20,24.67,22.34
S001,21,24.45,22.78
S001,22,24.23,23.23
S001,23,24.01,23.67
S001,24,23.78,24.12
S001,25,23.56,24.56
S001,26,23.34,25.01
S001,27,23.12,25.45
S001,28,22.98,25.89
S001,29,22.78,26.23
S001,30,22.56,26.67
S002,1,28.34,21.78
S002,2,28.12,22.34
S002,3,27.89,22.89
S002,4,27.56,23.45
S002,5,27.23,23.98
S002,6,26.98,24.34
S002,7,26.67,24.78
S002,8,26.45,25.12
S002,9,26.23,25.56
S002,10,25.98,25.98
S002,11,25.78,26.34
S002,12,25.56,26.78
S002,13,25.34,27.12
S002,14,25.12,27.45
S002,15,24.98,27.89
S002,16,24.78,28.23
S002,17,24.56,28.56
S002,18,24.45,28.89
S002,19,24.23,29.12
S002,20,24.12,29.45
S002,21,23.98,29.67
S002,22,23.89,29.89
S002,23,23.78,30.12
S002,24,23.67,30.34
S002,25,23.56,30.56
S002,26,23.45,30.78
S002,27,23.34,30.98
S002,28,23.23,31.12
S002,29,23.12,31.34
S002,30,23.01,31.56
S003,1,35.67,20.12
S003,2,35.34,20.56
S003,3,35.01,21.01
S003,4,34.78,21.45
S003,5,34.45,21.89
S003,6,34.23,22.23
S003,7,33.98,22.67
S003,8,33.67,23.12
S003,9,33.45,23.45
S003,10,33.12,23.89
S003,11,32.89,24.23
S003,12,32.56,24.67
S003,13,32.34,25.01
S003,14,32.01,25.45
S003,15,31.78,25.78
S003,16,31.56,26.12
S003,17,31.34,26.45
S003,18,31.12,26.78
S003,19,30.89,27.12
S003,20,30.67,27.45
S003,21,30.45,27.78
S003,22,30.23,28.01
S003,23,30.01,28.34
S003,24,29.78,28.67
S003,25,29.56,28.98
S003,26,29.34,29.23
S003,27,29.12,29.56
S003,28,28.89,29.89
S003,29,28.67,30.12
S003,30,28.45,30.45
S004,1,26.78,23.45
S004,2,26.56,23.78
S004,3,26.34,24.12
S004,4,26.12,24.45
S004,5,25.98,24.78
S004,6,25.78,25.12
S004,7,25.56,25.45
S004,8,25.45,25.78
S004,9,25.23,26.12
S004,10,25.12,26.45
S004,11,24.98,26.78
S004,12,24.89,27.01
S004,13,24.78,27.34
S004,14,24.67,27.67
S004,15,24.56,27.98
S004,16,24.45,28.23
S004,17,24.34,28.56
S004,18,24.23,28.89
S004,19,24.12,29.12
S004,20,24.01,29.45
S004,21,23.98,29.67
S004,22,23.89,29.89
S004,23,23.78,30.12
S004,24,23.67,30.34
S004,25,23.56,30.56
S004,26,23.45,30.78
S004,27,23.34,30.98
S004,28,23.23,31.12
S004,29,23.12,31.34
S004,30,23.01,31.56
S005,1,38.45,18.23
S005,2,38.12,18.67
S005,3,37.89,19.12
S005,4,37.56,19.56
S005,5,37.34,19.98
S005,6,37.01,20.34
S005,7,36.78,20.78
S005,8,36.45,21.23
S005,9,36.23,21.67
S005,10,35.98,22.01
S005,11,35.67,22.45
S005,12,35.45,22.89
S005,13,35.12,23.34
S005,14,34.89,23.78
S005,15,34.67,24.12
S005,16,34.45,24.56
S005,17,34.23,24.98
S005,18,34.01,25.34
S005,19,33.78,25.78
S005,20,33.56,26.12
S005,21,33.34,26.45
S005,22,33.12,26.89
S005,23,32.89,27.23
S005,24,32.67,27.56
S005,25,32.45,27.98
S005,26,32.23,28.34
S005,27,32.01,28.67
S005,28,31.78,29.01
S005,29,31.56,29.45
S005,30,31.34,29.78
