2024-01-15 14:23:12.445 NTLM_NEGOTIATE | 192.168.1.105:49232 -> 10.0.5.12:445 | SessionID: a4f2e891 | Challenge: NULL | Response: NULL | TimeDelta: 0ms | Status: PENDING
2024-01-15 14:23:12.498 NTLM_CHALLENGE | 10.0.5.12:445 -> 192.168.1.105:49232 | SessionID: a4f2e891 | Challenge: 8f4a2c1b9e7d3a5f | Response: NULL | TimeDelta: 53ms | Status: PENDING
2024-01-15 14:23:12.612 NTLM_AUTHENTICATE | 192.168.1.105:49232 -> 10.0.5.12:445 | SessionID: a4f2e891 | Challenge: 8f4a2c1b9e7d3a5f | Response: d4e8f2a19c3b7e5a | TimeDelta: 114ms | Status: SUCCESS
2024-01-15 14:24:33.221 NTLM_NEGOTIATE | 192.168.1.87:49301 -> 10.0.5.8:445 | SessionID: b7e3d492 | Challenge: NULL | Response: NULL | TimeDelta: 0ms | Status: PENDING
2024-01-15 14:24:33.289 NTLM_CHALLENGE | 10.0.5.8:445 -> 192.168.1.87:49301 | SessionID: b7e3d492 | Challenge: 3c5e7f9a1b2d4e6c | Response: NULL | TimeDelta: 68ms | Status: PENDING
2024-01-15 14:24:33.401 NTLM_AUTHENTICATE | 192.168.1.87:49301 -> 10.0.5.8:445 | SessionID: b7e3d492 | Challenge: 3c5e7f9a1b2d4e6c | Response: 7a8d9e1f2c3b4a5d | TimeDelta: 112ms | Status: SUCCESS
2024-01-15 14:25:47.334 NTLM_NEGOTIATE | 192.168.1.92:49345 -> 10.0.5.15:445 | SessionID: c8d4e123 | Challenge: NULL | Response: NULL | TimeDelta: 0ms | Status: PENDING
2024-01-15 14:25:47.412 NTLM_CHALLENGE | 10.0.5.15:445 -> 192.168.1.92:49345 | SessionID: c8d4e123 | Challenge: 2e4f6a8c9b1d3e5a | Response: NULL | TimeDelta: 78ms | Status: PENDING
2024-01-15 14:25:47.556 NTLM_AUTHENTICATE | 192.168.1.92:49345 -> 10.0.5.15:445 | SessionID: c8d4e123 | Challenge: 2e4f6a8c9b1d3e5a | Response: 5c6e7f8a9b1c2d3e | TimeDelta: 144ms | Status: SUCCESS
2024-01-15 14:27:18.667 NTLM_NEGOTIATE | 192.168.1.100:49412 -> 192.168.1.50:445 | SessionID: f9a2b5c7 | Challenge: NULL | Response: NULL | TimeDelta: 0ms | Status: PENDING
2024-01-15 14:27:18.672 NTLM_NEGOTIATE | 192.168.1.50:49413 -> 10.0.5.25:445 | SessionID: f9a2b5c8 | Challenge: NULL | Response: NULL | TimeDelta: 0ms | Status: PENDING
2024-01-15 14:27:18.698 NTLM_CHALLENGE | 10.0.5.25:445 -> 192.168.1.50:49413 | SessionID: f9a2b5c8 | Challenge: 7d3e9f1a2c4b6e8d | Response: NULL | TimeDelta: 26ms | Status: PENDING
2024-01-15 14:27:18.701 NTLM_CHALLENGE | 192.168.1.50:445 -> 192.168.1.100:49412 | SessionID: f9a2b5c7 | Challenge: 7d3e9f1a2c4b6e8d | Response: NULL | TimeDelta: 3ms | Status: PENDING
2024-01-15 14:27:18.834 NTLM_AUTHENTICATE | 192.168.1.100:49412 -> 192.168.1.50:445 | SessionID: f9a2b5c7 | Challenge: 7d3e9f1a2c4b6e8d | Response: 9e2f4a6c8b1d3e5f | TimeDelta: 133ms | Status: PENDING
2024-01-15 14:27:18.839 NTLM_AUTHENTICATE | 192.168.1.50:49413 -> 10.0.5.25:445 | SessionID: f9a2b5c8 | Challenge: 7d3e9f1a2c4b6e8d | Response: 9e2f4a6c8b1d3e5f | TimeDelta: 5ms | Status: SUCCESS
