program,threads,run_number,execution_time_ms
program_a,1,1,1005.3
program_a,1,2,998.7
program_a,1,3,1012.1
program_a,1,4,995.4
program_a,1,5,1008.9
program_a,2,1,505.2
program_a,2,2,498.6
program_a,2,3,512.3
program_a,2,4,495.1
program_a,2,5,508.7
program_a,4,1,252.4
program_a,4,2,248.9
program_a,4,3,255.6
program_a,4,4,246.2
program_a,4,5,251.8
program_a,8,1,132.5
program_a,8,2,128.7
program_a,8,3,135.2
program_a,8,4,127.9
program_a,8,5,133.6
program_b,1,1,805.4
program_b,1,2,798.2
program_b,1,3,812.6
program_b,1,4,795.8
program_b,1,5,808.3
program_b,2,1,423.7
program_b,2,2,418.5
program_b,2,3,428.9
program_b,2,4,415.2
program_b,2,5,425.6
program_b,4,1,222.8
program_b,4,2,218.4
program_b,4,3,226.5
program_b,4,4,215.9
program_b,4,5,223.7
program_b,8,1,283.6
program_b,8,2,278.2
program_b,8,3,288.9
program_b,8,4,275.4
program_b,8,5,285.1
program_c,1,1,1208.5
program_c,1,2,1195.3
program_c,1,3,1215.7
program_c,1,4,1192.6
program_c,1,5,1210.2
program_c,2,1,615.3
program_c,2,2,608.7
program_c,2,3,620.8
program_c,2,4,605.2
program_c,2,5,617.4
program_c,4,1,312.9
program_c,4,2,308.5
program_c,4,3,316.2
program_c,4,4,305.7
program_c,4,5,313.6
program_c,8,1,162.4
program_c,8,2,158.6
program_c,8,3,165.3
program_c,8,4,157.2
program_c,8,5,163.8
