employee_id,satisfaction,remote_days,years_employed,department
1,4,3,5.2,Engineering
2,3,2,1.5,Sales
3,5,5,8.3,Engineering
4,2,0,3.1,Support
5,4,4,12.5,Admin
6,3,2,2.8,Sales
7,5,5,15.7,Engineering
8,2,1,4.2,Support
9,4,3,7.9,Engineering
10,3,2,1.1,Sales
11,1,0,6.3,Support
12,4,4,9.5,Engineering
13,3,3,3.7,Sales
14,5,5,11.2,Engineering
15,2,1,2.4,Admin
16,4,4,14.8,Engineering
17,3,2,5.6,Support
18,2,0,1.8,Sales
19,5,5,18.3,Engineering
20,4,3,8.1,Engineering
21,3,3,4.5,Sales
22,1,0,2.9,Support
23,4,4,10.7,Engineering
24,2,1,3.3,Admin
25,5,5,16.4,Engineering
26,3,2,6.8,Sales
27,4,3,12.1,Engineering
28,2,1,1.7,Support
29,3,2,4.9,Sales
30,5,5,19.6,Engineering
31,4,4,7.3,Engineering
32,2,0,2.5,Support
33,3,3,5.1,Sales
34,1,0,8.7,Admin
35,4,4,13.9,Engineering
36,3,2,3.4,Sales
37,5,5,17.2,Engineering
38,2,1,4.6,Support
39,4,3,9.8,Engineering
40,3,2,1.9,Sales
41,2,0,6.1,Support
42,5,5,14.5,Engineering
43,4,4,11.3,Engineering
44,3,3,2.7,Sales
45,1,0,5.4,Admin
46,4,3,8.9,Engineering
47,2,1,3.8,Support
48,5,5,20.1,Engineering
49,3,2,4.2,Sales
50,4,4,15.6,Engineering
51,2,0,1.6,Support
52,3,3,7.4,Sales
53,5,5,12.8,Engineering
54,4,4,9.2,Engineering
55,1,0,2.3,Admin
56,3,2,5.7,Sales
57,2,1,4.1,Support
58,5,5,18.9,Engineering
59,4,3,10.5,Engineering
60,3,2,3.6,Sales
61,2,0,6.9,Support
62,4,4,14.1,Engineering
63,5,5,21.3,Engineering
64,3,3,2.1,Sales
65,1,0,7.8,Support
66,4,4,16.7,Engineering
67,2,1,1.4,Admin
68,3,2,5.3,Sales
69,5,5,13.4,Engineering
70,4,3,8.6,Engineering
71,2,0,3.9,Support
72,3,3,6.5,Sales
73,4,4,11.9,Engineering
74,5,5,19.8,Engineering
75,1,0,2.6,Admin
76,3,2,4.7,Sales
77,2,1,7.2,Support
78,4,3,15.3,Engineering
79,5,5,22.5,Engineering
80,3,2,1.8,Sales
81,4,4,9.7,Engineering
82,2,0,5.9,Support
83,3,3,3.2,Sales
84,5,5,17.6,Engineering
85,4,4,12.4,Engineering
86,1,0,2.2,Admin
87,2,1,6.6,Support
88,3,2,4.3,Sales
89,5,5,14.9,Engineering
90,4,3,8.1,Engineering
91,3,3,1.7,Sales
92,2,0,7.5,Support
93,4,4,16.2,Engineering
94,5,5,20.7,Engineering
95,3,2,3.5,Sales
96,1,0,5.8,Admin
97,4,4,11.6,Engineering
98,2,1,2.9,Support
99,5,5,18.4,Engineering
100,3,2,6.2,Sales
101,4,3,13.8,Engineering
102,2,0,1.5,Support
103,3,3,4.8,Sales
104,5,5,21.9,Engineering
105,4,4,9.4,Engineering
106,1,0,3.1,Admin
107,2,1,7.7,Support
108,3,2,2.4,Sales
109,5,5,15.1,Engineering
110,4,3,10.9,Engineering
111,3,2,5.6,Sales
112,2,0,4.4,Support
113,4,4,17.3,Engineering
114,5,5,23.2,Engineering
115,3,3,1.9,Sales
116,1,0,6.4,Admin
117,4,4,12.7,Engineering
118,2,1,3.7,Support
119,5,5,19.5,Engineering
120,3,2,2.8,Sales
121,4,3,8.8,Engineering
122,2,0,5.2,Support
123,3,3,7.1,Sales
124,5,5,16.8,Engineering
125,4,4,11.1,Engineering
126,1,0,2.5,Admin
127,2,1,4.9,Support
128,3,2,6.3,Sales
129,5,5,14.6,Engineering
130,4,3,9.9,Engineering
131,3,2,1.6,Sales
132,2,0,8.2,Support
133,4,4,18.1,Engineering
134,5,5,22.4,Engineering
135,3,3,3.3,Sales
136,1,0,5.5,Admin
137,4,4,13.2,Engineering
138,2,1,2.7,Support
139,5,5,20.3,Engineering
140,3,2,4.5,Sales
141,4,3,15.7,Engineering
142,2,0,1.3,Support
143,3,3,6.8,Sales
144,5,5,17.9,Engineering
145,4,4,10.3,Engineering
146,1,0,3.6,Admin
147,2,1,7.4,Support
148,3,2,2.1,Sales
149,5,5,19.2,Engineering
150,4,3,12.6,Engineering
151,3,2,5.1,Sales
152,2,0,4.7,Support
153,4,4,16.5,Engineering
154,5,5,24.1,Engineering
155,3,3,1.8,Sales
156,1,0,8.9,Admin
157,4,4,14.3,Engineering
158,2,1,3.4,Support
159,5,5,21.6,Engineering
160,3,2,2.6,Sales
161,4,3,9.1,Engineering
162,2,0,6.7,Support
163,3,3,5.4,Sales
164,5,5,18.7,Engineering
165,4,4,11.8,Engineering
166,1,0,2.3,Admin
167,2,1,7.9,Support
168,3,2,4.1,Sales
169,5,5,15.9,Engineering
170,4,3,10.6,Engineering
171,3,2,1.4,Sales
172,2,0,5.8,Support
173,4,4,17.5,Engineering
174,5,5,23.8,Engineering
175,3,3,3.9,Sales
176,1,0,6.1,Admin
177,4,4,13.7,Engineering
178,2,1,2.8,Support
179,5,5,20.9,Engineering
180,3,2,4.6,Sales
181,4,3,8.3,Engineering
182,2,0,7.3,Support
183,3,3,5.9,Sales
184,5,5,16.1,Engineering
185,4,4,12.2,Engineering
186,1,0,3.2,Admin
187,2,1,8.6,Support
188,3,2,2.2,Sales
189,5,5,19.7,Engineering
190,4,3,11.4,Engineering
191,3,2,5.7,Sales
192,2,0,4.3,Support
193,4,4,18.3,Engineering
194,5,5,22.1,Engineering
195,3,3,1.7,Sales
196,1,0,7.1,Admin
197,4,4,14.8,Engineering
198,2,1,3.5,Support
199,5,5,21.2,Engineering
200,3,2,2.9,Sales
201,4,3,9.6,Engineering
202,2,0,6.4,Support
203,3,3,4.8,Sales
204,5,5,17.4,Engineering
205,4,4,10.8,Engineering
206,1,0,2.7,Admin
207,2,1,5.6,Support
208,3,2,7.2,Sales
209,5,5,15.4,Engineering
210,4,3,12.9,Engineering
211,3,2,1.5,Sales
212,2,0,8.1,Support
213,4,4,19.1,Engineering
214,5,5,23.5,Engineering
215,3,3,3.7,Sales
216,1,0,5.3,Admin
217,4,4,13.5,Engineering
218,2,1,2.4,Support
219,5,5,20.6,Engineering
220,3,2,4.9,Sales
221,4,3,8.7,Engineering
222,2,0,6.9,Support
223,3,3,5.2,Sales
224,5,5,18.2,Engineering
225,4,4,11.3,Engineering
226,1,0,3.4,Admin
227,2,1,7.6,Support
228,3,2,2.5,Sales
229,5,5,16.9,Engineering
230,4,3,10.1,Engineering
231,3,2,5.8,Sales
232,2,0,4.6,Support
233,4,4,17.8,Engineering
234,5,5,24.3,Engineering
235,3,3,1.9,Sales
236,1,0,8.4,Admin
237,4,4,14.2,Engineering
238,2,1,3.1,Support
239,5,5,21.7,Engineering
240,3,2,2.7,Sales
241,4,3,9.3,Engineering
242,2,0,7.8,Support
243,3,3,6.1,Sales
244,5,5,19.4,Engineering
245,4,4,12.1,Engineering
246,1,0,2.6,Admin
247,2,1,5.4,Support
248,3,2,4.2,Sales
249,5,5,15.8,Engineering
250,4,3,11.7,Engineering
251,3,2,1.6,Sales
252,2,0,6.2,Support
253,4,4,18.6,Engineering
254,5,5,22.9,Engineering
255,3,3,3.8,Sales
256,1,0,7.5,Admin
257,4,4,13.9,Engineering
258,2,1,2.9,Support
259,5,5,20.2,Engineering
260,3,2,5.3,Sales
261,4,3,8.9,Engineering
262,2,0,4.7,Support
263,3,3,6.6,Sales
264,5,5,17.1,Engineering
265,4,4,10.4,Engineering
266,1,0,3.3,Admin
267,2,1,8.3,Support
268,3,2,2.3,Sales
269,5,5,19.8,Engineering
270,4,3,12.4,Engineering
271,3,2,5.9,Sales
272,2,0,7.1,Support
273,4,4,16.3,Engineering
274,5,5,23.6,Engineering
275,3,3,1.8,Sales
276,1,0,6.8,Admin
277,4,4,14.5,Engineering
278,2,1,3.6,Support
279,5,5,21.4,Engineering
280,3,2,2.8,Sales
281,4,3,9.7,Engineering
282,2,0,5.7,Support
283,3,3,4.4,Sales
284,5,5,18.9,Engineering
285,4,4,11.2,Engineering
286,1,0,2.4,Admin
287,2,1,7.3,Support
288,3,2,6.4,Sales
289,5,5,15.6,Engineering
290,4,3,10.9,Engineering
291,3,2,1.7,Sales
292,2,0,8.7,Support
293,4,4,19.3,Engineering
294,5,5,22.7,Engineering
295,3,3,3.5,Sales
296,1,0,5.9,Admin
297,4,4,13.1,Engineering
298,2,1,2.6,Support
299,5,5,20.8,Engineering
300,3,2,4.8,Sales
301,4,3,8.4,Engineering
302,2,0,6.3,Support
303,3,3,5.6,Sales
304,5,5,17.6,Engineering
305,4,4,11.9,Engineering
306,1,0,3.7,Admin
307,2,1,7.9,Support
308,3,2,2.2,Sales
309,5,5,19.1,Engineering
310,4,3,12.8,Engineering
311,3,2,5.4,Sales
312,2,0,4.9,Support
313,4,4,16.7,Engineering
314,5,5,24.2,Engineering
315,3,3,1.9,Sales
316,1,0,8.2,Admin
317,4,4,14.7,Engineering
318,2,1,3.3,Support
319,5,5,21.1,Engineering
320,3,2,2.7,Sales
321,4,3,9.2,Engineering
322,2,0,7.6,Support
323,3,3,6.2,Sales
324,5,5,18.4,Engineering
325,4,4,10.7,Engineering
326,1,0,2.8,Admin
327,2,1,5.8,Support
328,3,2,4.3,Sales
329,5,5,16.4,Engineering
330,4,3,11.5,Engineering
331,3,2,1.5,Sales
332,2,0,6.7,Support
333,4,4,17.9,Engineering
334,5,5,23.1,Engineering
335,3,3,3.9,Sales
336,1,0,7.4,Admin
337,4,4,13.6,Engineering
338,2,1,2.9,Support
339,5,5,20.4,Engineering
340,3,2,5.1,Sales
341,4,3,8.8,Engineering
342,2,0,4.6,Support
343,3,3,6.9,Sales
344,5,5,18.8,Engineering
