satisfaction,age,usage_hours,price_paid,previous_customer
3,45,12.5,150,1
2,32,,180,0
4,55,20.3,220,1
1,,5.2,95,0
3,38,15.0,,1
4,62,25.1,280,1
1,25,3.2,75,0
3,41,68.5,160,0
2,35,7.8,145,0
3,48,14.2,165,1
4,58,22.5,245,1
1,22,4.1,85,0
2,31,9.3,135,0
3,44,16.8,175,1
4,65,24.7,265,1
1,28,3.8,92,0
2,36,8.9,128,0
3,42,13.6,158,1
1,24,2.5,68,0
3,39,15.5,170,1
4,61,23.8,255,1
2,33,10.2,142,0
3,47,17.3,182,1
1,26,4.5,88,0
2,,6.7,115,0
3,43,14.9,168,1
4,59,21.6,238,1
1,21,3.1,78,0
3,40,12.8,155,1
2,34,9.6,138,0
4,56,20.9,225,1
3,46,16.2,177,1
1,27,4.8,94,0
3,49,18.1,188,1
4,63,26.3,270,1
1,23,2.9,72,0
2,37,8.2,132,0
3,41,13.4,162,1
4,57,22.1,242,1
1,,5.5,90,0
3,44,15.8,172,1
2,31,10.5,148,0
3,50,19.2,195,1
4,64,25.5,262,1
1,25,3.5,82,0
2,35,7.1,118,0
3,42,14.5,165,1
4,60,23.2,250,1
1,24,4.2,86,0
3,45,16.5,180,1
2,32,9.8,140,0
3,48,17.8,185,1
1,26,3.9,,0
2,34,8.6,130,0
4,58,21.3,235,1
3,43,15.2,168,1
1,22,2.8,70,0
2,36,10.8,145,0
3,47,18.5,190,1
4,62,24.9,258,1
1,28,4.6,93,0
3,41,13.9,160,1
4,55,20.5,228,1
3,46,16.9,178,1
1,27,5.1,89,0
2,35,9.2,136,0
3,49,19.5,198,1
4,61,26.8,268,1
1,23,3.3,76,0
3,44,14.7,170,1
2,30,8.3,127,0
4,59,22.8,248,1
3,42,15.6,174,1
1,25,4.3,84,0
2,37,10.1,143,0
3,50,18.9,192,1
1,21,2.6,65,0
4,63,25.2,260,1
3,45,16.1,176,1
2,31,7.6,120,0
3,48,17.5,,1
1,26,4.9,91,0
2,34,9.5,138,0
4,57,21.9,240,1
3,43,14.3,166,1
1,24,3.6,80,0
3,40,13.2,157,1
2,32,8.8,133,0
4,56,20.8,230,1
3,47,17.9,184,1
1,28,5.3,96,0
2,36,10.4,147,0
3,49,19.8,200,1
4,64,26.5,265,1
1,22,2.7,74,0
3,41,15.3,169,1
2,33,7.4,124,0
4,60,23.5,252,1
3,46,16.7,179,1
1,27,4.7,87,0
2,35,9.9,141,0
3,51,20.1,205,1
1,25,3.4,79,0
4,58,22.4,245,1
3,44,14.8,171,1
2,30,8.1,126,0
3,42,13.7,161,1
1,23,2.4,67,0
4,62,24.6,256,1
2,34,10.6,149,0
3,48,18.3,187,1
1,26,,88,0
3,45,15.9,173,1
2,31,7.7,121,0
4,59,21.7,237,1
3,43,14.1,164,1
1,24,4.1,83,0
2,37,9.4,137,0
3,50,19.3,196,1
4,61,25.8,263,1
1,22,3.0,73,0
3,40,13.5,159,1
2,32,8.4,129,0
4,55,20.6,227,1
3,47,17.1,181,1
1,28,5.4,97,0
2,36,10.3,146,0
3,49,18.7,191,1
1,21,2.5,66,0
4,63,26.1,267,1
3,44,15.4,170,1
2,33,7.2,119,0
3,46,16.4,177,1
1,25,4.4,85,0
4,57,22.2,243,1
2,34,9.7,139,0
3,48,18.6,189,1
1,27,5.6,92,0
3,42,14.6,167,1
2,35,8.0,125,0
4,60,23.9,254,1
3,45,16.8,180,1
1,24,3.7,81,0
2,31,10.7,150,0
3,50,19.6,199,1
4,64,25.4,261,1
1,26,4.0,77,0
3,41,13.8,162,1
2,32,7.3,123,0
4,58,21.4,233,1
3,47,17.6,183,1
1,23,2.9,71,0
2,36,9.1,134,0
3,49,18.2,188,1
1,28,5.0,90,0
4,62,24.3,257,1
3,43,15.1,168,1
2,30,8.7,131,0
3,44,14.4,166,1
4,56,20.2,226,1
1,25,3.8,82,0
2,37,10.9,151,0
3,51,19.9,203,1
4,65,27.1,275,1
1,22,2.3,64,0
3,40,13.1,156,1
2,33,7.8,127,0
4,59,22.6,246,1
3,46,16.3,176,1
1,27,4.5,86,0
2,35,9.3,135,0
3,48,17.4,182,1
4,61,24.1,251,1
1,24,3.2,75,0
3,42,14.9,169,1
2,31,8.5,130,0
4,57,21.1,231,1
3,45,15.7,172,1
1,26,4.8,89,0
2,34,10.2,144,0
3,50,18.8,193,1
4,63,25.7,264,1
1,23,-2.5,69,0
3,41,13.3,158,1
2,32,7.5,122,0
4,58,72.3,239,1
3,47,16.6,178,1
