sensor_id,temperature_c,humidity_pct,pressure_hpa,timestamp
SENSOR-001,22.3,45.2,1013.5,2024-01-01T00:00:00Z
SENSOR-001,21.8,46.1,1013.2,2024-01-01T01:00:00Z
SENSOR-001,21.5,47.3,1012.8,2024-01-01T02:00:00Z
SENSOR-001,21.2,48.1,1012.5,2024-01-01T03:00:00Z
SENSOR-001,21.0,48.9,1012.3,2024-01-01T04:00:00Z
SENSOR-001,20.8,49.5,1012.1,2024-01-01T05:00:00Z
SENSOR-001,21.1,48.7,1012.4,2024-01-01T06:00:00Z
SENSOR-001,21.9,47.2,1013.0,2024-01-01T07:00:00Z
SENSOR-001,22.8,45.5,1013.8,2024-01-01T08:00:00Z
SENSOR-001,23.6,43.8,1014.2,2024-01-01T09:00:00Z
SENSOR-001,24.2,42.1,1014.5,2024-01-01T10:00:00Z
SENSOR-001,24.8,40.5,1014.7,2024-01-01T11:00:00Z
SENSOR-001,25.1,39.8,1014.8,2024-01-01T12:00:00Z
SENSOR-001,25.3,39.2,1014.9,2024-01-01T13:00:00Z
SENSOR-001,25.0,39.9,1014.7,2024-01-01T14:00:00Z
SENSOR-001,24.5,41.2,1014.4,2024-01-01T15:00:00Z
SENSOR-001,23.9,42.8,1014.0,2024-01-01T16:00:00Z
SENSOR-001,23.2,44.3,1013.6,2024-01-01T17:00:00Z
SENSOR-001,22.7,45.6,1013.3,2024-01-01T18:00:00Z
SENSOR-001,22.3,46.5,1013.1,2024-01-01T19:00:00Z
SENSOR-001,22.0,47.1,1012.9,2024-01-01T20:00:00Z
SENSOR-001,21.8,47.6,1012.7,2024-01-01T21:00:00Z
SENSOR-001,21.6,48.0,1012.6,2024-01-01T22:00:00Z
SENSOR-001,21.4,48.3,1012.5,2024-01-01T23:00:00Z
SENSOR-002,23.1,44.5,1012.8,2024-01-01T00:00:00Z
SENSOR-002,22.7,45.3,1012.5,2024-01-01T01:00:00Z
SENSOR-002,22.4,46.0,1012.3,2024-01-01T02:00:00Z
SENSOR-002,22.1,46.8,1012.1,2024-01-01T03:00:00Z
SENSOR-002,21.9,47.4,1011.9,2024-01-01T04:00:00Z
SENSOR-002,21.7,48.0,1011.8,2024-01-01T05:00:00Z
SENSOR-002,22.0,47.2,1012.0,2024-01-01T06:00:00Z
SENSOR-002,22.7,45.9,1012.5,2024-01-01T07:00:00Z
SENSOR-002,23.5,44.2,1013.1,2024-01-01T08:00:00Z
SENSOR-002,24.3,42.5,1013.6,2024-01-01T09:00:00Z
SENSOR-002,24.9,41.0,1014.0,2024-01-01T10:00:00Z
SENSOR-002,25.4,39.7,1014.3,2024-01-01T11:00:00Z
SENSOR-002,25.7,38.9,1014.5,2024-01-01T12:00:00Z
SENSOR-002,25.8,38.5,1014.6,2024-01-01T13:00:00Z
SENSOR-002,25.5,39.1,1014.4,2024-01-01T14:00:00Z
SENSOR-002,25.0,40.3,1014.1,2024-01-01T15:00:00Z
SENSOR-002,24.4,41.7,1013.7,2024-01-01T16:00:00Z
SENSOR-002,23.8,43.1,1013.3,2024-01-01T17:00:00Z
SENSOR-002,23.3,44.2,1013.0,2024-01-01T18:00:00Z
SENSOR-002,22.9,45.0,1012.8,2024-01-01T19:00:00Z
SENSOR-002,22.6,45.6,1012.6,2024-01-01T20:00:00Z
SENSOR-002,22.4,46.1,1012.5,2024-01-01T21:00:00Z
SENSOR-002,22.2,46.5,1012.4,2024-01-01T22:00:00Z
SENSOR-002,22.0,46.9,1012.3,2024-01-01T23:00:00Z
SENSOR-003,21.9,46.8,1013.1,2024-01-01T00:00:00Z
SENSOR-003,21.6,47.5,1012.9,2024-01-01T01:00:00Z
SENSOR-003,21.3,48.2,1012.7,2024-01-01T02:00:00Z
SENSOR-003,21.1,48.8,1012.5,2024-01-01T03:00:00Z
SENSOR-003,20.9,49.3,1012.4,2024-01-01T04:00:00Z
SENSOR-003,20.7,49.8,1012.2,2024-01-01T05:00:00Z
SENSOR-003,21.0,49.1,1012.4,2024-01-01T06:00:00Z
SENSOR-003,21.7,47.8,1012.9,2024-01-01T07:00:00Z
SENSOR-003,22.6,46.0,1013.5,2024-01-01T08:00:00Z
SENSOR-003,23.4,44.3,1014.0,2024-01-01T09:00:00Z
SENSOR-003,24.1,42.7,1014.4,2024-01-01T10:00:00Z
SENSOR-003,24.7,41.2,1014.7,2024-01-01T11:00:00Z
SENSOR-003,25.1,40.1,1014.9,2024-01-01T12:00:00Z
SENSOR-003,25.3,39.5,1015.0,2024-01-01T13:00:00Z
SENSOR-003,25.1,40.0,1014.8,2024-01-01T14:00:00Z
SENSOR-003,24.6,41.4,1014.5,2024-01-01T15:00:00Z
SENSOR-003,24.0,43.0,1014.1,2024-01-01T16:00:00Z
SENSOR-003,23.4,44.5,1013.7,2024-01-01T17:00:00Z
SENSOR-003,22.9,45.7,1013.4,2024-01-01T18:00:00Z
SENSOR-003,22.5,46.6,1013.2,2024-01-01T19:00:00Z
SENSOR-003,22.2,47.3,1013.0,2024-01-01T20:00:00Z
SENSOR-003,22.0,47.8,1012.8,2024-01-01T21:00:00Z
SENSOR-003,21.8,48.2,1012.7,2024-01-01T22:00:00Z
SENSOR-003,21.6,48.6,1012.6,2024-01-01T23:00:00Z
SENSOR-004,22.5,45.0,1013.3,2024-01-01T00:00:00Z
SENSOR-004,22.2,45.8,1013.1,2024-01-01T01:00:00Z
SENSOR-004,21.9,46.5,1012.9,2024-01-01T02:00:00Z
SENSOR-004,21.6,47.2,1012.7,2024-01-01T03:00:00Z
SENSOR-004,21.4,47.8,1012.6,2024-01-01T04:00:00Z
SENSOR-004,21.2,48.3,1012.4,2024-01-01T05:00:00Z
SENSOR-004,21.5,47.6,1012.6,2024-01-01T06:00:00Z
SENSOR-004,22.2,46.3,1013.0,2024-01-01T07:00:00Z
SENSOR-004,23.0,44.7,1013.6,2024-01-01T08:00:00Z
SENSOR-004,23.8,43.1,1014.1,2024-01-01T09:00:00Z
SENSOR-004,24.5,41.6,1014.5,2024-01-01T10:00:00Z
SENSOR-004,25.0,40.3,1014.8,2024-01-01T11:00:00Z
SENSOR-004,25.4,39.3,1015.0,2024-01-01T12:00:00Z
SENSOR-004,25.5,38.9,1015.1,2024-01-01T13:00:00Z
SENSOR-004,25.3,39.5,1014.9,2024-01-01T14:00:00Z
SENSOR-004,24.8,40.8,1014.6,2024-01-01T15:00:00Z
SENSOR-004,24.2,42.3,1014.2,2024-01-01T16:00:00Z
SENSOR-004,23.6,43.8,1013.8,2024-01-01T17:00:00Z
SENSOR-004,23.1,44.9,1013.5,2024-01-01T18:00:00Z
SENSOR-004,22.7,45.7,1013.3,2024-01-01T19:00:00Z
SENSOR-004,22.4,46.4,1013.1,2024-01-01T20:00:00Z
SENSOR-004,22.2,46.9,1012.9,2024-01-01T21:00:00Z
SENSOR-004,22.0,47.3,1012.8,2024-01-01T22:00:00Z
SENSOR-004,21.8,47.7,1012.7,2024-01-01T23:00:00Z
SENSOR-005,23.0,44.2,1013.0,2024-01-01T00:00:00Z
SENSOR-005,22.6,45.0,1012.8,2024-01-01T01:00:00Z
SENSOR-005,22.3,45.7,1012.6,2024-01-01T02:00:00Z
SENSOR-005,22.0,46.4,1012.4,2024-01-01T03:00:00Z
SENSOR-005,21.8,47.0,1012.3,2024-01-01T04:00:00Z
SENSOR-005,21.6,47.5,1012.1,2024-01-01T05:00:00Z
SENSOR-005,21.9,46.8,1012.3,2024-01-01T06:00:00Z
SENSOR-005,22.6,45.5,1012.8,2024-01-01T07:00:00Z
SENSOR-005,23.4,43.9,1013.4,2024-01-01T08:00:00Z
SENSOR-005,24.2,42.3,1013.9,2024-01-01T09:00:00Z
SENSOR-005,24.8,40.8,1014.3,2024-01-01T10:00:00Z
SENSOR-005,25.3,39.6,1014.6,2024-01-01T11:00:00Z
SENSOR-005,25.6,38.7,1014.8,2024-01-01T12:00:00Z
SENSOR-005,25.7,38.3,1014.9,2024-01-01T13:00:00Z
SENSOR-005,25.4,38.9,1014.7,2024-01-01T14:00:00Z
SENSOR-005,24.9,40.1,1014.4,2024-01-01T15:00:00Z
SENSOR-005,24.3,41.5,1014.0,2024-01-01T16:00:00Z
SENSOR-005,23.7,43.0,1013.6,2024-01-01T17:00:00Z
SENSOR-005,23.2,44.1,1013.3,2024-01-01T18:00:00Z
SENSOR-005,22.8,44.9,1013.1,2024-01-01T19:00:00Z
SENSOR-005,22.5,45.6,1012.9,2024-01-01T20:00:00Z
SENSOR-005,22.3,46.1,1012.7,2024-01-01T21:00:00Z
SENSOR-005,22.1,46.5,1012.6,2024-01-01T22:00:00Z
SENSOR-005,21.9,46.9,1012.5,2024-01-01T23:00:00Z
SENSOR-006,22.1,46.3,1013.2,2024-01-01T00:00:00Z
SENSOR-006,21.8,47.0,1013.0,2024-01-01T01:00:00Z
SENSOR-006,21.5,47.7,1012.8,2024-01-01T02:00:00Z
SENSOR-006,21.3,48.3,1012.6,2024-01-01T03:00:00Z
SENSOR-006,21.1,48.9,1012.5,2024-01-01T04:00:00Z
SENSOR-006,20.9,49.4,1012.3,2024-01-01T05:00:00Z
SENSOR-006,21.2,48.7,1012.5,2024-01-01T06:00:00Z
SENSOR-006,21.9,47.4,1013.0,2024-01-01T07:00:00Z
SENSOR-006,22.7,45.8,1013.6,2024-01-01T08:00:00Z
SENSOR-006,23.5,44.2,1014.1,2024-01-01T09:00:00Z
SENSOR-006,24.2,42.6,1014.5,2024-01-01T10:00:00Z
SENSOR-006,24.8,41.1,1014.8,2024-01-01T11:00:00Z
SENSOR-006,25.2,40.0,1015.0,2024-01-01T12:00:00Z
SENSOR-006,25.4,39.4,1015.1,2024-01-01T13:00:00Z
SENSOR-006,25.2,39.9,1014.9,2024-01-01T14:00:00Z
SENSOR-006,24.7,41.2,1014.6,2024-01-01T15:00:00Z
SENSOR-006,24.1,42.7,1014.2,2024-01-01T16:00:00Z
SENSOR-006,23.5,44.2,1013.8,2024-01-01T17:00:00Z
SENSOR-006,23.0,45.4,1013.5,2024-01-01T18:00:00Z
SENSOR-006,22.6,46.2,1013.3,2024-01-01T19:00:00Z
SENSOR-006,22.3,46.9,1013.1,2024-01-01T20:00:00Z
SENSOR-006,22.1,47.4,1012.9,2024-01-01T21:00:00Z
SENSOR-006,21.9,47.8,1012.8,2024-01-01T22:00:00Z
SENSOR-006,21.7,48.2,1012.7,2024-01-01T23:00:00Z
SENSOR-007,999.9,150.0,0.0,2024-01-01T00:00:00Z
SENSOR-007,888.5,145.3,5.2,2024-01-01T01:00:00Z
SENSOR-007,950.2,155.7,2.1,2024-01-01T02:00:00Z
SENSOR-007,875.3,148.9,3.8,2024-01-01T03:00:00Z
SENSOR-007,920.8,152.4,1.5,2024-01-01T04:00:00Z
SENSOR-007,995.1,149.2,0.8,2024-01-01T05:00:00Z
SENSOR-007,910.4,151.6,4.3,2024-01-01T06:00:00Z
SENSOR-007,865.7,147.1,6.2,2024-01-01T07:00:00Z
SENSOR-007,940.3,153.8,2.9,2024-01-01T08:00:00Z
SENSOR-007,980.6,150.5,1.1,2024-01-01T09:00:00Z
SENSOR-007,890.2,146.3,5.7,2024-01-01T10:00:00Z
SENSOR-007,925.8,154.2,3.4,2024-01-01T11:00:00Z
SENSOR-007,970.1,148.7,0.5,2024-01-01T12:00:00Z
SENSOR-007,855.4,151.9,7.1,2024-01-01T13:00:00Z
SENSOR-007,905.9,149.8,4.8,2024-01-01T14:00:00Z
SENSOR-007,960.3,152.6,2.3,2024-01-01T15:00:00Z
SENSOR-007,880.7,147.4,6.5,2024-01-01T16:00:00Z
SENSOR-007,935.2,153.1,3.6,2024-01-01T17:00:00Z
SENSOR-007,985.8,150.9,1.8,2024-01-01T18:00:00Z
SENSOR-007,870.5,146.8,5.9,2024-01-01T19:00:00Z
SENSOR-007,915.3,154.5,4.1,2024-01-01T20:00:00Z
SENSOR-007,955.6,148.2,2.7,2024-01-01T21:00:00Z
SENSOR-007,895.4,151.3,6.8,2024-01-01T22:00:00Z
SENSOR-007,945.1,149.6,3.2,2024-01-01T23:00:00Z
SENSOR-008,22.8,44.8,1013.4,2024-01-01T00:00:00Z
SENSOR-008,22.4,45.6,1013.2,2024-01-01T01:00:00Z
SENSOR-008,22.1,46.3,1013.0,2024-01-01T02:00:00Z
SENSOR-008,21.8,47.0,1012.8,2024-01-01T03:00:00Z
SENSOR-008,21.6,47.6,1012.7,2024-01-01T04:00:00Z
SENSOR-008,21.4,48.1,1012.5,2024-01-01T05:00:00Z
SENSOR-008,21.7,47.4,1012.7,2024-01-01T06:00:00Z
SENSOR-008,22.4,46.1,1013.2,2024-01-01T07:00:00Z
SENSOR-008,23.2,44.5,1013.8,2024-01-01T08:00:00Z
SENSOR-008,24.0,42.9,1014.3,2024-01-01T09:00:00Z
SENSOR-008,24.6,41.4,1014.7,2024-01-01T10:00:00Z
SENSOR-008,25.1,40.2,1015.0,2024-01-01T11:00:00Z
SENSOR-008,25.5,39.2,1015.2,2024-01-01T12:00:00Z
SENSOR-008,25.6,38.8,1015.3,2024-01-01T13:00:00Z
SENSOR-008,25.4,39.4,1015.1,2024-01-01T14:00:00Z
SENSOR-008,24.9,40.6,1014.8,2024-01-01T15:00:00Z
SENSOR-008,24.3,42.1,1014.4,2024-01-01T16:00:00Z
SENSOR-008,23.7,43.6,1014.0,2024-01-01T17:00:00Z
SENSOR-008,23.2,44.7,1013.7,2024-01-01T18:00:00Z
SENSOR-008,22.8,45.5,1013.5,2024-01-01T19:00:00Z
SENSOR-008,22.5,46.2,1013.3,2024-01-01T20:00:00Z
SENSOR-008,22.3,46.7,1013.1,2024-01-01T21:00:00Z
SENSOR-008,22.1,47.1,1013.0,2024-01-01T22:00:00Z
SENSOR-008,21.9,47.5,1012.9,2024-01-01T23:00:00Z
SENSOR-009,21.7,47.1,1013.0,2024-01-01T00:00:00Z
SENSOR-009,21.4,47.8,1012.8,2024-01-01T01:00:00Z
SENSOR-009,21.1,48.5,1012.6,2024-01-01T02:00:00Z
SENSOR-009,20.9,49.1,1012.4,2024-01-01T03:00:00Z
SENSOR-009,20.7,49.6,1012.3,2024-01-01T04:00:00Z
SENSOR-009,20.5,50.1,1012.1,2024-01-01T05:00:00Z
SENSOR-009,20.8,49.4,1012.3,2024-01-01T06:00:00Z
SENSOR-009,21.5,48.1,1012.8,2024-01-01T07:00:00Z
SENSOR-009,22.3,46.5,1013.4,2024-01-01T08:00:00Z
SENSOR-009,23.1,44.9,1013.9,2024-01-01T09:00:00Z
SENSOR-009,23.8,43.3,1014.3,2024-01-01T10:00:00Z
SENSOR-009,24.4,41.8,1014.6,2024-01-01T11:00:00Z
SENSOR-009,24.8,40.7,1014.8,2024-01-01T12:00:00Z
SENSOR-009,25.0,40.1,1014.9,2024-01-01T13:00:00Z
SENSOR-009,24.8,40.6,1014.7,2024-01-01T14:00:00Z
SENSOR-009,24.3,41.9,1014.4,2024-01-01T15:00:00Z
SENSOR-009,23.7,43.4,1014.0,2024-01-01T16:00:00Z
SENSOR-009,23.1,44.9,1013.6,2024-01-01T17:00:00Z
SENSOR-009,22.6,46.1,1013.3,2024-01-01T18:00:00Z
