timestamp,source_ip,target_ip,username,auth_type,session_id
2024-01-15T06:15:23Z,10.0.1.10,10.0.1.50,jsmith,password,sess_a1b2c3d4
2024-01-15T06:22:41Z,10.0.1.12,10.0.1.51,mdavis,password,sess_e5f6g7h8
2024-01-15T06:35:17Z,10.0.1.15,10.0.1.52,rbrown,password,sess_i9j0k1l2
2024-01-15T06:48:55Z,10.0.1.18,10.0.1.53,agarcia,password,sess_m3n4o5p6
2024-01-15T07:02:33Z,10.0.1.25,10.0.1.54,kwilson,password,sess_q7r8s9t0
2024-01-15T07:15:44Z,10.0.1.20,10.0.1.55,tmartinez,password,sess_u1v2w3x4
2024-01-15T07:28:19Z,10.0.1.22,10.0.1.56,panderson,password,sess_y5z6a7b8
2024-01-15T07:41:52Z,10.0.1.10,10.0.1.57,jsmith,password,sess_c9d0e1f2
2024-01-15T07:55:08Z,10.0.1.28,10.0.1.58,lthomas,password,sess_g3h4i5j6
2024-01-15T08:08:36Z,10.0.1.30,10.0.1.59,hjackson,password,sess_k7l8m9n0
2024-01-15T08:21:14Z,10.0.1.12,10.0.1.60,mdavis,password,sess_o1p2q3r4
2024-01-15T08:34:47Z,10.0.1.33,10.0.1.61,dwhite,password,sess_s5t6u7v8
2024-01-15T08:47:29Z,10.0.1.15,10.0.1.62,rbrown,password,sess_w9x0y1z2
2024-01-15T09:00:55Z,10.0.1.35,10.0.1.63,mharris,password,sess_a3b4c5d6
2024-01-15T09:13:42Z,10.0.1.18,10.0.1.64,agarcia,password,sess_e7f8g9h0
2024-01-15T09:26:18Z,10.0.1.25,10.0.1.65,kwilson,password,sess_i1j2k3l4
2024-01-15T09:39:51Z,10.0.1.20,10.0.1.66,tmartinez,password,sess_m5n6o7p8
2024-01-15T09:52:27Z,10.0.1.38,10.0.1.67,cclark,password,sess_q9r0s1t2
2024-01-15T10:05:44Z,10.0.1.10,10.0.1.68,jsmith,password,sess_u3v4w5x6
2024-01-15T10:18:33Z,10.0.1.22,10.0.1.69,panderson,password,sess_y7z8a9b0
2024-01-15T10:31:56Z,10.0.1.28,10.0.1.70,lthomas,password,sess_c1d2e3f4
2024-01-15T10:44:22Z,10.0.1.30,10.0.1.71,hjackson,password,sess_g5h6i7j8
2024-01-15T10:57:48Z,10.0.1.12,10.0.1.72,mdavis,password,sess_k9l0m1n2
2024-01-15T11:10:19Z,10.0.1.33,10.0.1.73,dwhite,password,sess_o3p4q5r6
2024-01-15T11:23:45Z,10.0.1.15,10.0.1.74,rbrown,password,sess_s7t8u9v0
2024-01-15T11:36:28Z,10.0.1.35,10.0.1.75,mharris,password,sess_w1x2y3z4
2024-01-15T11:49:54Z,10.0.1.18,10.0.1.76,agarcia,password,sess_a5b6c7d8
2024-01-15T12:02:37Z,10.0.1.20,10.0.1.77,tmartinez,password,sess_e9f0g1h2
2024-01-15T12:15:41Z,10.0.1.38,10.0.1.78,cclark,password,sess_i3j4k5l6
2024-01-15T12:28:19Z,10.0.1.10,10.0.1.79,jsmith,password,sess_m7n8o9p0
2024-01-15T12:41:52Z,10.0.1.22,10.0.1.80,panderson,password,sess_q1r2s3t4
2024-01-15T12:54:36Z,10.0.1.28,10.0.1.81,lthomas,password,sess_u5v6w7x8
2024-01-15T13:07:44Z,10.0.1.30,10.0.1.82,hjackson,password,sess_y9z0a1b2
