transaction_id	timestamp	amount	currency	customer_id
TXN-C-001	2024-01-15 09:05:12	85.50	USD	CUST-2001
TXN-C-002	2024-01-15 09:18:33	120.00	EUR	CUST-2002
TXN-C-003	2024-01-15 09:32:45	45.75	USD	CUST-2003
TXN-C-004	2024-01-15 09:47:21	210.00	JPY	CUST-2004
TXN-C-005	2024-01-15 10:05:08	95.25	EUR	CUST-2005
TXN-C-006	2024-01-15 10:22:14	150.00	USD	CUST-2006
TXN-C-007	2024-01-15 10:38:52	67.80	USD	CUST-2007
TXN-C-008	2024-01-15 10:55:30	175.50	EUR	CUST-2008
TXN-C-009	2024-01-15 11:12:44	88.90	JPY	CUST-2009
TXN-C-010	2024-01-15 11:28:19	200.00	USD	CUST-2010
TXN-C-011	2024-01-15 11:45:37	55.60	EUR	CUST-2011
TXN-C-012	2024-01-15 12:03:25	135.75	USD	CUST-2012
TXN-C-013	2024-01-15 12:19:48	99.99	JPY	CUST-2013
TXN-C-014	2024-01-15 12:37:11	245.00	USD	CUST-2014
TXN-C-015	2024-01-15 12:54:06	72.30	EUR	CUST-2015
TXN-C-016	2024-01-15 13:11:22	160.00	USD	CUST-2016
TXN-C-017	2024-01-15 13:28:55	125.45	EUR	CUST-2017
TXN-C-018	2024-01-15 13:44:33	290.00	JPY	CUST-2018
TXN-C-019	2024-01-15 14:02:17	108.80	USD	CUST-2019
TXN-C-020	2024-01-15 14:19:42	185.25	EUR	CUST-2020
TXN-C-021	2024-01-15 14:36:08	78.50	USD	CUST-2021
TXN-C-022	2024-01-15 14:53:29	220.00	JPY	CUST-2022
TXN-C-023	2024-01-15 15:10:51	142.75	USD	CUST-2023
TXN-C-024	2024-01-15 15:27:14	95.00	EUR	CUST-2024
TXN-C-025	2024-01-15 15:44:38	255.60	USD	CUST-2025
TXN-C-026	2024-01-15 16:01:03	112.40	JPY	CUST-2026
TXN-C-027	2024-01-15 16:18:27	167.85	EUR	CUST-2027
TXN-C-028	2024-01-15 16:35:49	203.20	USD	CUST-2028
TXN-C-029	2024-01-15 16:52:16	88.00	EUR	CUST-2029
TXN-C-030	2024-01-15 17:09:44	275.50	JPY	CUST-2030
TXN-C-031	2024-01-15 17:26:11	130.25	USD	CUST-2031
TXN-C-032	2024-01-15 17:45:00	58.90	EUR	CUST-2032
