fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.4,0.70,0.00,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5
7.8,0.88,0.00,2.6,0.098,25,67,0.9968,3.20,0.68,9.8,5
7.8,0.76,0.04,2.3,0.092,15,54,0.9970,3.26,0.65,9.8,5
11.2,0.28,0.56,1.9,0.075,17,60,0.9980,3.16,0.58,9.8,6
7.4,0.70,0.00,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5
7.4,0.66,0.00,1.8,0.075,13,40,0.9978,3.51,0.56,9.4,5
7.9,0.60,0.06,1.6,0.069,15,59,0.9964,3.30,0.46,9.4,5
7.3,0.65,0.00,1.2,0.065,15,21,0.9946,3.39,0.47,10.0,7
7.8,0.58,0.02,2.0,0.073,9,18,0.9968,3.36,0.57,9.5,7
8.9,0.62,0.18,3.8,0.176,52,145,0.9986,3.16,0.88,9.2,5
7.6,0.39,0.31,2.3,0.082,23,71,0.9982,3.52,0.65,9.7,5
8.5,0.28,0.56,1.8,0.092,35,103,0.9969,3.30,0.75,10.5,7
8.1,0.56,0.28,1.7,0.368,16,56,0.9968,3.11,1.28,9.3,5
7.4,0.59,0.08,4.4,0.086,6,29,0.9974,3.38,0.50,9.0,4
7.9,0.32,0.51,1.8,0.341,17,56,0.9969,3.04,1.08,9.2,6
8.9,0.22,0.48,1.8,0.077,29,60,0.9971,3.39,0.53,9.4,6
7.6,0.39,0.31,2.3,0.082,23,71,0.9982,3.52,0.65,9.7,5
7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5
8.5,0.49,0.24,2.1,0.103,9,30,0.9956,3.17,0.93,9.2,5
6.9,0.40,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,6
7.6,0.41,0.24,1.8,0.080,4,11,0.9962,3.28,0.59,9.5,5
8.2,0.33,0.53,2.0,0.086,29,74,0.9966,3.30,0.77,9.4,6
7.2,0.39,0.44,2.6,0.066,22,48,0.9960,3.54,0.64,9.8,6
6.6,0.52,0.08,1.9,0.078,29,60,0.9980,3.49,0.62,9.9,5
8.6,0.42,0.39,1.8,0.068,6,18,0.9960,3.23,0.64,9.5,5
7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.33,0.78,9.5,6
9.3,0.32,0.57,2.0,0.071,13,36,0.9972,3.17,0.84,9.7,6
8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,9.7,5
9.1,0.40,0.50,1.8,0.088,17,56,0.9968,3.12,1.12,9.4,5
9.0,0.50,0.36,1.8,0.086,20,57,0.9970,3.16,0.88,9.2,5
7.1,0.42,0.33,2.8,0.074,17,38,0.9968,3.48,0.57,9.6,6
8.6,0.38,0.36,3.0,0.081,30,119,0.9974,3.28,0.69,9.3,5
10.7,0.35,0.53,2.6,0.070,5,16,0.9972,3.15,0.65,11.0,7
9.5,0.36,0.42,2.0,0.110,11,48,0.9980,3.20,0.82,9.5,6
8.8,0.48,0.54,2.3,0.096,23,89,0.9988,3.32,0.64,9.2,5
7.4,0.35,0.20,2.4,0.085,21,72,0.9978,3.56,0.61,9.4,5
7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,6
9.5,0.46,0.40,2.4,0.086,21,82,0.9988,3.45,0.72,9.8,6
9.4,0.40,0.40,2.2,0.096,25,95,0.9984,3.36,0.66,9.6,5
10.2,0.42,0.49,2.5,0.088,29,72,0.9986,3.26,0.79,10.3,6
8.1,0.38,0.28,2.1,0.066,13,30,0.9968,3.23,0.73,9.7,7
7.5,0.50,0.36,6.1,0.071,17,102,0.9978,3.35,0.80,10.5,5
10.5,0.36,0.47,2.8,0.111,24,61,0.9980,3.27,0.84,9.9,6
8.3,0.42,0.49,2.1,0.084,21,88,0.9990,3.45,0.67,9.4,5
6.6,0.60,0.08,1.9,0.068,6,12,0.9962,3.48,0.47,9.4,6
7.9,0.54,0.34,2.5,0.096,26,75,0.9980,3.43,0.74,10.1,6
8.7,0.78,0.51,1.7,0.415,12,66,0.9986,3.18,1.04,9.2,5
11.6,0.58,0.66,2.2,0.074,10,47,1.0008,3.25,0.57,9.0,5
9.5,0.56,0.37,2.6,0.124,35,121,0.9978,3.34,0.56,10.5,6
9.6,0.42,0.46,1.9,0.075,6,15,0.9972,3.15,0.65,10.4,5
8.3,0.61,0.30,2.1,0.084,11,50,0.9972,3.4,0.61,10.0,6
7.2,0.66,0.33,2.5,0.068,7,20,0.9960,3.28,0.61,9.6,6
6.8,0.62,0.08,1.9,0.068,28,38,0.9958,3.42,0.82,9.5,6
7.4,0.56,0.17,2.3,0.080,14,39,0.9970,3.48,0.75,9.5,6
8.9,0.30,0.54,3.0,0.080,17,50,0.9978,3.21,0.82,9.4,6
7.7,0.64,0.21,2.2,0.077,32,133,0.9958,3.25,0.65,9.9,6
9.7,0.32,0.44,2.2,0.086,24,89,0.9990,3.28,0.82,9.4,6
8.1,0.38,0.28,2.1,0.066,13,30,0.9968,3.23,0.73,9.7,7
7.7,0.58,0.08,1.9,0.070,6,15,0.9970,3.52,0.64,9.2,5
7.5,0.52,0.16,1.9,0.085,12,35,0.9968,3.38,0.62,9.5,7
8.0,0.59,0.16,1.8,0.065,3,16,0.9962,3.42,0.92,9.9,6
12.6,0.31,0.72,2.2,0.072,6,29,0.9987,2.88,0.82,9.8,8
9.1,0.27,0.45,2.1,0.074,12,48,0.9978,3.26,0.69,10.0,7
9.8,0.32,0.44,2.6,0.097,23,105,0.9988,3.32,0.82,9.6,6
8.4,0.36,0.34,2.0,0.092,17,46,0.9972,3.35,0.88,9.5,6
8.8,0.61,0.19,3.9,0.170,51,148,0.9986,3.14,0.90,9.5,5
9.1,0.40,0.50,1.8,0.088,17,56,0.9968,3.12,1.12,9.4,5
10.1,0.31,0.47,2.4,0.083,11,43,0.9982,3.04,0.77,9.6,6
11.3,0.34,0.45,2.0,0.082,6,15,0.9988,2.94,0.66,9.2,6
6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,8
8.9,0.42,0.51,2.6,0.100,19,82,0.9980,3.37,0.68,10.5,6
9.4,0.49,0.33,2.4,0.086,9,26,0.9974,3.23,0.57,10.0,6
7.6,0.43,0.37,1.6,0.082,28,63,0.9964,3.36,0.62,9.6,6
8.4,0.33,0.42,2.5,0.084,19,66,0.9968,3.22,0.50,9.5,6
7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5
8.6,0.49,0.28,1.9,0.110,20,136,0.9972,2.93,1.95,9.9,6
8.5,0.35,0.33,2.2,0.086,8,34,0.9972,3.28,0.66,9.8,6
7.8,0.43,0.70,1.9,0.464,23,99,0.9978,3.15,0.74,9.2,5
9.6,0.39,0.49,2.2,0.079,23,70,0.9976,3.16,0.69,9.4,6
7.3,0.55,0.15,2.2,0.076,20,108,0.9962,3.46,0.74,11.0,6
9.0,0.46,0.31,2.8,0.097,27,90,0.9982,3.26,0.68,9.6,5
7.0,0.62,0.13,2.4,0.087,20,84,0.9960,3.42,0.69,9.7,5
9.2,0.36,0.45,2.6,0.083,26,75,0.9976,3.29,0.52,10.5,6
9.5,0.30,0.46,3.6,0.122,45,138,0.9996,3.35,0.56,9.4,5
8.8,0.66,0.26,1.7,0.074,4,23,0.9962,3.20,0.68,9.7,5
