id,category,value1,value2,quantity
1,A,125.50,45.25,10
2,B,230.00,87.50,25
3,C,98.75,32.10,15
4,A,156.20,55.00,8
5,B,187.30,62.40,18
6,C,245.80,95.20,22
7,A,342.10,128.50,35
8,B,156.90,58.75,12
9,C,198.40,73.60,28
10,A,287.60,102.30,30
11,B,425.70,165.80,42
12,C,134.20,48.90,16
13,A,98.30,35.70,9
14,B,312.50,118.40,33
15,C,267.90,89.50,24
16,A,178.40,64.20,14
17,B,201.80,76.30,20
18,C,356.20,134.70,38
19,A,223.50,82.10,26
20,B,145.60,52.80,11
21,C,289.70,106.20,31
22,A,412.30,158.90,40
23,B,167.20,61.50,17
24,C,234.80,88.40,23
25,A,298.90,112.60,32
26,B,189.50,71.20,19
27,C,123.70,44.80,13
28,A,367.40,138.20,36
29,B,256.30,96.70,27
30,C,198.10,74.50,21
31,A,145.80,53.90,10
32,B,378.60,142.30,39
33,C,212.40,79.80,25
34,A,267.20,98.50,29
35,B,134.90,49.60,15
36,C,423.50,162.40,41
37,A,189.70,70.30,18
38,B,245.60,92.10,24
39,C,178.30,65.70,16
40,A,312.80,117.90,34
41,B,156.40,57.20,12
42,C,289.50,108.60,30
43,A,234.60,87.80,22
44,B,398.70,149.50,37
45,C,167.90,62.40,17
46,A,201.30,75.60,20
47,B,278.40,104.20,28
48,C,145.20,54.30,14
49,A,356.90,133.80,35
50,B,198.60,73.90,19
51,C,267.50,100.40,26
52,A,178.80,66.50,16
53,B,423.10,161.70,43
54,C,234.20,88.10,23
55,A,289.30,107.80,31
56,B,156.70,58.40,13
57,C,312.40,118.60,33
58,A,245.90,92.70,24
59,B,189.20,71.50,18
60,C,367.80,137.40,36
61,A,134.50,50.20,11
62,B,298.70,112.30,32
63,C,178.60,66.80,17
64,A,412.90,157.20,40
65,B,223.40,84.60,21
66,C,267.10,99.70,27
67,A,198.50,74.20,19
68,B,345.60,130.50,34
69,C,156.30,58.90,15
70,A,278.20,103.80,29
71,B,189.80,72.10,20
72,C,423.70,160.90,42
73,A,234.50,88.60,22
74,B,167.40,62.70,16
75,C,312.90,117.50,33
76,A,245.30,92.40,25
77,B,198.90,75.30,18
78,C,356.70,134.20,37
79,A,289.60,108.90,30
80,B,134.80,50.60,12
81,C,267.70,100.80,28
82,A,378.50,141.60,38
83,B,223.10,83.70,21
84,C,189.40,71.80,19
85,A,312.60,118.20,32
86,B,156.90,59.30,14
87,C,434.20,165.40,44
88,A,245.70,93.10,24
89,B,201.60,76.90,20
90,C,289.80,109.40,31
91,A,167.80,63.20,17
92,B,356.40,133.50,35
93,C,234.90,89.20,23
94,A,198.30,75.60,19
95,B,423.80,162.10,41
96,C,178.90,67.30,18
97,A,312.20,117.80,34
98,B,267.40,100.10,27
99,C,189.60,72.40,20
100,A,398.90,150.20,39
