PID: 3421 | User: postgres | App: psql | State: active | Query Start: 2024-01-15 14:22:15 | Duration: 2m 15s | Query: SELECT * FROM orders WHERE status = 'pending'
PID: 5689 | User: app_user | App: jdbc | State: idle | Query Start: 2024-01-15 14:20:33 | Duration: 4m 12s | Query: <IDLE>
PID: 2847 | User: admin | App: pgAdmin | State: idle in transaction | Query Start: 2024-01-07 10:45:18 | Duration: 192h 39m | Query: BEGIN;
PID: 7234 | User: app_user | App: web_app | State: active | Query Start: 2024-01-15 14:23:45 | Duration: 42s | Query: INSERT INTO user_logs (user_id, action, timestamp) VALUES (1523, 'login', NOW())
PID: 4512 | User: postgres | App: psql | State: active | Query Start: 2024-01-15 14:21:03 | Duration: 3m 44s | Query: UPDATE inventory SET quantity = quantity - 1 WHERE product_id = 8821
PID: 8903 | User: app_user | App: jdbc | State: idle | Query Start: 2024-01-15 14:19:22 | Duration: 5m 25s | Query: <IDLE>
PID: 1456 | User: reporting_user | App: psql | State: idle in transaction | Query Start: 2024-01-08 16:30:45 | Duration: 156h 54m | Query: BEGIN;
PID: 6721 | User: app_user | App: web_app | State: active | Query Start: 2024-01-15 14:24:02 | Duration: 25s | Query: SELECT user_id, email FROM users WHERE last_login > '2024-01-01'
PID: 3089 | User: postgres | App: psql | State: idle | Query Start: 2024-01-15 14:15:18 | Duration: 9m 29s | Query: <IDLE>
PID: 9127 | User: app_user | App: jdbc | State: active | Query Start: 2024-01-15 14:23:12 | Duration: 1m 15s | Query: DELETE FROM sessions WHERE expires_at < NOW()
PID: 2345 | User: admin | App: psql | State: idle in transaction | Query Start: 2024-01-06 02:15:33 | Duration: 220h 9m | Query: SELECT * FROM products FOR UPDATE;
PID: 5478 | User: app_user | App: web_app | State: active | Query Start: 2024-01-15 14:22:50 | Duration: 1m 37s | Query: INSERT INTO events (event_type, data) VALUES ('page_view', '{"page": "/home"}')
PID: 7812 | User: postgres | App: psql | State: idle | Query Start: 2024-01-15 14:10:45 | Duration: 13m 42s | Query: <IDLE>
PID: 4023 | User: app_user | App: jdbc | State: active | Query Start: 2024-01-15 14:23:55 | Duration: 32s | Query: UPDATE users SET last_seen = NOW() WHERE user_id = 7742
PID: 6198 | User: backup_user | App: pg_dump | State: active | Query Start: 2024-01-15 14:18:20 | Duration: 6m 7s | Query: COPY public.audit_logs TO STDOUT
