table_name,total_tuples,dead_tuples,last_vacuum_time,last_autovacuum_time
user_sessions,100000,65000,2024-01-10 08:15:00,2024-01-10 08:15:00
orders,500000,280000,2024-01-11 14:30:00,2024-01-11 14:30:00
products,50000,8000,2024-01-18 09:20:00,2024-01-18 09:20:00
customer_data,250000,175000,2024-01-09 16:45:00,2024-01-09 16:45:00
transactions,1500000,450000,2024-01-12 11:00:00,2024-01-12 11:00:00
inventory,80000,12000,2024-01-18 07:30:00,2024-01-18 07:30:00
audit_logs,3000000,900000,2024-01-17 22:00:00,2024-01-17 22:00:00
user_profiles,200000,35000,2024-01-18 10:15:00,2024-01-18 10:15:00
payment_methods,45000,33000,2024-01-10 13:20:00,2024-01-10 13:20:00
shipping_addresses,120000,18000,2024-01-18 08:45:00,2024-01-18 08:45:00
reviews,350000,210000,2024-01-11 19:30:00,2024-01-11 19:30:00
categories,10000,1200,2024-01-18 06:00:00,2024-01-18 06:00:00
cart_items,450000,315000,2024-01-10 12:10:00,2024-01-10 12:10:00
notifications,800000,560000,2024-01-09 20:15:00,2024-01-09 20:15:00
wishlist,150000,22000,2024-01-18 11:30:00,2024-01-18 11:30:00
session_tokens,75000,54000,2024-01-10 15:45:00,2024-01-10 15:45:00
discounts,30000,4500,2024-01-18 09:00:00,2024-01-18 09:00:00
email_queue,500000,125000,2024-01-17 18:20:00,2024-01-17 18:20:00
