date,category,product_id,quantity,unit_price
2024-01-15,Electronics,5432,12,299.99
03/22/2024,Clothing,7821,25,45.50
15-02-2024,Home,3345,8,125.75
2024-01-08,Food,2156,30,12.99
22-01-2024,Electronics,6789,,399.99
2024-02-10,Home,8934,5,249.50
11/03/2024,Food,1987,42,8.75
2024-01-25,Electronics,5623,3,599.99
28-02-2024,Clothing,7234,18,65.00
03/05/2024,Home,4156,,175.25
2024-02-18,Food,3421,35,15.50
05-01-2024,Electronics,6845,7,449.99
02/14/2024,Clothing,8912,22,55.99
2024-03-01,Home,2378,12,89.99
18-03-2024,Food,5634,,18.25
03/28/2024,Electronics,7456,9,349.50
2024-02-05,Clothing,3289,28,39.99
12-01-2024,Home,6712,4,199.99
01/30/2024,Food,4523,45,9.99
2024-03-10,Electronics,8901,,675.00
25-02-2024,Clothing,5167,16,72.50
02/08/2024,Home,7823,11,145.00
2024-01-12,Food,2945,38,11.25
08-03-2024,Electronics,6234,5,525.99
03/19/2024,Clothing,4678,,48.75
2024-02-22,Home,8456,9,215.50
14-01-2024,Food,3712,40,7.50
01/25/2024,Electronics,5789,14,399.00
2024-03-05,Clothing,7901,19,58.99
28-01-2024,Home,3456,,165.75
02/12/2024,Food,6823,32,13.75
2024-02-28,Electronics,4912,6,729.99
19-02-2024,Clothing,8234,24,44.50
03/22/2024,Home,5678,8,185.25
2024-01-18,Food,2389,36,10.99
11-01-2024,Electronics,7123,,549.99
01/08/2024,Clothing,4856,21,62.00
2024-03-15,Home,6945,7,225.50
05-03-2024,Food,3178,43,8.25
22-02-2024,Electronics,5423,10,475.00
02/25/2024,Clothing,7689,17,51.99
2024-01-22,Home,4234,13,135.75
15-01-2024,Food,8567,,16.50
03/12/2024,Electronics,6178,4,625.99
2024-02-15,Clothing,3945,26,41.25
18-02-2024,Home,7812,6,195.00
01/28/2024,Food,2634,39,12.50
2024-03-08,Electronics,5834,8,499.99
25-01-2024,Clothing,4723,,68.75
02/18/2024,Home,8923,10,155.25
2024-01-05,Food,3567,34,14.99
12-03-2024,Electronics,6912,15,375.50
03/08/2024,Clothing,5178,20,46.99
2024-02-12,Home,7456,5,245.75
08-02-2024,Food,4289,41,9.25
20-01-2024,Electronics,8634,,589.99
01/15/2024,Clothing,3812,23,54.50
2024-03-18,Home,6523,9,205.00
28-02-2024,Food,2756,37,11.75
03/25/2024,Electronics,5967,11,449.00
2024-01-28,Clothing,7234,18,59.99
15-02-2024,Home,4689,,175.50
02/05/2024,Food,8123,44,7.99
2024-03-12,Electronics,6345,7,525.00
10-01-2024,Clothing,4956,25,43.75
01/20/2024,Home,7789,12,189.99
2024-02-08,Food,3423,33,15.25
18-01-2024,Electronics,5678,9,399.99
03/15/2024,Clothing,8456,19,66.50
2024-03-02,Home,6234,6,165.00
22-03-2024,Food,2978,38,10.50
02/28/2024,Electronics,7123,13,475.99
2024-01-10,Clothing,4589,22,49.99
05-02-2024,Home,8712,8,225.75
01/18/2024,Food,3645,40,13.25
2024-03-20,Electronics,6789,5,599.00
12-02-2024,Clothing,5234,27,56.25
03/10/2024,Home,7923,11,195.50
2024-02-20,Food,4156,35,12.75
25-03-2024,Electronics,8345,14,425.99
02/15/2024,Clothing,6178,21,47.50
2024-01-30,Home,3867,7,215.25
10-03-2024,Food,5423,42,9.75
01/05/2024,Electronics,7856,10,549.00
2024-03-25,Clothing,4723,24,61.99
20-02-2024,Home,6945,9,185.75
03/18/2024,Food,2534,36,14.50
