function_name,file_path,total_time_ms,call_count
process_large_dataset,worker.py,5247.8,15
parse_input_file,utils/parser.py,1823.4,48
validate_data,worker.py,892.6,48
transform_records,models/processor.py,1456.9,240
load_configuration,worker.py,234.7,1
serialize_output,utils/helper.py,678.3,48
calculate_metrics,models/processor.py,543.2,240
write_results,worker.py,445.8,15
filter_invalid_records,utils/parser.py,389.4,48
normalize_fields,models/processor.py,267.1,240
read,<frozen importlib._bootstrap>,1205.3,523
write,<frozen importlib._bootstrap>,892.4,387
join,/usr/lib/python3.8/os.py,423.1,892
listdir,/usr/lib/python3.8/os.py,156.7,24
stat,/usr/lib/python3.8/os.py,234.2,145
open,<built-in>,567.8,96
close,<built-in>,123.4,96
loads,/usr/lib/python3.8/json/__init__.py,445.6,156
dumps,/usr/lib/python3.8/json/__init__.py,389.2,145
reader,/usr/lib/python3.8/csv.py,234.5,48
writer,/usr/lib/python3.8/csv.py,198.7,48
split,<built-in>,89.3,1247
strip,<built-in>,67.4,2456
format,<built-in>,145.6,789
append,<built-in>,45.2,3421
extend,<built-in>,56.8,234
update,<built-in>,78.9,567
get,<built-in>,34.2,4567
set,<built-in>,23.1,3456
connect_database,utils/db_helper.py,567.4,3
execute_query,utils/db_helper.py,1245.8,156
fetch_results,utils/db_helper.py,445.3,156
commit_transaction,utils/db_helper.py,234.6,12
close_connection,utils/db_helper.py,89.4,3
initialize_logger,worker.py,45.7,1
log_info,utils/logger.py,234.8,567
log_error,utils/logger.py,123.4,23
log_debug,utils/logger.py,89.6,1234
format_timestamp,utils/helper.py,67.3,567
parse_date,utils/parser.py,145.8,240
validate_email,utils/validator.py,89.4,240
validate_phone,utils/validator.py,76.5,240
validate_address,utils/validator.py,98.7,240
encode_utf8,utils/helper.py,56.3,456
decode_utf8,utils/helper.py,48.9,456
hash_password,utils/security.py,234.5,12
verify_password,utils/security.py,198.6,34
generate_token,utils/security.py,145.7,12
validate_token,utils/security.py,123.8,89
encrypt_data,utils/security.py,267.4,48
decrypt_data,utils/security.py,245.9,48
compress_file,utils/file_helper.py,456.7,15
decompress_file,utils/file_helper.py,389.8,15
read_file,utils/file_helper.py,234.5,48
write_file,utils/file_helper.py,198.6,48
copy_file,utils/file_helper.py,167.4,12
move_file,utils/file_helper.py,145.3,8
delete_file,utils/file_helper.py,78.9,15
create_directory,utils/file_helper.py,45.6,6
getattr,<built-in>,23.4,2345
setattr,<built-in>,19.8,1234
hasattr,<built-in>,15.6,3456
isinstance,<built-in>,12.3,4567
issubclass,<built-in>,8.9,234
len,<built-in>,34.5,5678
range,<built-in>,45.6,1234
enumerate,<built-in>,56.7,567
zip,<built-in>,34.2,345
map,<built-in>,43.1,234
filter,<built-in>,38.9,189
sorted,<built-in>,89.4,123
sum,<built-in>,23.4,234
min,<built-in>,19.7,156
max,<built-in>,21.3,156
abs,<built-in>,12.5,345
round,<built-in>,15.8,267
compile,/usr/lib/python3.8/re.py,234.5,45
match,/usr/lib/python3.8/re.py,123.4,567
search,/usr/lib/python3.8/re.py,145.6,489
sub,/usr/lib/python3.8/re.py,167.8,234
findall,/usr/lib/python3.8/re.py,189.3,345
parse_args,/usr/lib/python3.8/argparse.py,123.5,1
add_argument,/usr/lib/python3.8/argparse.py,45.6,12
format_help,/usr/lib/python3.8/argparse.py,34.7,1
urlparse,/usr/lib/python3.8/urllib/parse.py,78.9,56
urljoin,/usr/lib/python3.8/urllib/parse.py,56.4,34
quote,/usr/lib/python3.8/urllib/parse.py,45.2,123
unquote,/usr/lib/python3.8/urllib/parse.py,38.7,98
request,/usr/lib/python3.8/urllib/request.py,456.8,12
urlopen,/usr/lib/python3.8/urllib/request.py,389.4,12
sleep,/usr/lib/python3.8/time.py,234.6,23
time,/usr/lib/python3.8/time.py,12.3,456
strftime,/usr/lib/python3.8/time.py,34.5,234
strptime,/usr/lib/python3.8/time.py,56.7,156
now,/usr/lib/python3.8/datetime.py,23.4,345
today,/usr/lib/python3.8/datetime.py,19.8,123
timedelta,/usr/lib/python3.8/datetime.py,34.2,234
isoformat,/usr/lib/python3.8/datetime.py,28.9,234
getcwd,/usr/lib/python3.8/os.py,12.4,45
chdir,/usr/lib/python3.8/os.py,15.7,12
makedirs,/usr/lib/python3.8/os.py,45.8,8
remove,/usr/lib/python3.8/os.py,34.6,15
rename,/usr/lib/python3.8/os.py,28.3,8
exists,/usr/lib/python3.8/os/path.py,23.5,234
isfile,/usr/lib/python3.8/os/path.py,19.4,156
isdir,/usr/lib/python3.8/os/path.py,17.8,123
basename,/usr/lib/python3.8/os/path.py,15.2,234
dirname,/usr/lib/python3.8/os/path.py,14.6,234
abspath,/usr/lib/python3.8/os/path.py,21.3,156
getsize,/usr/lib/python3.8/os/path.py,18.7,89
