date,sales_amount
2022-01-01,16234.50
2022-01-02,14567.80
2022-01-03,13892.45
2022-01-04,14123.67
2022-01-05,15234.89
2022-01-06,16789.23
2022-01-07,18234.56
2022-01-08,19456.78
2022-01-09,15678.90
2022-01-10,14234.56
2022-01-11,13987.65
2022-01-12,14567.89
2022-01-13,15234.67
2022-01-14,17890.23
2022-01-15,19234.56
2022-01-16,15789.34
2022-01-17,14567.89
2022-01-18,13876.54
2022-01-19,14234.78
2022-01-20,15678.90
2022-01-21,18123.45
2022-01-22,19567.89
2022-01-23,15234.67
2022-01-24,14789.23
2022-01-25,13945.67
2022-01-26,14567.89
2022-01-28,17234.56
2022-01-29,19678.90
2022-01-30,15987.65
2022-01-31,14678.90
2022-02-01,13876.54
2022-02-02,14234.67
2022-02-03,15456.78
2022-02-04,17567.89
2022-02-05,19234.56
2022-02-06,15678.90
2022-02-07,14567.89
2022-02-08,13987.65
2022-02-09,14345.78
2022-02-10,15567.89
2022-02-11,17890.23
2022-02-12,19456.78
2022-02-13,15789.34
2022-02-14,21234.56
2022-02-15,14678.90
2022-02-16,14123.45
2022-02-17,15234.67
2022-02-18,17456.78
2022-02-19,19567.89
2022-02-20,15987.65
2022-02-21,14789.23
2022-02-22,14234.56
2022-02-23,14567.89
2022-02-24,15678.90
2022-02-25,17890.23
2022-02-26,19678.90
2022-02-27,16123.45
2022-02-28,14890.67
2022-03-01,14234.56
2022-03-02,14567.89
2022-03-03,15789.23
2022-03-04,17678.90
2022-03-05,19456.78
2022-03-06,16234.56
2022-03-07,14987.65
2022-03-08,14345.67
2022-03-09,14678.90
2022-03-10,15890.23
2022-03-11,17789.34
2022-03-12,19567.89
2022-03-13,16345.67
2022-03-14,15123.45
2022-03-15,14567.89
2022-03-16,14890.23
2022-03-17,15678.90
2022-03-18,17890.23
2022-03-19,19678.90
2022-03-20,16234.56
2022-03-21,15234.67
2022-03-22,14678.90
2022-03-23,14890.23
2022-03-24,15789.34
2022-03-25,17678.90
2022-03-26,19456.78
2022-03-27,16345.67
2022-03-28,15234.56
2022-03-29,14789.23
2022-03-30,14987.65
2022-03-31,15678.90
2022-04-01,17890.23
2022-04-02,19567.89
2022-04-03,16456.78
2022-04-04,15345.67
2022-04-05,14890.23
2022-04-06,15123.45
2022-04-07,15789.34
2022-04-08,17678.90
2022-04-09,19456.78
2022-04-10,16567.89
2022-04-11,15456.78
2022-04-12,14987.65
2022-04-13,15234.56
2022-04-15,17890.23
2022-04-16,19678.90
2022-04-17,16678.90
2022-04-18,15567.89
2022-04-19,15123.45
2022-04-20,15345.67
2022-04-21,15890.23
2022-04-22,17789.34
2022-04-23,19567.89
2022-04-24,16789.23
2022-04-25,15678.90
2022-04-26,15234.56
2022-04-27,15456.78
2022-04-28,16123.45
2022-04-29,18234.56
2022-04-30,19890.23
2022-05-01,16890.23
2022-05-02,15789.34
2022-05-03,15345.67
2022-05-04,15567.89
2022-05-05,16234.56
2022-05-06,18345.67
2022-05-07,20123.45
2022-05-08,17123.45
2022-05-09,15890.23
2022-05-10,15456.78
2022-05-11,15678.90
2022-05-12,16345.67
2022-05-13,18456.78
2022-05-14,20234.56
2022-05-15,17234.56
2022-05-16,16123.45
2022-05-17,15678.90
2022-05-18,15890.23
2022-05-19,16456.78
2022-05-20,18567.89
2022-05-21,20345.67
2022-05-22,17345.67
2022-05-23,16234.56
2022-05-24,15789.34
2022-05-25,16123.45
2022-05-26,16567.89
2022-05-27,18678.90
2022-05-28,20456.78
2022-05-29,17456.78
2022-05-30,2145.67
2022-05-31,15890.23
2022-06-01,16234.56
2022-06-02,16678.90
2022-06-03,18789.34
2022-06-04,20567.89
2022-06-05,17567.89
2022-06-06,16345.67
2022-06-07,16123.45
2022-06-08,16456.78
2022-06-09,16890.23
2022-06-10,18890.23
2022-06-11,20678.90
2022-06-12,17678.90
2022-06-13,16456.78
2022-06-14,16234.56
2022-06-15,16567.89
2022-06-16,17123.45
2022-06-17,19123.45
2022-06-18,20789.34
2022-06-19,17789.34
2022-06-20,16567.89
2022-06-21,16345.67
2022-06-22,16678.90
2022-06-23,17234.56
2022-06-24,19234.56
2022-06-25,20890.23
2022-06-26,17890.23
2022-06-27,16678.90
2022-06-28,16456.78
2022-06-29,16789.23
2022-06-30,17345.67
2022-07-01,19345.67
2022-07-02,21123.45
2022-07-03,18234.56
2022-07-04,22345.67
2022-07-05,16789.23
2022-07-06,16890.23
2022-07-07,17456.78
2022-07-08,19456.78
2022-07-09,21234.56
2022-07-10,18345.67
2022-07-11,16890.23
2022-07-12,16678.90
2022-07-13,17123.45
2022-07-14,17567.89
2022-07-15,19567.89
2022-07-16,21345.67
2022-07-17,18456.78
2022-07-18,17123.45
2022-07-19,16789.23
2022-07-20,17234.56
2022-07-21,17678.90
2022-07-22,19678.90
2022-07-23,21456.78
2022-07-24,18567.89
2022-07-25,17234.56
2022-07-26,16890.23
2022-07-27,17345.67
2022-07-28,17789.34
2022-07-29,19789.34
2022-07-30,21567.89
2022-07-31,18678.90
2022-08-01,17345.67
2022-08-02,17123.45
2022-08-03,17456.78
2022-08-04,17890.23
2022-08-05,19890.23
2022-08-06,21678.90
2022-08-07,18789.34
2022-08-08,17456.78
2022-08-09,17234.56
2022-08-10,17567.89
2022-08-11,18123.45
2022-08-12,20123.45
2022-08-13,21789.34
2022-08-14,18890.23
2022-08-15,17567.89
2022-08-16,17345.67
2022-08-18,18234.56
2022-08-19,20234.56
2022-08-20,21890.23
2022-08-21,19123.45
2022-08-22,17678.90
2022-08-23,17456.78
2022-08-24,17789.34
2022-08-25,18345.67
2022-08-26,20345.67
2022-08-27,22123.45
2022-08-28,19234.56
2022-08-29,17789.34
2022-08-30,17567.89
2022-08-31,17890.23
2022-09-01,18456.78
2022-09-02,20456.78
2022-09-03,22234.56
2022-09-04,19345.67
2022-09-05,17890.23
2022-09-06,17678.90
2022-09-07,18123.45
2022-09-08,18567.89
2022-09-09,20567.89
2022-09-10,22345.67
2022-09-11,19456.78
2022-09-12,18123.45
2022-09-13,17789.34
2022-09-14,18234.56
2022-09-15,18678.90
2022-09-16,20678.90
2022-09-17,22456.78
2022-09-18,19567.89
2022-09-19,18234.56
2022-09-20,17890.23
2022-09-21,18345.67
2022-09-22,18789.34
2022-09-23,20789.34
2022-09-24,22567.89
2022-09-25,19678.90
2022-09-26,18345.67
2022-09-27,18123.45
2022-09-28,18456.78
2022-09-29,18890.23
2022-09-30,20890.23
2022-10-01,22678.90
2022-10-02,19789.34
2022-10-03,18456.78
2022-10-04,18234.56
2022-10-05,18567.89
2022-10-06,19123.45
2022-10-07,21123.45
2022-10-08,22789.34
2022-10-09,19890.23
2022-10-10,18567.89
2022-10-11,18345.67
2022-10-12,18678.90
2022-10-13,19234.56
2022-10-14,21234.56
2022-10-15,22890.23
2022-10-16,20123.45
2022-10-17,18678.90
2022-10-18,18456.78
2022-10-19,18789.34
2022-10-20,19345.67
2022-10-21,21345.67
2022-10-22,23123.45
