ds,y
2021-01-01,18234.56
2021-01-02,11456.78
2021-01-03,10234.90
2021-01-04,12567.45
2021-01-05,13890.23
2021-01-06,14234.67
2021-01-07,13456.89
2021-01-08,12678.34
2021-01-09,11234.56
2021-01-10,10987.65
2021-01-11,13456.78
2021-01-12,14567.89
2021-01-13,13890.12
2021-01-14,12345.67
2021-01-15,11678.90
2021-01-16,10456.78
2021-01-17,9876.54
2021-01-18,13234.56
2021-01-19,14567.89
2021-01-20,13890.45
2021-01-21,12678.90
2021-01-22,11456.78
2021-01-23,10234.56
2021-01-24,9987.65
2021-01-25,13456.78
2021-01-26,14234.56
2021-01-27,13567.89
2021-01-28,12890.34
2021-01-29,11678.90
2021-01-30,10456.78
2021-01-31,9876.54
2021-02-01,12345.67
2021-02-02,13456.78
2021-02-03,12890.45
2021-02-04,11678.90
2021-02-05,10456.78
2021-02-06,9876.54
2021-02-07,9234.56
2021-02-08,12678.90
2021-02-09,13567.89
2021-02-10,12890.45
2021-02-11,11456.78
2021-02-12,10234.56
2021-02-13,9678.90
2021-02-14,16789.45
2021-02-15,13456.78
2021-02-16,12890.45
2021-02-17,11678.90
2021-02-18,10456.78
2021-02-19,9876.54
2021-02-20,9234.56
2021-02-21,12456.78
2021-02-22,13234.56
2021-02-23,12678.90
2021-02-24,11456.78
2021-02-25,10234.56
2021-02-26,9678.90
2021-02-27,9123.45
2021-02-28,12345.67
2021-03-01,13456.78
2021-03-02,12890.45
2021-03-03,11678.90
2021-03-04,10456.78
2021-03-05,9876.54
2021-03-06,9234.56
2021-03-07,12678.90
2021-03-08,13567.89
2021-03-09,12890.45
2021-03-10,11456.78
2021-03-11,10234.56
2021-03-12,9678.90
2021-03-13,9123.45
2021-03-14,12456.78
2021-03-15,13234.56
2021-03-16,12678.90
2021-03-17,14567.89
2021-03-18,10456.78
2021-03-19,9876.54
2021-03-20,9234.56
2021-03-21,12678.90
2021-03-22,13567.89
2021-03-23,12890.45
2021-03-24,11456.78
2021-03-25,10234.56
2021-03-26,9678.90
2021-03-27,9123.45
2021-03-28,12456.78
2021-03-29,13234.56
2021-03-30,12678.90
2021-03-31,11456.78
2021-04-01,10234.56
2021-04-02,9678.90
2021-04-03,9123.45
2021-04-04,12345.67
2021-04-05,13456.78
2021-04-06,12890.45
2021-04-07,11678.90
2021-04-08,10456.78
2021-04-09,9876.54
2021-04-10,9234.56
2021-04-11,12678.90
2021-04-12,13567.89
2021-04-13,12890.45
2021-04-14,11456.78
2021-04-15,10234.56
2021-04-16,9678.90
2021-04-17,9123.45
2021-04-18,12456.78
2021-04-19,13234.56
2021-04-20,12678.90
2021-04-21,11456.78
2021-04-22,10234.56
2021-04-23,9678.90
2021-04-24,9123.45
2021-04-25,12345.67
2021-04-26,13456.78
2021-04-27,12890.45
2021-04-28,11678.90
2021-04-29,10456.78
2021-04-30,9876.54
2021-05-01,9234.56
2021-05-02,12678.90
2021-05-03,13567.89
