date,sales
2021-01-01,10234.56
2021-01-02,11456.78
2021-01-03,10987.65
2021-01-04,10234.87
2021-01-05,10456.92
2021-01-06,10678.34
2021-01-07,10890.45
2021-01-08,11023.67
2021-01-09,13456.78
2021-01-10,13234.56
2021-01-11,10789.34
2021-01-12,10567.89
2021-01-13,10345.67
2021-01-14,10234.78
2021-01-15,12567.89
2021-01-16,13789.45
2021-01-17,12345.67
2021-01-18,10456.78
2021-01-19,10234.56
2021-01-20,10123.45
2021-01-21,10345.89
2021-01-22,10567.34
2021-01-23,13234.78
2021-01-24,13456.89
2021-01-25,10678.45
2021-01-26,10456.78
2021-01-27,10234.56
2021-01-28,10123.67
2021-01-29,10345.78
2021-01-30,13678.90
2021-01-31,13234.56
2021-02-01,12890.45
2021-02-02,11456.78
2021-02-03,10678.90
2021-02-04,10456.34
2021-02-05,10234.78
2021-02-06,13456.89
2021-02-07,13678.45
2021-02-08,10567.89
2021-02-09,10345.67
2021-02-10,10234.56
2021-02-11,10123.78
2021-02-12,10456.90
2021-02-13,13234.56
2021-02-14,13567.89
2021-02-15,12789.45
2021-02-16,11890.34
2021-02-17,10678.56
2021-02-18,10456.78
2021-02-19,10234.90
2021-02-20,13456.78
2021-02-21,13678.34
2021-02-22,10567.89
2021-02-23,10345.67
2021-02-24,10234.56
2021-02-25,10123.45
2021-02-26,10456.78
2021-02-27,13234.90
2021-02-28,13456.78
2021-03-01,12678.45
2021-03-02,11234.56
2021-03-03,10456.78
2021-03-04,10234.90
2021-03-05,10123.56
2021-03-06,13456.78
2021-03-07,13678.90
2021-03-08,10567.34
2021-03-09,10345.78
2021-03-10,10234.56
2021-03-11,10123.67
2021-03-12,10456.89
2021-03-13,13234.78
2021-03-14,13567.90
2021-03-15,12890.45
2021-03-16,11678.34
2021-03-17,10456.78
2021-03-18,10234.56
2021-03-19,10123.67
2021-03-20,13456.78
2021-03-21,13678.90
2021-03-22,10567.34
2021-03-23,10345.67
2021-03-24,10234.56
2021-03-25,10123.78
2021-03-26,10456.90
2021-03-27,13234.56
2021-03-28,13567.89
2021-03-29,10678.45
2021-03-30,10456.78
2021-03-31,10234.90
2021-04-01,12567.89
2021-04-02,11456.78
2021-04-03,13234.56
2021-04-04,13678.90
2021-04-05,10567.34
2021-04-06,10345.67
2021-04-07,10234.56
2021-04-08,10123.78
2021-04-09,10456.90
2021-04-10,13234.56
2021-04-11,13567.89
2021-04-12,10678.45
2021-04-13,10456.78
2021-04-14,10234.90
2021-04-15,12890.45
2021-04-16,11678.34
2021-04-17,13456.78
2021-04-18,13678.90
2021-04-19,10567.34
2021-04-20,10345.67
2021-04-21,10234.56
2021-04-22,10123.78
2021-04-23,10456.90
2021-04-24,13234.56
2021-04-25,13567.89
2021-04-26,10678.45
2021-04-27,10456.78
2021-04-28,10234.90
2021-04-29,10123.56
2021-04-30,10456.78
2021-05-01,12678.90
2021-05-02,11234.56
2021-05-03,10456.78
2021-05-04,10234.90
2021-05-05,10123.56
2021-05-06,10345.67
2021-05-07,10567.89
2021-05-08,13456.78
2021-05-09,13678.90
2021-05-10,10567.34
2021-05-11,10345.67
2021-05-12,10234.56
2021-05-13,10123.78
2021-05-14,10456.90
2021-05-15,12890.45
2021-05-16,11678.34
2021-05-17,10456.78
2021-05-18,10234.90
2021-05-19,10123.56
2021-05-20,10345.67
2021-05-21,10567.89
2021-05-22,13456.78
2021-05-23,13678.90
2021-05-24,10567.34
2021-05-25,10345.67
2021-05-26,10234.56
2021-05-27,10123.78
2021-05-28,10456.90
2021-05-29,13234.56
2021-05-30,13567.89
2021-05-31,10678.45
2021-06-01,12567.89
2021-06-02,11456.78
2021-06-03,10234.56
2021-06-04,10123.67
2021-06-05,13456.78
2021-06-06,13678.90
2021-06-07,10567.34
2021-06-08,10345.67
2021-06-09,10234.56
2021-06-10,10123.78
2021-06-11,10456.90
2021-06-12,13234.56
2021-06-13,13567.89
2021-06-14,10678.45
2021-06-15,12890.45
2021-06-16,11678.34
2021-06-17,10234.90
2021-06-18,10123.56
2021-06-19,13456.78
2021-06-20,13678.90
2021-06-21,10567.34
2021-06-22,10345.67
2021-06-23,10234.56
2021-06-24,10123.78
2021-06-25,10456.90
2021-06-26,13234.56
2021-06-27,13567.89
2021-06-28,10678.45
2021-06-29,10456.78
2021-06-30,10234.90
2021-07-01,9567.89
2021-07-02,8456.78
2021-07-03,12234.56
2021-07-04,12678.90
2021-07-05,8567.34
2021-07-06,8345.67
2021-07-07,8234.56
