feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,label
0.234,-1.456,0.789,1.234,-0.567,0.890,-1.234,2.345,0.456,-0.789,1.567,-0.234,0.678,1.890,-2.345,0.123,-1.789,0.456,1.234,-0.890,0
-0.123,0.567,-1.234,0.890,1.456,-0.789,0.234,1.567,-0.456,0.789,-1.890,0.345,1.234,-0.678,0.456,-1.567,0.890,1.234,-0.345,0.678,0
1.234,-0.789,0.456,1.890,-1.234,0.567,-0.890,0.234,1.678,-0.456,0.789,-1.234,0.567,0.890,-0.234,1.456,-0.678,0.234,0.890,-1.456,0
-0.567,1.234,0.890,-0.456,0.789,-1.234,1.567,0.345,-1.890,0.678,1.234,-0.567,0.456,-1.789,0.234,0.890,-1.234,0.567,1.456,-0.345,0
0.789,-1.567,0.234,1.456,-0.890,0.678,1.234,-0.456,0.567,-1.234,0.890,1.567,-0.345,0.234,1.890,-0.789,0.456,-1.234,0.678,0.345,0
1.456,-0.234,0.890,-1.567,0.345,1.234,-0.678,0.789,1.234,-0.567,0.456,-0.890,1.678,-0.234,0.567,0.890,-1.456,0.234,-0.789,1.234,0
-1.234,0.678,1.567,-0.890,0.234,1.456,-0.567,0.890,-1.234,1.890,0.345,-0.678,0.789,1.234,-0.456,0.567,-0.890,1.678,-1.234,0.456,0
0.567,-0.890,1.234,0.345,-1.567,0.789,0.456,-1.234,0.890,0.678,-0.234,1.456,0.890,-0.567,1.234,-1.789,0.345,0.678,-0.456,0.890,0
-0.890,1.567,0.456,-1.234,0.678,0.234,-0.567,1.890,0.789,-0.345,1.234,0.567,-1.456,0.890,0.234,-0.678,1.234,0.456,-1.567,0.789,0
0.345,0.890,-1.567,0.678,1.234,-0.456,0.789,0.234,-0.890,1.567,0.456,-1.234,0.678,0.345,-1.890,0.567,0.789,-0.345,1.234,-0.678,0
1.890,-0.567,0.234,0.789,-1.234,0.456,1.567,-0.890,0.345,0.678,-1.567,0.890,0.234,-0.456,0.789,1.234,-0.678,0.567,0.890,-1.234,0
-0.456,0.789,1.234,-0.567,0.890,1.678,-0.234,0.456,-1.567,0.234,0.890,-0.345,1.234,0.567,-0.890,0.678,-1.234,0.890,0.456,-0.789,0
0.678,-1.234,0.567,1.890,-0.345,0.890,-1.567,0.234,0.789,-0.678,1.456,0.234,-0.890,0.567,1.234,-0.456,0.789,1.234,-0.567,0.345,0
-1.567,0.345,0.890,0.234,-0.789,1.456,0.678,-0.234,1.234,0.567,-0.890,0.789,1.567,-1.234,0.456,0.890,-0.345,0.678,1.234,-0.567,0
0.890,1.234,-0.678,0.456,1.567,-0.234,0.345,-1.234,0.567,0.890,-0.456,1.678,0.789,-0.567,0.234,1.234,-0.890,0.456,-1.234,0.567,0
1.567,-0.345,0.678,1.234,-0.890,0.456,-1.234,0.789,1.456,-0.567,0.234,0.890,-0.678,1.234,0.567,-1.789,0.345,0.890,-0.456,1.234,0
