station_id,avg_temp,elevation,latitude,longitude,dist_coast,altitude_m,lat_degrees
S001,15.3,450,35.2,-118.5,45,450,35.2
S002,18.7,220,33.8,-117.2,12,220,33.8
S003,12.4,1250,42.5,-112.3,320,1250,42.5
S004,21.2,150,31.5,-115.8,28,150,31.5
S005,9.8,2100,45.3,-108.7,485,2100,45.3
S006,16.5,680,37.9,-119.4,67,680,37.9
S007,19.8,310,32.7,-116.9,18,310,32.7
S008,11.2,1850,44.1,-110.5,398,1850,44.1
S009,17.9,520,36.4,-118.8,52,520,36.4
S010,14.6,890,39.2,-114.6,245,890,39.2
S011,22.4,180,30.8,-117.3,15,180,30.8
S012,13.8,1420,41.7,-111.8,356,1420,41.7
S013,20.1,265,33.1,-116.5,22,265,33.1
S014,10.5,1980,46.2,-109.3,425,1980,46.2
S015,16.8,595,38.5,-115.9,89,595,38.5
S016,18.2,380,34.6,-118.1,35,380,34.6
S017,12.9,1560,43.8,-112.7,372,1560,43.8
S018,19.5,290,32.3,-117.6,19,290,32.3
S019,15.1,745,40.1,-113.4,198,745,40.1
S020,8.6,2450,47.5,-107.2,502,2450,47.5
