Queue_Name	Message_Count	Memory_Bytes	Consumers	State
orders_processing_queue	87543	471859200	0	running
notifications_queue	12876	52428800	2	running
email_delivery_queue	8432	31457280	1	running
analytics_events_queue	15234	73400320	1	running
payment_confirmations_queue	3421	18874368	2	idle
inventory_updates_queue	2109	12582912	1	running
customer_sync_queue	891	8388608	0	idle
shipping_notifications_queue	4567	26214400	2	running
refund_processing_queue	1234	15728640	1	running
audit_log_queue	6789	41943040	0	running
