CustomerServiceCalls,tenure,MonthlyCharges,TotalCharges,ContractLength,TechSupport,OnlineSecurity,InternetService,MultipleLines,PaymentMethod,age,SeniorCitizen,Partner,Dependents,PhoneService,OnlineBackup,DeviceProtection,StreamingTV,StreamingMovies,PaperlessBilling,AutoPay,AccountBalance,DataUsageGB,NumProducts,gender,Churn
3,2,89.5,179.0,1,0,0,2,1,0,45,0,1,0,1,0,0,1,1,1,0,150.0,35.2,2,1,1
1,24,65.3,1567.2,12,1,1,1,0,2,52,1,0,0,1,1,0,0,1,0,1,890.5,22.5,3,0,0
5,5,95.2,476.0,1,0,0,2,2,0,38,0,0,1,1,0,1,1,0,1,0,-120.0,58.3,2,1,1
0,48,55.8,2678.4,24,1,1,1,1,3,61,1,1,1,1,1,1,0,0,0,1,2340.0,18.7,4,0,0
2,8,78.4,627.2,1,0,1,2,0,1,29,0,0,0,1,0,0,1,1,1,0,245.0,42.1,1,1,1
1,36,52.1,1875.6,12,1,1,1,1,2,55,0,1,0,1,1,0,1,0,0,1,1520.0,15.3,3,0,0
4,3,92.7,278.1,1,0,0,2,1,0,33,0,0,0,1,0,0,0,1,1,0,85.0,67.8,2,1,1
0,60,48.5,2910.0,24,1,1,1,0,3,68,1,1,1,1,1,1,1,1,1,1,3450.0,12.4,5,0,0
6,1,101.3,101.3,1,0,0,2,2,0,27,0,0,0,1,0,0,1,0,1,0,-85.0,78.9,1,0,1
1,18,69.8,1256.4,12,1,1,2,1,1,44,0,1,1,1,1,1,0,1,0,1,745.0,28.6,3,1,0
3,6,84.2,505.2,1,0,0,2,0,0,36,0,0,0,1,0,1,1,1,1,0,180.0,51.2,2,1,1
0,42,58.9,2473.8,24,1,1,1,1,2,59,0,1,0,1,1,0,0,0,0,1,2180.0,19.8,4,0,0
2,12,71.5,858.0,12,1,0,1,0,1,41,0,0,1,1,0,1,1,0,1,0,520.0,31.4,2,1,0
5,4,88.9,355.6,1,0,0,2,1,0,31,0,0,0,1,0,0,1,1,1,0,125.0,62.5,2,0,1
1,28,61.2,1713.6,12,1,1,1,0,2,48,0,1,0,1,1,1,1,1,0,1,1380.0,24.3,3,1,0
0,54,49.7,2683.8,24,1,1,1,1,3,64,1,1,1,1,1,0,0,1,0,1,2890.0,14.6,4,0,0
4,7,93.4,653.8,1,0,0,2,2,0,34,0,0,0,1,0,1,0,1,1,0,215.0,55.7,2,1,1
1,22,66.7,1467.4,12,1,1,1,1,1,46,0,1,1,1,1,0,1,0,0,1,1020.0,26.8,3,0,0
3,9,76.8,691.2,1,0,1,2,0,1,39,0,0,0,1,0,0,1,1,1,0,310.0,44.5,2,1,0
0,45,56.3,2533.5,24,1,1,1,0,3,62,1,1,0,1,1,1,0,0,0,1,2560.0,17.2,4,1,0
2,14,68.5,959.0,12,1,1,1,1,2,42,0,0,1,1,0,1,1,0,1,1,645.0,29.7,3,0,0
6,2,98.6,197.2,1,0,0,2,1,0,28,0,0,0,1,0,0,1,1,1,0,45.0,72.3,1,1,1
1,32,59.4,1900.8,12,1,1,1,0,2,51,0,1,0,1,1,0,0,1,0,1,1620.0,21.5,3,0,0
4,5,91.7,458.5,1,0,0,2,2,0,35,0,0,0,1,0,1,1,0,1,0,165.0,64.2,2,1,1
