workers,samples_per_second,timestamp
1,445.32,2024-01-15T10:00:00.000000
1,452.18,2024-01-15T10:05:00.000000
1,438.95,2024-01-15T10:10:00.000000
1,461.23,2024-01-15T10:15:00.000000
1,449.87,2024-01-15T10:20:00.000000
1,455.64,2024-01-15T10:25:00.000000
1,442.71,2024-01-15T10:30:00.000000
1,458.39,2024-01-15T10:35:00.000000
1,447.26,2024-01-15T10:40:00.000000
1,453.81,2024-01-15T10:45:00.000000
1,440.52,2024-01-15T10:50:00.000000
1,465.19,2024-01-15T10:55:00.000000
1,451.47,2024-01-15T11:00:00.000000
1,456.92,2024-01-15T11:05:00.000000
1,443.68,2024-01-15T11:10:00.000000
1,459.73,2024-01-15T11:15:00.000000
1,448.15,2024-01-15T11:20:00.000000
1,454.28,2024-01-15T11:25:00.000000
1,446.83,2024-01-15T11:30:00.000000
1,462.45,2024-01-15T11:35:00.000000
2,875.42,2024-01-15T12:00:00.000000
2,892.18,2024-01-15T12:05:00.000000
2,868.93,2024-01-15T12:10:00.000000
2,905.67,2024-01-15T12:15:00.000000
2,881.29,2024-01-15T12:20:00.000000
2,896.84,2024-01-15T12:25:00.000000
2,872.56,2024-01-15T12:30:00.000000
2,888.91,2024-01-15T12:35:00.000000
2,879.32,2024-01-15T12:40:00.000000
2,901.75,2024-01-15T12:45:00.000000
2,865.48,2024-01-15T12:50:00.000000
2,893.26,2024-01-15T12:55:00.000000
2,877.64,2024-01-15T13:00:00.000000
2,908.53,2024-01-15T13:05:00.000000
2,884.17,2024-01-15T13:10:00.000000
2,898.72,2024-01-15T13:15:00.000000
2,870.89,2024-01-15T13:20:00.000000
2,886.45,2024-01-15T13:25:00.000000
2,895.31,2024-01-15T13:30:00.000000
2,882.96,2024-01-15T13:35:00.000000
2,874.58,2024-01-15T13:40:00.000000
2,889.14,2024-01-15T13:45:00.000000
4,1542.36,2024-01-15T14:00:00.000000
4,1567.82,2024-01-15T14:05:00.000000
4,1529.45,2024-01-15T14:10:00.000000
4,1591.73,2024-01-15T14:15:00.000000
4,1548.91,2024-01-15T14:20:00.000000
4,1575.28,2024-01-15T14:25:00.000000
4,1534.67,2024-01-15T14:30:00.000000
4,1583.54,2024-01-15T14:35:00.000000
4,1551.19,2024-01-15T14:40:00.000000
4,1598.42,2024-01-15T14:45:00.000000
4,1526.83,2024-01-15T14:50:00.000000
4,1579.65,2024-01-15T14:55:00.000000
4,1545.27,2024-01-15T15:00:00.000000
4,1587.91,2024-01-15T15:05:00.000000
4,1538.74,2024-01-15T15:10:00.000000
4,1572.46,2024-01-15T15:15:00.000000
4,1555.89,2024-01-15T15:20:00.000000
4,1594.32,2024-01-15T15:25:00.000000
4,1541.58,2024-01-15T15:30:00.000000
4,1568.14,2024-01-15T15:35:00.000000
4,1533.92,2024-01-15T15:40:00.000000
4,1581.67,2024-01-15T15:45:00.000000
4,1549.23,2024-01-15T15:50:00.000000
8,1285.47,2024-01-15T16:00:00.000000
8,1312.93,2024-01-15T16:05:00.000000
8,1268.52,2024-01-15T16:10:00.000000
8,1329.18,2024-01-15T16:15:00.000000
8,1291.64,2024-01-15T16:20:00.000000
8,1305.79,2024-01-15T16:25:00.000000
8,1273.86,2024-01-15T16:30:00.000000
8,1318.42,2024-01-15T16:35:00.000000
8,1296.25,2024-01-15T16:40:00.000000
8,1322.67,2024-01-15T16:45:00.000000
8,1264.91,2024-01-15T16:50:00.000000
8,1310.53,2024-01-15T16:55:00.000000
8,1288.74,2024-01-15T17:00:00.000000
8,1335.28,2024-01-15T17:05:00.000000
8,1279.46,2024-01-15T17:10:00.000000
8,1315.89,2024-01-15T17:15:00.000000
8,1293.12,2024-01-15T17:20:00.000000
8,1307.65,2024-01-15T17:25:00.000000
8,1271.38,2024-01-15T17:30:00.000000
8,1326.94,2024-01-15T17:35:00.000000
8,1298.57,2024-01-15T17:40:00.000000
8,1313.21,2024-01-15T17:45:00.000000
8,1282.69,2024-01-15T17:50:00.000000
8,1320.45,2024-01-15T17:55:00.000000
8,1289.83,2024-01-15T18:00:00.000000
