feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,label
0.234,-0.567,0.891,-0.123,0.456,-0.789,0.345,-0.678,0.912,-0.234,1
-0.345,0.678,-0.912,0.234,-0.567,0.789,-0.345,0.678,-0.912,0.234,0
0.456,-0.789,0.123,-0.456,0.789,-0.123,0.456,-0.789,0.123,-0.456,0
0.567,-0.234,0.678,-0.912,0.345,0.234,-0.567,0.891,-0.123,0.456,1
-0.678,0.345,-0.234,0.567,-0.891,0.345,-0.678,0.234,-0.567,0.891,0
0.789,-0.456,0.567,-0.234,0.912,-0.456,0.789,-0.345,0.678,-0.912,1
-0.891,0.567,-0.678,0.345,-0.234,0.567,-0.891,0.456,-0.789,0.123,0
0.123,-0.678,0.789,-0.456,0.567,-0.678,0.123,-0.567,0.891,-0.234,1
-0.234,0.789,-0.891,0.567,-0.678,0.789,-0.234,0.678,-0.912,0.345,0
0.345,-0.891,0.234,-0.678,0.789,-0.891,0.345,-0.789,0.123,-0.456,1
0.678,-0.234,0.891,-0.123,0.456,-0.234,0.678,-0.891,0.234,-0.567,1
-0.456,0.567,-0.345,0.789,-0.912,0.567,-0.456,0.234,-0.678,0.891,0
0.891,-0.678,0.456,-0.234,0.123,-0.678,0.891,-0.345,0.567,-0.789,1
-0.567,0.234,-0.789,0.456,-0.345,0.234,-0.567,0.678,-0.891,0.123,0
0.234,0.678,-0.456,0.891,-0.234,0.678,0.234,-0.456,0.789,-0.891,0
-0.789,0.891,-0.567,0.123,-0.456,0.891,-0.789,0.567,-0.123,0.234,0
0.456,-0.123,0.678,-0.789,0.234,-0.123,0.456,-0.678,0.891,-0.345,1
-0.345,0.456,-0.891,0.234,-0.567,0.456,-0.345,0.789,-0.234,0.678,0
0.567,-0.789,0.123,-0.345,0.678,-0.789,0.567,-0.891,0.345,-0.123,1
-0.678,0.123,-0.234,0.567,-0.891,0.123,-0.678,0.234,-0.456,0.789,0
0.789,-0.345,0.567,-0.678,0.234,-0.345,0.789,-0.123,0.678,-0.912,1
-0.891,0.678,-0.456,0.789,-0.123,0.678,-0.891,0.456,-0.789,0.234,0
0.912,-0.567,0.234,-0.891,0.456,-0.567,0.912,-0.234,0.123,-0.678,1
-0.123,0.345,-0.678,0.912,-0.234,0.345,-0.123,0.567,-0.891,0.456,0
0.456,0.789,-0.234,0.567,-0.891,0.789,0.456,-0.678,0.234,-0.123,0
-0.567,0.912,-0.345,0.678,-0.234,0.912,-0.567,0.789,-0.345,0.567,0
0.678,-0.234,0.456,-0.789,0.912,-0.234,0.678,-0.891,0.456,-0.567,1
-0.789,0.567,-0.912,0.234,-0.456,0.567,-0.789,0.123,-0.678,0.891,0
0.891,-0.678,0.345,-0.123,0.567,-0.678,0.891,-0.456,0.789,-0.234,1
-0.234,0.456,-0.567,0.891,-0.678,0.456,-0.234,0.678,-0.912,0.345,0
0.567,0.234,-0.891,0.678,-0.345,0.234,0.567,-0.789,0.123,-0.456,0
-0.678,0.891,-0.234,0.456,-0.789,0.891,-0.678,0.345,-0.567,0.678,0
0.345,-0.456,0.789,-0.234,0.678,-0.456,0.345,-0.123,0.891,-0.789,1
-0.912,0.678,-0.345,0.567,-0.123,0.678,-0.912,0.234,-0.456,0.891,0
0.234,0.891,-0.567,0.345,-0.678,0.891,0.234,-0.345,0.678,-0.567,0
-0.456,0.123,-0.789,0.678,-0.234,0.123,-0.456,0.567,-0.891,0.234,0
0.789,-0.912,0.456,-0.567,0.234,-0.912,0.789,-0.678,0.345,-0.123,1
-0.345,0.234,-0.678,0.912,-0.567,0.234,-0.345,0.891,-0.234,0.456,0
0.678,0.567,-0.234,0.789,-0.912,0.567,0.678,-0.456,0.123,-0.789,0
-0.891,0.345,-0.456,0.123,-0.678,0.345,-0.891,0.678,-0.567,0.234,0
0.456,-0.678,0.891,-0.234,0.567,-0.678,0.456,-0.789,0.912,-0.345,1
-0.567,0.789,-0.123,0.456,-0.891,0.789,-0.567,0.234,-0.678,0.567,0
0.234,-0.345,0.678,-0.891,0.456,-0.345,0.234,-0.567,0.789,-0.891,1
-0.789,0.456,-0.912,0.234,-0.345,0.456,-0.789,0.678,-0.123,0.912,0
0.912,0.678,-0.456,0.567,-0.234,0.678,0.912,-0.891,0.456,-0.567,0
-0.123,0.891,-0.567,0.678,-0.456,0.891,-0.123,0.234,-0.789,0.678,0
0.567,-0.234,0.345,-0.678,0.891,-0.234,0.567,-0.345,0.123,-0.912,1
-0.678,0.123,-0.891,0.456,-0.234,0.123,-0.678,0.789,-0.456,0.345,0
0.789,-0.567,0.234,-0.123,0.678,-0.567,0.789,-0.234,0.891,-0.456,1
-0.891,0.678,-0.345,0.912,-0.567,0.678,-0.891,0.456,-0.234,0.789,0
0.345,0.456,-0.789,0.234,-0.678,0.456,0.345,-0.123,0.567,-0.891,0
-0.456,0.234,-0.567,0.891,-0.789,0.234,-0.456,0.678,-0.912,0.123,0
0.678,-0.891,0.456,-0.345,0.234,-0.891,0.678,-0.567,0.789,-0.234,1
-0.789,0.567,-0.234,0.678,-0.891,0.567,-0.789,0.345,-0.123,0.456,0
0.891,-0.345,0.678,-0.567,0.123,-0.345,0.891,-0.678,0.234,-0.789,1
-0.234,0.678,-0.891,0.345,-0.456,0.678,-0.234,0.912,-0.567,0.345,0
0.567,0.789,-0.456,0.123,-0.678,0.789,0.567,-0.234,0.678,-0.891,0
-0.678,0.234,-0.345,0.567,-0.891,0.234,-0.678,0.456,-0.789,0.567,0
0.456,-0.123,0.891,-0.678,0.345,-0.123,0.456,-0.891,0.234,-0.567,1
-0.567,0.912,-0.234,0.789,-0.456,0.912,-0.567,0.123,-0.678,0.891,0
0.234,0.345,-0.678,0.891,-0.567,0.345,0.234,-0.456,0.789,-0.912,0
-0.891,0.456,-0.789,0.234,-0.123,0.456,-0.891,0.567,-0.345,0.234,0
0.789,-0.678,0.123,-0.456,0.567,-0.678,0.789,-0.234,0.891,-0.456,1
-0.345,0.891,-0.567,0.678,-0.234,0.891,-0.345,0.678,-0.912,0.123,0
