x,y
-9.8,29.1
-9.5,28.3
-9.2,27.8
-8.9,26.5
-8.6,25.9
-8.3,24.7
-8.0,24.2
-7.7,23.1
-7.4,22.5
-7.1,21.8
-6.8,20.6
-6.5,19.9
-6.2,19.3
-5.9,18.2
-5.6,17.6
-5.3,16.8
-5.0,16.2
-4.7,15.4
-4.4,14.7
-4.1,14.1
-3.8,13.3
-3.5,12.6
-3.2,12.0
-2.9,11.2
-2.6,10.5
-2.3,9.9
-2.0,9.2
-1.7,8.5
-1.4,7.8
-1.1,7.2
-0.8,6.5
-0.5,5.8
-0.2,5.2
0.1,4.5
0.4,3.9
0.7,3.2
1.0,2.6
1.3,1.9
1.6,1.3
1.9,0.6
2.2,0.0
2.5,-0.7
2.8,-1.3
3.1,-2.0
3.4,-2.6
3.7,-3.3
4.0,-3.9
4.3,-4.6
4.6,-5.2
4.9,-5.9
5.2,-6.5
5.5,-7.2
5.8,-7.8
6.1,-8.5
6.4,-9.1
6.7,-9.8
7.0,-10.4
7.3,-11.1
7.6,-11.7
7.9,-12.4
8.2,-13.0
8.5,-13.7
8.8,-14.3
9.1,-15.0
9.4,-15.6
9.7,-16.3
-9.6,28.7
-9.3,27.9
-9.0,27.2
-8.7,26.3
-8.4,25.6
-8.1,24.9
-7.8,24.0
-7.5,23.3
-7.2,22.6
-6.9,21.8
-6.6,20.9
-6.3,20.2
-6.0,19.5
-5.7,18.6
-5.4,17.9
-5.1,17.1
-4.8,16.4
-4.5,15.6
-4.2,14.8
-3.9,14.0
-3.6,13.3
-3.3,12.5
-3.0,11.7
-2.7,10.9
-2.4,10.2
-2.1,9.4
-1.8,8.7
-1.5,7.9
-1.2,7.2
-0.9,6.4
-0.6,5.7
-0.3,4.9
0.0,4.2
0.3,3.5
0.6,2.7
0.9,2.0
1.2,1.3
1.5,0.5
1.8,-0.2
2.1,-0.9
2.4,-1.6
2.7,-2.4
3.0,-3.1
3.3,-3.8
3.6,-4.5
3.9,-5.3
4.2,-6.0
4.5,-6.7
4.8,-7.4
5.1,-8.2
5.4,-8.9
5.7,-9.6
6.0,-10.3
6.3,-11.1
6.6,-11.8
6.9,-12.5
7.2,-13.2
7.5,-14.0
7.8,-14.7
8.1,-15.4
8.4,-16.1
8.7,-16.9
9.0,-17.6
9.3,-18.3
9.6,-19.0
9.9,-19.8
-9.7,28.9
-9.4,28.0
-9.1,27.4
-8.8,26.6
-8.5,25.7
-8.2,25.1
-7.9,24.3
-7.6,23.4
-7.3,22.8
-7.0,21.9
-6.7,21.2
-6.4,20.4
-6.1,19.6
-5.8,18.8
-5.5,18.0
-5.2,17.3
-4.9,16.5
-4.6,15.7
-4.3,14.9
-4.0,14.2
-3.7,13.4
-3.4,12.6
-3.1,11.8
-2.8,11.1
-2.5,10.3
-2.2,9.5
-1.9,8.8
-1.6,8.0
-1.3,7.3
-1.0,6.5
-0.7,5.8
-0.4,5.0
-0.1,4.3
0.2,3.6
0.5,2.8
0.8,2.1
1.1,1.4
1.4,0.7
1.7,-0.1
2.0,-0.8
2.3,-1.5
2.6,-2.2
2.9,-3.0
3.2,-3.7
3.5,-4.4
3.8,-5.1
4.1,-5.9
4.4,-6.6
4.7,-7.3
5.0,-8.0
5.3,-8.8
5.6,-9.5
5.9,-10.2
6.2,-10.9
6.5,-11.7
6.8,-12.4
7.1,-13.1
7.4,-13.8
7.7,-14.6
8.0,-15.3
8.3,-16.0
8.6,-16.7
8.9,-17.5
9.2,-18.2
9.5,-18.9
9.8,-19.6
-9.9,29.4
-9.1,27.6
-8.3,25.2
-7.5,23.6
-6.7,21.4
-5.9,19.0
-5.1,17.4
-4.3,15.1
-3.5,12.9
-2.7,10.8
-1.9,8.9
-1.1,6.8
-0.3,4.8
0.5,2.9
1.3,1.1
2.1,-1.1
2.9,-2.9
3.7,-4.9
4.5,-6.8
5.3,-8.6
6.1,-10.8
6.9,-12.7
7.7,-14.5
8.5,-16.5
9.3,-18.5
