age,income,purchase_history,engagement_score,will_purchase
45,75000,23,0.67,1
28,35000,5,0.23,0
52,95000,34,0.78,1
33,48000,12,0.45,0
61,120000,41,0.89,1
24,28000,3,0.19,0
38,62000,18,0.56,1
49,88000,29,0.71,1
27,32000,7,0.31,0
56,105000,37,0.82,1
31,42000,9,0.38,0
44,71000,22,0.64,1
67,135000,45,0.91,1
22,25000,2,0.15,0
39,66000,19,0.59,1
53,98000,35,0.79,1
29,38000,8,0.34,0
47,82000,27,0.69,1
35,52000,14,0.48,1
58,110000,39,0.84,1
26,31000,6,0.28,0
41,69000,21,0.62,1
63,125000,43,0.88,1
23,27000,4,0.21,0
37,59000,17,0.54,1
51,92000,32,0.75,1
30,41000,10,0.41,0
46,78000,25,0.68,1
34,50000,13,0.47,0
59,113000,40,0.85,1
25,29000,5,0.25,0
42,72000,23,0.65,1
65,130000,44,0.90,1
21,24000,2,0.17,0
40,67000,20,0.60,1
54,100000,36,0.80,1
28,36000,7,0.32,0
48,85000,28,0.70,1
36,55000,15,0.50,1
60,115000,40,0.86,1
27,33000,6,0.29,0
43,74000,24,0.66,1
66,132000,45,0.91,1
24,26000,3,0.20,0
38,61000,18,0.57,1
52,94000,33,0.76,1
31,43000,11,0.42,0
47,80000,26,0.69,1
35,53000,14,0.49,1
57,108000,38,0.83,1
26,30000,5,0.26,0
41,70000,22,0.63,1
64,128000,44,0.89,1
22,25000,3,0.18,0
39,64000,19,0.58,1
53,97000,35,0.78,1
29,39000,9,0.36,0
46,79000,26,0.68,1
34,51000,13,0.48,0
58,111000,39,0.84,1
25,29000,4,0.24,0
42,73000,23,0.65,1
65,131000,45,0.90,1
23,26000,3,0.19,0
40,68000,20,0.61,1
54,99000,35,0.79,1
30,40000,10,0.40,0
48,84000,28,0.71,1
36,56000,16,0.52,1
59,114000,40,0.86,1
27,34000,7,0.31,0
43,75000,24,0.67,1
66,133000,46,0.92,1
24,27000,4,0.21,0
38,62000,18,0.57,1
52,95000,34,0.77,1
31,44000,11,0.43,0
47,81000,27,0.70,1
35,54000,15,0.50,1
57,109000,39,0.84,1
26,31000,6,0.27,0
41,71000,22,0.64,1
64,129000,44,0.89,1
22,24000,2,0.16,0
39,65000,19,0.59,1
53,98000,35,0.79,1
29,38000,8,0.35,0
46,80000,27,0.69,1
34,52000,14,0.49,1
58,112000,40,0.85,1
25,30000,5,0.25,0
42,74000,24,0.66,1
65,130000,45,0.90,1
23,27000,3,0.20,0
40,69000,21,0.62,1
54,100000,36,0.80,1
30,41000,10,0.41,0
48,85000,29,0.72,1
36,57000,16,0.53,1
59,115000,41,0.87,1
27,35000,7,0.32,0
43,76000,25,0.68,1
66,134000,46,0.92,1
24,28000,4,0.22,0
38,63000,19,0.58,1
52,96000,34,0.78,1
31,45000,12,0.44,0
47,82000,27,0.70,1
35,55000,15,0.51,1
57,110000,39,0.85,1
26,32000,6,0.28,0
41,72000,23,0.65,1
64,128000,44,0.89,1
22,25000,3,0.18,0
39,66000,20,0.60,1
53,99000,36,0.80,1
29,39000,9,0.37,0
46,81000,28,0.71,1
34,53000,14,0.50,1
58,113000,40,0.86,1
25,31000,5,0.26,0
42,75000,25,0.67,1
65,131000,45,0.91,1
23,28000,4,0.21,0
40,70000,22,0.63,1
54,101000,37,0.81,1
30,42000,11,0.42,0
48,86000,29,0.72,1
36,58000,17,0.54,1
59,116000,41,0.87,1
27,36000,8,0.33,0
43,77000,25,0.69,1
66,135000,47,0.93,1
24,29000,5,0.23,0
38,64000,20,0.59,1
52,97000,35,0.79,1
31,46000,12,0.45,0
47,83000,28,0.71,1
35,56000,16,0.52,1
57,111000,40,0.86,1
26,33000,7,0.29,0
41,73000,24,0.66,1
64,129000,45,0.90,1
22,26000,3,0.19,0
39,67000,21,0.61,1
53,100000,36,0.80,1
29,40000,10,0.38,0
46,82000,28,0.70,1
34,54000,15,0.51,1
58,114000,41,0.87,1
25,32000,6,0.27,0
42,76000,26,0.68,1
65,132000,46,0.91,1
23,29000,5,0.22,0
40,71000,23,0.64,1
54,102000,37,0.81,1
30,43000,11,0.43,0
48,87000,30,0.73,1
36,59000,18,0.55,1
59,117000,42,0.88,1
27,37000,8,0.34,0
43,78000,26,0.69,1
66,136000,47,0.93,1
24,30000,5,0.24,0
38,65000,21,0.60,1
52,98000,36,0.80,1
31,47000,13,0.46,0
47,84000,29,0.72,1
35,57000,17,0.53,1
57,112000,40,0.86,1
26,34000,7,0.30,0
41,74000,25,0.67,1
64,130000,45,0.90,1
22,27000,4,0.20,0
39,68000,22,0.62,1
53,101000,37,0.81,1
29,41000,10,0.39,0
46,83000,29,0.71,1
