transcript_id,gene_id,length,effective_length,expected_count,TPM,FPKM
ENST00000000233,ENSG00000004059,1103,903.00,245.67,42.15,38.92
ENST00000000412,ENSG00000003056,1527,1327.00,156.89,18.32,16.92
ENST00000000442,ENSG00000173153,2201,2001.00,892.34,69.12,63.84
ENST00000001146,ENSG00000066336,1689,1489.00,0.00,0.00,0.00
ENST00000001829,ENSG00000127720,3456,3256.00,1245.78,59.34,54.81
ENST00000002165,ENSG00000183098,987,787.00,34.56,6.81,6.29
ENST00000002501,ENSG00000143799,2134,1934.00,567.23,45.47,42.01
ENST00000002829,ENSG00000169174,1876,1676.00,423.89,39.22,36.23
ENST00000003100,ENSG00000116254,2456,2256.00,1567.34,107.78,99.56
ENST00000003542,ENSG00000175899,1234,1034.00,89.45,13.42,12.40
ENST00000004115,ENSG00000139618,3201,3001.00,2134.56,110.34,101.91
ENST00000004531,ENSG00000010030,1543,1343.00,234.67,27.10,25.03
ENST00000005178,ENSG00000134086,2987,2787.00,789.23,43.90,40.56
ENST00000005259,ENSG00000065613,1098,898.00,0.00,0.00,0.00
ENST00000005340,ENSG00000196136,2345,2145.00,1823.45,131.84,121.79
ENST00000006015,ENSG00000141510,1765,1565.00,456.78,45.26,41.81
ENST00000006301,ENSG00000134323,2109,1909.00,678.90,55.14,50.93
ENST00000006750,ENSG00000163219,1432,1232.00,123.45,15.54,14.36
ENST00000007516,ENSG00000078808,2876,2676.00,1456.78,84.45,78.01
ENST00000008938,ENSG00000105976,1654,1454.00,289.34,30.85,28.50
ENST00000009724,ENSG00000149295,3123,2923.00,2456.89,130.39,120.46
ENST00000010345,ENSG00000117394,1987,1787.00,567.12,49.23,45.48
ENST00000011290,ENSG00000132170,2543,2343.00,934.56,61.85,57.13
ENST00000012345,ENSG00000145675,1345,1145.00,178.23,24.14,22.30
ENST00000013276,ENSG00000168036,2765,2565.00,1234.67,74.67,68.98
ENST00000014914,ENSG00000137745,1876,1676.00,0.00,0.00,0.00
ENST00000015523,ENSG00000182481,2198,1998.00,845.23,65.60,60.60
ENST00000016171,ENSG00000100393,1523,1323.00,234.56,27.50,25.41
ENST00000017239,ENSG00000123416,3456,3256.00,3124.67,148.84,137.51
ENST00000018408,ENSG00000157764,1234,1034.00,145.67,21.85,20.19
ENST00000019582,ENSG00000171862,2654,2454.00,1023.45,64.68,59.75
ENST00000020945,ENSG00000115415,1789,1589.00,423.12,41.29,38.15
ENST00000021776,ENSG00000166851,2234,2034.00,756.89,57.69,53.30
ENST00000022567,ENSG00000174807,1456,1256.00,0.00,0.00,0.00
ENST00000023897,ENSG00000140464,2987,2787.00,1567.34,87.19,80.56
ENST00000025008,ENSG00000108821,1654,1454.00,312.45,33.33,30.79
ENST00000026103,ENSG00000156508,2456,2256.00,1123.67,77.25,71.38
ENST00000027335,ENSG00000198925,1876,1676.00,489.23,45.27,41.83
ENST00000028528,ENSG00000133703,3123,2923.00,2234.56,118.60,109.56
ENST00000029633,ENSG00000117399,1234,1034.00,98.45,14.77,13.65
ENST00000030582,ENSG00000134250,2345,2145.00,867.34,62.70,57.93
ENST00000031444,ENSG00000112576,1543,1343.00,0.00,0.00,0.00
ENST00000032413,ENSG00000186092,2654,2454.00,1345.67,85.04,78.57
ENST00000033800,ENSG00000149311,1987,1787.00,534.23,46.36,42.84
ENST00000034525,ENSG00000110092,2876,2676.00,1678.90,97.32,89.91
ENST00000035423,ENSG00000140832,1432,1232.00,189.45,23.86,22.04
ENST00000036473,ENSG00000163017,3201,3001.00,2567.89,132.70,122.60
ENST00000037074,ENSG00000184677,1765,1565.00,398.23,39.47,36.47
ENST00000038369,ENSG00000134508,2109,1909.00,723.45,58.77,54.29
ENST00000039007,ENSG00000115414,1654,1454.00,0.00,0.00,0.00
ENST00000040547,ENSG00000155657,2456,2256.00,1456.78,100.18,92.55
ENST00000041357,ENSG00000123374,1876,1676.00,456.12,42.20,38.99
ENST00000042220,ENSG00000168003,2987,2787.00,1823.45,101.47,93.75
ENST00000043465,ENSG00000117020,1234,1034.00,145.23,21.79,20.13
ENST00000044485,ENSG00000142192,3456,3256.00,2945.67,140.31,129.62
ENST00000045240,ENSG00000111640,1543,1343.00,267.89,30.94,28.59
ENST00000046634,ENSG00000105649,2234,2034.00,834.56,63.62,58.78
ENST00000047315,ENSG00000133606,1789,1589.00,0.00,0.00,0.00
ENST00000048540,ENSG00000107929,2654,2454.00,1234.67,78.01,72.07
ENST00000049618,ENSG00000155657,1456,1256.00,223.45,27.59,25.49
ENST00000050393,ENSG00000185650,2987,2787.00,1678.23,93.35,86.25
ENST00000051807,ENSG00000116698,1654,1454.00,345.67,36.87,34.06
ENST00000052726,ENSG00000134121,2345,2145.00,1023.45,73.98,68.35
ENST00000053501,ENSG00000183087,1876,1676.00,0.00,0.00,0.00
ENST00000054523,ENSG00000156508,3123,2923.00,2456.78,130.37,120.45
ENST00000055332,ENSG00000164062,1234,1034.00,134.56,20.18,18.65
ENST00000056855,ENSG00000111640,2456,2256.00,1234.56,84.87,78.41
ENST00000057393,ENSG00000127720,1543,1343.00,289.45,33.43,30.89
