applicant_id,age,income,debt_ratio,credit_score,employment_years,loan_amount,defaulted
1001,34,52.3,0.45,720,5.2,125.5,0
1002,28,,0.82,650,2.1,85.0,1
1003,45,78.5,0.31,890,12.5,200.0,0
1004,52,-15.2,1.2,580,8.0,150.0,1
1005,39,65.0,,245,6.5,100.0,0
1006,42,89.3,0.52,780,15.3,175.0,0
1007,31,45.8,1.35,620,3.5,95.5,1
1008,56,125.4,0.28,810,22.0,250.0,0
1009,29,38.2,1.82,560,1.8,65.0,1
1010,47,,0.67,740,18.5,180.0,0
1011,33,55.6,0.91,680,4.2,110.0,1
1012,26,32.5,1.45,590,0.5,55.0,1
1013,51,95.7,0.35,795,20.1,220.0,0
1014,38,68.4,,710,9.3,145.0,0
1015,44,82.1,0.48,760,14.7,190.0,0
1016,30,41.9,1.58,610,2.3,75.0,1
1017,49,102.3,0.42,820,19.8,235.0,0
1018,35,59.2,0.76,690,6.1,130.0,0
1019,27,-8.5,1.92,540,1.2,50.0,1
1020,53,118.6,0.31,835,25.4,270.0,0
1021,36,62.8,0.88,705,7.8,140.0,0
1022,41,,0.54,750,12.9,165.0,0
1023,32,48.3,1.28,635,3.9,90.0,1
1024,46,87.5,0.39,775,16.2,195.0,0
1025,28,36.7,1.75,570,1.5,60.0,1
1026,50,108.9,0.33,805,21.3,245.0,0
1027,37,70.5,,725,8.5,155.0,0
1028,43,79.8,0.61,735,13.1,170.0,0
1029,31,44.6,1.42,615,2.8,80.0,1
1030,48,98.2,0.37,790,18.9,215.0,0
1031,34,56.9,0.95,675,5.7,120.0,1
1032,25,29.8,2.15,280,0.8,45.0,1
1033,54,132.7,0.26,845,27.6,285.0,0
1034,39,73.1,0.58,715,10.2,160.0,0
1035,45,,0.44,765,15.8,185.0,0
1036,29,40.5,1.68,595,1.9,70.0,1
1037,52,115.3,0.29,825,23.7,260.0,0
1038,33,51.7,1.12,660,4.6,105.0,1
1039,47,91.4,0.41,785,17.4,205.0,0
1040,35,64.2,,700,7.1,135.0,0
1041,42,81.6,0.56,745,14.3,175.0,0
1042,30,43.8,1.52,625,2.5,85.0,1
1043,49,105.8,0.34,815,20.6,240.0,0
1044,36,67.3,0.84,695,8.9,150.0,0
1045,26,33.9,1.88,555,1.1,58.0,1
1046,55,128.4,0.27,840,26.2,275.0,0
1047,38,75.6,0.63,730,11.5,168.0,0
1048,44,,0.47,770,16.9,192.0,0
1049,31,47.2,1.38,640,3.2,92.0,1
1050,50,112.1,0.32,830,22.8,255.0,0
1051,34,58.4,0.98,685,6.4,125.0,1
1052,27,35.6,1.82,575,1.4,62.0,1
1053,53,121.9,0.28,850,24.5,268.0,0
1054,40,77.8,,720,12.7,163.0,0
1055,46,89.7,0.43,780,18.1,198.0,0
1056,32,49.5,1.32,630,3.6,88.0,1
1057,48,101.6,0.36,800,19.3,228.0,0
1058,37,69.1,0.79,710,9.8,148.0,0
1059,28,-5.3,1.95,545,1.6,53.0,1
1060,51,109.3,0.30,810,21.9,248.0,0
1061,35,61.7,0.91,700,7.5,138.0,0
1062,43,,0.51,755,13.8,178.0,0
1063,29,42.1,1.62,605,2.1,77.0,1
1064,54,125.8,0.29,835,26.8,278.0,0
1065,39,72.4,0.65,725,10.9,158.0,0
1066,45,85.3,0.46,770,15.5,188.0,0
1067,33,53.8,1.18,665,5.1,112.0,1
1068,47,94.6,0.38,795,17.8,210.0,0
1069,36,66.5,,705,8.3,143.0,0
1070,41,83.9,0.53,750,14.6,173.0,0
1071,30,45.3,1.48,620,2.7,82.0,1
1072,49,107.2,0.33,820,21.1,243.0,0
1073,34,59.8,0.87,690,6.8,128.0,1
