poi_id,name,latitude,longitude
poi_001,Central Park Entrance,40.7829,-73.9654
poi_002,Downtown Coffee Shop,40.7589,-73.9851
poi_003,City Museum,40.7794,-73.9632
poi_004,Brooklyn Bridge View,40.7061,-73.9969
poi_005,Times Square Visitor Center,40.7580,-73.9855
poi_006,Empire State Building,40.7484,-73.9857
poi_007,Grand Central Terminal,40.7527,-73.9772
poi_008,Madison Square Garden,40.7505,-73.9934
poi_009,Chelsea Market,40.7425,-74.0060
poi_010,High Line Park South,40.7430,-74.0048
poi_011,Washington Square Park,40.7308,-73.9973
poi_012,Union Square Cafe,40.7359,-73.9911
poi_013,Flatiron Building Plaza,40.7411,-73.9897
poi_014,Bryant Park,40.7536,-73.9832
poi_015,Rockefeller Center,40.7587,-73.9787
poi_016,MoMA Museum,40.7614,-73.9776
poi_017,Carnegie Hall,40.7651,-73.9799
poi_018,Columbus Circle,40.7679,-73.9819
poi_019,Lincoln Center,40.7722,-73.9843
poi_020,Metropolitan Museum of Art,40.7794,-73.9632
poi_021,Guggenheim Museum,40.7830,-73.9590
poi_022,American Museum Natural History,40.7813,-73.9740
poi_023,Strawberry Fields Memorial,40.7757,-73.9751
poi_024,Bethesda Fountain,40.7739,-73.9714
poi_025,Sheep Meadow,40.7742,-73.9752
poi_026,Belvedere Castle,40.7795,-73.9692
poi_027,The Lake Boathouse,40.7742,-73.9684
poi_028,Conservatory Garden,40.7973,-73.9518
poi_029,Harlem Public Library,40.8116,-73.9465
poi_030,Apollo Theater,40.8103,-73.9501
poi_031,Cathedral of St John Divine,40.8038,-73.9618
poi_032,Columbia University Main Gate,40.8075,-73.9626
poi_033,Riverside Park,40.8022,-73.9690
poi_034,Morningside Park,40.8089,-73.9582
poi_035,Marcus Garvey Park,40.8025,-73.9421
poi_036,East River Park,40.7156,-73.9747
poi_037,Tompkins Square Park,40.7264,-73.9817
poi_038,Astor Place Cube,40.7300,-73.9908
poi_039,New York University Main Building,40.7295,-73.9965
poi_040,The Strand Bookstore,40.7335,-73.9907
poi_041,St Marks Place Shops,40.7282,-73.9863
poi_042,McCarren Park,40.7195,-73.9501
poi_043,Williamsburg Waterfront,40.7181,-73.9572
poi_044,Brooklyn Brewery,40.7211,-73.9575
poi_045,Smorgasburg Market,40.7208,-73.9638
poi_046,Brooklyn Museum,40.6712,-73.9636
poi_047,Prospect Park Entrance,40.6602,-73.9690
poi_048,Brooklyn Botanic Garden,40.6690,-73.9633
poi_049,Barclays Center,40.6826,-73.9754
poi_050,Brooklyn Heights Promenade,40.6959,-73.9969
poi_051,DUMBO Art District,40.7033,-73.9888
poi_052,Brooklyn Bridge Park,40.7009,-73.9971
poi_053,Red Hook Waterfront,40.6748,-74.0105
poi_054,Green-Wood Cemetery,40.6564,-73.9954
poi_055,Sunset Park,40.6437,-74.0119
poi_056,Coney Island Boardwalk,40.5755,-73.9707
poi_057,Brighton Beach Avenue,40.5775,-73.9597
poi_058,New York Aquarium,40.5746,-73.9752
poi_059,Luna Park Amusement,40.5744,-73.9773
poi_060,Chinatown Main Street,40.7158,-73.9970
poi_061,Little Italy Restaurant Row,40.7193,-73.9969
poi_062,SoHo Shopping District,40.7233,-74.0030
poi_063,TriBeCa Film Center,40.7164,-74.0089
poi_064,Battery Park,40.7033,-74.0170
poi_065,Statue of Liberty Ferry,40.7034,-74.0134
poi_066,Wall Street Bull,40.7056,-74.0134
poi_067,9/11 Memorial,40.7115,-74.0134
poi_068,One World Observatory,40.7127,-74.0134
poi_069,South Street Seaport,40.7069,-74.0033
poi_070,City Hall Park,40.7127,-74.0059
poi_071,Brooklyn Town Hall,40.6933,-73.9903
poi_072,Fort Greene Park,40.6915,-73.9739
poi_073,Flushing Meadows Park,40.7406,-73.8443
poi_074,Queens Museum,40.7446,-73.8469
poi_075,Citi Field Stadium,40.7571,-73.8458
poi_076,Astoria Park,40.7796,-73.9255
poi_077,Museum of Moving Image,40.7566,-73.9238
poi_078,Long Island City Waterfront,40.7447,-73.9571
poi_079,Gantry Plaza State Park,40.7445,-73.9582
poi_080,Socrates Sculpture Park,40.7683,-73.9392
poi_081,Yankee Stadium,40.8296,-73.9262
poi_082,Bronx Zoo Main Entrance,40.8506,-73.8769
poi_083,New York Botanical Garden,40.8629,-73.8787
poi_084,Arthur Avenue Market,40.8544,-73.8875
poi_085,Pelham Bay Park,40.8679,-73.8086
poi_086,City Island Marina,40.8471,-73.7868
poi_087,Van Cortlandt Park,40.8988,-73.8859
poi_088,Woodlawn Cemetery,40.8949,-73.8694
poi_089,Wave Hill Gardens,40.8968,-73.9122
poi_090,Staten Island Ferry Terminal,40.6436,-74.0734
poi_091,Snug Harbor Cultural Center,40.6435,-74.1029
poi_092,Staten Island Zoo,40.6258,-74.1150
poi_093,Historic Richmond Town,40.5708,-74.1449
poi_094,Fort Wadsworth,40.6060,-74.0554
poi_095,Governors Island Ferry,40.6892,-74.0175
poi_096,Chelsea Piers Sports Complex,40.7472,-74.0099
poi_097,Hudson Yards Plaza,40.7538,-74.0022
poi_098,The Vessel Sculpture,40.7540,-74.0023
poi_099,Javits Center,40.7564,-74.0021
poi_100,Intrepid Sea Air Space Museum,40.7645,-73.9997
poi_101,Hell Kitchen Food Market,40.7626,-73.9925
poi_102,Theater District Broadway,40.7590,-73.9845
poi_103,Radio City Music Hall,40.7599,-73.9799
poi_104,St Patricks Cathedral,40.7585,-73.9760
poi_105,Fifth Avenue Shopping,40.7569,-73.9777
poi_106,Macy Herald Square,40.7508,-73.9877
poi_107,Penn Station,40.7505,-73.9935
poi_108,Koreatown Plaza,40.7486,-73.9863
poi_109,Morgan Library Museum,40.7493,-73.9813
poi_110,Chrysler Building,40.7516,-73.9755
poi_111,Tudor City Park,40.7473,-73.9710
poi_112,United Nations Headquarters,40.7489,-73.9680
poi_113,Roosevelt Island Tram,40.7614,-73.9532
poi_114,Queensboro Bridge Plaza,40.7575,-73.9548
poi_115,Lenox Hill Hospital,40.7686,-73.9593
poi_116,Hunter College,40.7682,-73.9646
poi_117,Mount Sinai Hospital,40.7902,-73.9524
poi_118,El Museo del Barrio,40.7929,-73.9515
poi_119,Museum of City New York,40.7930,-73.9517
poi_120,Central Park Zoo,40.7678,-73.9718
poi_121,Wollman Rink,40.7677,-73.9752
poi_122,Tavern on the Green,40.7713,-73.9763
poi_123,Dakota Building,40.7764,-73.9759
poi_124,Zabar Gourmet Market,40.7847,-73.9778
poi_125,Fairway Market Broadway,40.7873,-73.9767
poi_126,Beacon Theatre,40.7794,-73.9818
poi_127,Verdi Square Park,40.7736,-73.9818
poi_128,Riverside Church,40.8113,-73.9632
poi_129,Grant Tomb Memorial,40.8139,-73.9629
poi_130,Sakura Park,40.8125,-73.9619
