Id,Name,Industry,AnnualRevenue,NumberOfEmployees,BillingCountry,CreatedDate,LastModifiedDate
001XX000002A3B4QAK,Global Telecommunications Ltd,Telecommunications,8500000,2400,Germany,2021-03-15,2023-09-22
001XX000002A3B5QAK,Nordic Pharma Solutions,Pharmaceuticals,12000000,1850,Sweden,2020-11-08,2023-10-14
001XX000002A3B6QAK,TEST ACCOUNT DELTA,Insurance,500000,120,USA,2023-01-10,2023-01-10
001XX000002A3B7QAK,Alpen Insurance Group,Insurance,6700000,890,Switzerland,2019-07-22,2023-08-30
001XX000002A3B8QAK,Scandinavian Real Estate AS,Real Estate,N/A,650,Norway,2021-05-18,2023-09-15
001XX000002A3B9QAK,Copenhagen Tech Holdings,Telecommunications,4200000,420,,2022-02-28,2023-10-01
001XX000002A3C0QAK,Berlin Property Ventures,Real Estate,9800000,1200,Germany,2020-09-12,2023-07-19
001XX000002A3C1QAK,Sample Data Industries,Pharmaceuticals,2500000,300,USA,2023-02-01,2023-02-01
001XX000002A3C2QAK,Stockholm Innovations AB,Telecommunications,null,580,Sweden,2021-08-05,2023-09-28
001XX000002A3C3QAK,Swiss Medical Technologies,Pharmaceuticals,13500000,3200,Switzerland,2018-12-14,2023-10-20
001XX000002A3C4QAK,Oslo Financial Services,Insurance,7200000,1100,Norway,2020-04-17,2023-08-25
001XX000002A3C5QAK,Munich Reinsurance Partners,Insurance,,980,Germany,2019-10-30,2023-09-10
001XX000002A3C6QAK,TEST Corporation Beta,Real Estate,150000,45,USA,2023-03-12,2023-03-12
001XX000002A3C7QAK,Danish Energy Solutions,Telecommunications,5600000,720,,2021-06-20,2023-10-05
001XX000002A3C8QAK,Zurich Property Management,Real Estate,8900000,1450,Switzerland,2020-01-25,2023-07-28
001XX000002A3C9QAK,Hamburg Pharmaceutical Group,Pharmaceuticals,10500000,2100,Germany,2019-03-08,2023-09-18
001XX000002A3D0QAK,Gothenburg Insurance AB,Insurance,4800000,680,,2022-07-11,2023-08-15
001XX000002A3D1QAK,American Sample Corp,Telecommunications,800000,200,USA,2023-04-05,2023-04-05
001XX000002A3D2QAK,Bergen Marine Insurance,Insurance,3200000,450,Norway,2021-09-14,2023-10-08
001XX000002A3D3QAK,Frankfurt Digital Solutions,Telecommunications,6100000,890,Germany,2020-06-03,2023-09-25
001XX000002A3D4QAK,Uppsala BioPharm Research,Pharmaceuticals,7800000,1320,Sweden,2019-11-27,2023-08-12
001XX000002A3D5QAK,Geneva Life Insurance SA,Insurance,N/A,1650,Switzerland,2018-08-19,2023-10-16
001XX000002A3D6QAK,Trondheim Property Holdings,Real Estate,4500000,580,,2022-03-22,2023-07-30
001XX000002A2Y7QAK,Munich Technology Partners,Telecommunications,9200000,1450,Germany,2020-02-14,2023-09-20
001XX000002A2Y8QAK,Copenhagen Insurance Group,Insurance,11500000,2300,Denmark,2019-05-09,2023-10-12
001XX000002A3D7QAK,Malmo Commercial Real Estate,Real Estate,5900000,780,Sweden,2021-11-16,2023-08-22
001XX000002A3D8QAK,Basel Pharmaceutical Industries,Pharmaceuticals,,2800,Switzerland,2018-10-07,2023-09-30
001XX000002A2Y9QAK,Stuttgart Automotive Insurance,Insurance,8300000,1580,Germany,2020-07-25,2023-10-18
001XX000002A3D9QAK,Aarhus Telecom Services,Telecommunications,3700000,520,Denmark,2022-01-19,2023-07-14
001XX000002A3E0QAK,Stavanger Energy Partners,Real Estate,6400000,920,Norway,2021-04-12,2023-09-05
001XX000002A3E1QAK,Lund Medical Solutions,Pharmaceuticals,9600000,1780,Sweden,2019-12-03,2023-10-22
001XX000002A3E2QAK,Bern Insurance Consortium,Insurance,7900000,1420,Switzerland,2020-08-28,2023-08-28
001XX000002A3E3QAK,Dresden Communications GmbH,Telecommunications,4100000,640,,2022-05-07,2023-09-12
001XX000002A3E4QAK,Odense Industrial Properties,Real Estate,5200000,710,Denmark,2021-10-21,2023-10-09
001XX000002A3E5QAK,Kristiansand Financial Group,Insurance,3800000,490,Norway,2022-08-15,2023-07-26
